"id","code","name","account_type","reconcile","name@id","non_trade","depreciation_model_id","tax_ids","description","description@id"
"l10n_id_67100010","67100010","Depreciation Exp - Buildings Permanent","expense_depreciation","False","Beban Penyusutan - Bangunan Permanen","","","","Systematic allocation of the cost of long-term, durable structures (e.g., concrete/brick) over their useful life.","Alokasi sistematis atas biaya perolehan bangunan permanen (beton/bata) yang memiliki masa manfaat jangka panjang."
"l10n_id_67100020","67100020","Depreciation Exp - Buildings Non-Permanent","expense_depreciation","False","Beban Penyusutan - Bangunan Tidak Permanen","","","","Periodic expense for temporary or semi-permanent structures (e.g., sheds, containers) with a shorter lifespan.","Beban periodik untuk bangunan semi-permanen atau sementara (seperti bedeng atau kontainer) dengan masa manfaat pendek."
"l10n_id_67100030","67100030","Depreciation Exp - Motorcycles","expense_depreciation","False","Beban Penyusutan - Sepeda Motor","","","","Depreciation of two-wheeled motorized vehicles used for business operations or delivery.","Penyusutan untuk kendaraan roda dua yang digunakan untuk operasional bisnis atau pengiriman."
"l10n_id_67100040","67100040","Depreciation Exp - Operational Vehicles","expense_depreciation","False","Beban Penyusutan - Kendaraan Operasional","","","","Cost allocation for standard company cars, SUVs, and vans used for administrative and daily business tasks.","Alokasi biaya untuk kendaraan standar perusahaan seperti mobil dinas, SUV, atau van operasional."
"l10n_id_67100050","67100050","Depreciation Exp - Heavy Vehicles","expense_depreciation","False","Beban Penyusutan - Kendaraan Berat","","","","Depreciation for large-scale transport assets such as dump trucks, prime movers, or large buses.","Penyusutan untuk kendaraan angkutan berat seperti truk dump, truk trailer, atau bus besar."
"l10n_id_67100060","67100060","Depreciation Exp - IT Equipment","expense_depreciation","False","Beban Penyusutan - Peralatan TI","","","","Allocation of cost for computing hardware, including servers, laptops, desktops, and networking gear.","Alokasi biaya perangkat keras komputer, termasuk server, laptop, desktop, dan perangkat jaringan."
"l10n_id_67100070","67100070","Depreciation Exp - Communication Devices","expense_depreciation","False","Beban Penyusutan - Perangkat Komunikasi","","","","Periodic expense for mobile phones, PBX systems, and other telecommunications hardware.","Beban periodik untuk alat komunikasi seperti telepon seluler, sistem PBX, dan perangkat telekomunikasi lainnya."
"l10n_id_67100080","67100080","Depreciation Exp - Office Electronics","expense_depreciation","False","Beban Penyusutan - Elektronik Kantor","","","","Depreciation for office peripherals such as printers, scanners, photocopiers, and projectors.","Penyusutan untuk perangkat elektronik kantor seperti printer, scanner, mesin fotokopi, dan proyektor."
"l10n_id_67100090","67100090","Depreciation Exp - Appliances","expense_depreciation","False","Beban Penyusutan - Peralatan Rumah Tangga","","","","Cost allocation for utility equipment like refrigerators, microwaves, and air conditioning units.","Alokasi biaya untuk peralatan penunjang seperti kulkas, microwave, dispenser, dan unit AC."
"l10n_id_67100100","67100100","Depreciation Exp - Furniture (Wood/Rattan)","expense_depreciation","False","Beban Penyusutan - Furnitur (Kayu/Rotan)","","","","Depreciation for furniture made primarily of organic materials, such as wooden desks and cabinets.","Penyusutan untuk furnitur yang berbahan dasar kayu atau rotan, seperti meja dan lemari kayu."
"l10n_id_67100110","67100110","Depreciation Exp - Furniture (Metal/Mixed)","expense_depreciation","False","Beban Penyusutan - Furnitur (Logam/Campuran)","","","","Depreciation for durable furniture like steel filing cabinets and metal-framed workstations.","Penyusutan untuk furnitur tahan lama berbahan logam atau campuran, seperti lemari arsip besi."
"l10n_id_67100120","67100120","Depreciation Exp - Building Installations","expense_depreciation","False","Beban Penyusutan - Instalasi Bangunan","","","","Allocation of cost for integrated systems like electrical wiring, plumbing, and HVAC systems.","Alokasi biaya untuk instalasi bangunan seperti sistem kelistrikan, pemipaan (plumbing), dan sistem tata udara (HVAC)."
"l10n_id_67100130","67100130","Depreciation Exp - Light Machinery","expense_depreciation","False","Beban Penyusutan - Mesin Ringan","","","","Periodic expense for small-scale industrial tools, small generators, and portable equipment.","Beban periodik untuk mesin industri skala kecil, perkakas mesin, atau generator portabel."
"l10n_id_67100140","67100140","Depreciation Exp - Heavy Machinery","expense_depreciation","False","Beban Penyusutan - Mesin Berat","","","","Cost allocation for large-scale production lines, industrial plant machinery, and stationary power plants.","Alokasi biaya untuk mesin produksi skala besar, mesin pabrik, atau pembangkit listrik stasioner."
"l10n_id_67100150","67100150","Depreciation Exp - Heavy Construction Equip","expense_depreciation","False","Beban Penyusutan - Peralatan Konstruksi Berat","","","","Depreciation for site-specific machinery like excavators, cranes, and bulldozers.","Penyusutan untuk alat berat konstruksi seperti ekskavator, crane, buldoser, dan mesin penggilas."
"l10n_id_67100160","67100160","Amortization Exp - Software Licenses","expense_depreciation","False","Beban Amortisasi - Lisensi Perangkat Lunak","","","","Systematic write-off of the cost of intangible software assets and licenses over their legal or useful life.","Penghapusan biaya aset tak berwujud secara sistematis untuk lisensi perangkat lunak selama masa manfaatnya."
"l10n_id_69000000","69000000","Other Expenses","expense_other","False","Beban Lainnya","","","","Miscellaneous company expenses","Beban perusahaan lainnya."
"l10n_id_81100010","81100010","Interest Income","income_other","False","Pendapatan Bunga","","","","Income from interest earned","Pendapatan dari bunga yang diperoleh."
"l10n_id_81100020","81100020","Deposit Income","income_other","False","Pendapatan Deposit","","","","Income from deposits","Pendapatan dari deposit."
"l10n_id_81100030","81100030","Foreign Exchange Gain","income_other","False","Keuntungan Valuta Asing","","","","Gain from foreign currency fluctuations","Keuntungan dari fluktuasi mata uang asing."
"l10n_id_81100040","81100040","Other Income","income_other","False","Pendapatan Lainnya","","","","Miscellaneous income","Pendapatan lainnya."
"l10n_id_81100050","81100050","Gain on Sale of Fixed Assets","income_other","False","Keuntungan Penjualan Aset Tetap","","","","Profit from selling fixed assets","Keuntungan dari penjualan aset tetap."
"l10n_id_91100010","91100010","Interest Expense","expense","False","Beban Bunga","","","","Interest paid on loans and debts","Beban bunga atas pinjaman dan hutang."
"l10n_id_91100020","91100020","Foreign Exchange Loss","expense","False","Kerugian Valuta Asing","","","","Loss from foreign currency fluctuations","Kerugian dari fluktuasi mata uang asing."
"l10n_id_91100030","91100030","Loss on Sale of Fixed Assets","expense","False","Kerugian Penjualan Aset Tetap","","","","Loss from selling fixed assets","Kerugian dari penjualan aset tetap."
"l10n_id_99900001","99900001","Cash Difference Loss","expense","False","Kerugian Selisih Kas","","","","Loss due to cash differences","Kerugian akibat selisih kas."
"l10n_id_99900002","99900002","Cash Difference Gain","income","False","Keuntungan Selisih Kas","","","","Gain due to cash differences","Keuntungan akibat selisih kas."
"l10n_id_99900003","99900003","Cash Discount Loss","expense","False","Kerugian Diskon Kas","","","","Loss due to cash discounts given","Kerugian akibat diskon kas yang diberikan."
"l10n_id_99900004","99900004","Cash Discount Gain","income_other","False","Keuntungan Diskon Kas","","","","Gain due to cash discounts received","Keuntungan akibat diskon kas yang diterima."
"l10n_id_99999900","99999900","Undistributed Profits/Losses","equity_unaffected","False","Laba/Rugi Tidak Didistribusikan","","","","Profits or losses not yet distributed","Laba atau rugi yang belum didistribusikan."
