"Referentiecode";"Referentienummer";"Omschrijving";"D/C";"Niveau";"ReferentieOmslagcode";"Wijziging"
"BMvaBeiVvpDda";"0215010.07";"Desinvesteringen door afstotingen bedrijfsinventaris";"C";5;;
"BMvaBeiVvpOmv";"0215010.08";"Omrekeningsverschillen bedrijfsinventaris";"D";5;;
"BMvaBeiVvpOve";"0215010.09";"Overboekingen bedrijfsinventaris";"D";5;;
"BMvaBeiVvpOvm";"0215010.10";"Overige mutaties bedrijfsinventaris";"D";5;;
"BMvaBeiCae";"0215020";"Cumulatieve afschrijvingen en waardeverminderingen bedrijfsinventaris";"C";4;;
"BMvaBeiCaeBeg";"0215020.01";"Beginbalans bedrijfsinventaris";"C";5;;
"BMvaBeiCaeAfs";"0215020.02";"Afschrijvingen bedrijfsinventaris";"C";5;;
"BMvaBeiCaeDca";"0215020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen bedrijfsinventaris";"D";5;;
"BMvaBeiCaeWvr";"0215020.04";"Waardeverminderingen bedrijfsinventaris";"C";5;;
"BMvaBeiCaeTvw";"0215020.05";"Terugneming van waardeverminderingen bedrijfsinventaris";"D";5;;
"BMvaBeiCuh";"0215030";"Cumulatieve herwaarderingen bedrijfsinventaris";"D";4;;
"BMvaBeiCuhBeg";"0215030.01";"Beginbalans bedrijfsinventaris";"D";5;;
"BMvaBeiCuhHer";"0215030.02";"Herwaarderingen bedrijfsinventaris";"D";5;;
"BMvaBeiCuhAfh";"0215030.03";"Afschrijving herwaarderingen bedrijfsinventaris";"C";5;;
"BMvaBeiCuhDeh";"0215030.04";"Desinvestering herwaarderingen bedrijfsinventaris";"C";5;;
"BMvaVbi";"0216000";"Vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa ";"D";3;;
"BMvaVbiVvp";"0216010";"Verkrijgings- of vervaardigingsprijs vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa ";"D";4;;
"BMvaVbiVvpBeg";"0216010.01";"Beginbalans vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa ";"D";5;;
"BMvaVbiVvpIna";"0216010.02";"Investeringen nieuw aangeschaft vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa ";"D";5;;
"BMvaVbiVvpIta";"0216010.03";"Investeringen tweedehands aangeschaft vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa ";"D";5;;
"BMvaVbiVvpIie";"0216010.04";"Investeringen in eigen beheer vervaardigd vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa ";"D";5;;
"BMvaVbiVvpAdo";"0216010.05";"Aankopen door overnames vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa ";"D";5;;
"BMvaVbiVvpDes";"0216010.06";"Desinvesteringen vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa ";"C";5;;
"BMvaVbiVvpDda";"0216010.07";"Desinvesteringen door afstotingen vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa ";"C";5;;
"BMvaVbiVvpOmv";"0216010.08";"Omrekeningsverschillen vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa ";"D";5;;
"BMvaVbiVvpOve";"0216010.09";"Overboekingen vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa ";"D";5;;
"BMvaVbiVvpOvm";"0216010.10";"Overige mutaties vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa ";"D";5;;
"BMvaVbiCae";"0216020";"Cumulatieve afschrijvingen en waardeverminderingen vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa ";"C";4;;
"BMvaVbiCaeBeg";"0216020.01";"Beginbalans vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa ";"C";5;;
"BMvaVbiCaeAfs";"0216020.02";"Afschrijvingen vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa ";"C";5;;
"BMvaVbiCaeDca";"0216020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa ";"D";5;;
"BMvaVbiCaeWvr";"0216020.04";"Waardeverminderingen vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa ";"C";5;;
"BMvaVbiCaeTvw";"0216020.05";"Terugneming van waardeverminderingen vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa ";"D";5;;
"BMvaVbiCuh";"0216030";"Cumulatieve herwaarderingen vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa ";"D";4;;
"BMvaVbiCuhBeg";"0216030.01";"Beginbalans vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa ";"D";5;;
"BMvaVbiCuhHer";"0216030.02";"Herwaarderingen vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa ";"D";5;;
"BMvaVbiCuhAfh";"0216030.03";"Afschrijving herwaarderingen vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa ";"C";5;;
"BMvaVbiCuhDeh";"0216030.04";"Desinvestering herwaarderingen vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa ";"C";5;;
"BMvaNad";"0217000";"Niet aan de bedrijfsuitoefening dienstbaar";"D";3;;
"BMvaNadVvp";"0217010";"Verkrijgings- of vervaardigingsprijs niet aan de bedrijfsuitoefening dienstbaar";"D";4;;
"BMvaNadVvpBeg";"0217010.01";"Beginbalans niet aan de bedrijfsuitoefening dienstbaar";"D";5;;
"BMvaNadVvpIna";"0217010.02";"Investeringen nieuw aangeschaft niet aan de bedrijfsuitoefening dienstbaar";"D";5;;
"BMvaNadVvpIta";"0217010.03";"Investeringen tweedehands aangeschaft niet aan de bedrijfsuitoefening dienstbaar";"D";5;;
"BMvaNadVvpIie";"0217010.04";"Investeringen in eigen beheer vervaardigd niet aan de bedrijfsuitoefening dienstbaar";"D";5;;
"BMvaNadVvpAdo";"0217010.05";"Aankopen door overnames niet aan de bedrijfsuitoefening dienstbaar";"D";5;;
"BMvaNadVvpDes";"0217010.06";"Desinvesteringen niet aan de bedrijfsuitoefening dienstbaar";"C";5;;
"BMvaNadVvpDda";"0217010.07";"Desinvesteringen door afstotingen niet aan de bedrijfsuitoefening dienstbaar";"C";5;;
"BMvaNadVvpOmv";"0217010.08";"Omrekeningsverschillen niet aan de bedrijfsuitoefening dienstbaar";"D";5;;
"BMvaNadVvpOve";"0217010.09";"Overboekingen niet aan de bedrijfsuitoefening dienstbaar";"D";5;;
"BMvaNadVvpOvm";"0217010.10";"Overige mutaties niet aan de bedrijfsuitoefening dienstbaar";"D";5;;
"BMvaNadCae";"0217020";"Cumulatieve afschrijvingen en waardeverminderingen niet aan de bedrijfsuitoefening dienstbaar";"C";4;;
"BMvaNadCaeBeg";"0217020.01";"Beginbalans niet aan de bedrijfsuitoefening dienstbaar";"C";5;;
"BMvaNadCaeAfs";"0217020.02";"Afschrijvingen niet aan de bedrijfsuitoefening dienstbaar";"C";5;;
"BMvaNadCaeDca";"0217020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen niet aan de bedrijfsuitoefening dienstbaar";"D";5;;
"BMvaNadCaeWvr";"0217020.04";"Waardeverminderingen niet aan de bedrijfsuitoefening dienstbaar";"C";5;;
"BMvaNadCaeTvw";"0217020.05";"Terugneming van waardeverminderingen niet aan de bedrijfsuitoefening dienstbaar";"D";5;;
"BMvaNadCuh";"0217030";"Cumulatieve herwaarderingen niet aan de bedrijfsuitoefening dienstbaar";"D";4;;
"BMvaNadCuhBeg";"0217030.01";"Beginbalans niet aan de bedrijfsuitoefening dienstbaar";"D";5;;
"BMvaNadCuhHer";"0217030.02";"Herwaarderingen niet aan de bedrijfsuitoefening dienstbaar";"D";5;;
"BMvaNadCuhAfh";"0217030.03";"Afschrijving herwaarderingen niet aan de bedrijfsuitoefening dienstbaar";"C";5;;
"BMvaNadCuhDeh";"0217030.04";"Desinvestering herwaarderingen niet aan de bedrijfsuitoefening dienstbaar";"C";5;;
"BMvaOmv";"0218000";"Overige materiële vaste activa";"D";3;;
"BMvaOmvVvp";"0218010";"Verkrijgings- of vervaardigingsprijs overige materiële vaste activa";"D";4;;
"BMvaOmvVvpBeg";"0218010.01";"Beginbalans overige materiële vaste activa";"D";5;;
"BMvaOmvVvpIna";"0218010.02";"Investeringen nieuw aangeschaft overige materiële vaste activa";"D";5;;
"BMvaOmvVvpIta";"0218010.03";"Investeringen tweedehands aangeschaft overige materiële vaste activa";"D";5;;
"BMvaOmvVvpIie";"0218010.04";"Investeringen in eigen beheer vervaardigd overige materiële vaste activa";"D";5;;
"BMvaOmvVvpAdo";"0218010.05";"Aankopen door overnames overige materiële vaste activa";"D";5;;
"BMvaOmvVvpDes";"0218010.06";"Desinvesteringen overige materiële vaste activa";"C";5;;
"BMvaOmvVvpDda";"0218010.07";"Desinvesteringen door afstotingen overige materiële vaste activa";"C";5;;
"BMvaOmvVvpOmv";"0218010.08";"Omrekeningsverschillen overige materiële vaste activa";"D";5;;
"BMvaOmvVvpOve";"0218010.09";"Overboekingen overige materiële vaste activa";"D";5;;
"BMvaOmvVvpOvm";"0218010.10";"Overige mutaties overige materiële vaste activa";"D";5;;
"BMvaOmvCae";"0218020";"Cumulatieve afschrijvingen en waardeverminderingen overige materiële vaste activa";"C";4;;
"BMvaOmvCaeBeg";"0218020.01";"Beginbalans overige materiële vaste activa";"C";5;;
"BMvaOmvCaeAfs";"0218020.02";"Afschrijvingen overige materiële vaste activa";"C";5;;
"BMvaOmvCaeDca";"0218020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen overige materiële vaste activa";"D";5;;
"BMvaOmvCaeWvr";"0218020.04";"Waardeverminderingen overige materiële vaste activa";"C";5;;
"BMvaOmvCaeTvw";"0218020.05";"Terugneming van waardeverminderingen overige materiële vaste activa";"D";5;;
"BMvaOmvCuh";"0218030";"Cumulatieve herwaarderingen overige materiële vaste activa";"D";4;;
"BMvaOmvCuhBeg";"0218030.01";"Beginbalans overige materiële vaste activa";"D";5;;
"BMvaOmvCuhHer";"0218030.02";"Herwaarderingen overige materiële vaste activa";"D";5;;
"BMvaOmvCuhAfh";"0218030.03";"Afschrijving herwaarderingen overige materiële vaste activa";"C";5;;
"BMvaOmvCuhDeh";"0218030.04";"Desinvestering herwaarderingen overige materiële vaste activa";"C";5;;
"BMvaMep";"0221000";"Meerjaren plantopstand";"D";3;;
"BMvaMepVvp";"0221010";"Verkrijgings- of vervaardigingsprijs meerjaren plantopstand";"D";4;;
"BMvaMepVvpBeg";"0221010.01";"Beginbalans meerjaren plantopstand";"D";5;;
"BMvaMepVvpIna";"0221010.02";"Investeringen nieuw aangeschaft meerjaren plantopstand";"D";5;;
"BMvaMepVvpIta";"0221010.03";"Investeringen tweedehands aangeschaft meerjaren plantopstand";"D";5;;
"BMvaMepVvpIie";"0221010.04";"Investeringen in eigen beheer vervaardigd meerjaren plantopstand";"D";5;;
"BMvaMepVvpAdo";"0221010.05";"Aankopen door overnames meerjaren plantopstand";"D";5;;
"BMvaMepVvpDes";"0221010.06";"Desinvesteringen meerjaren plantopstand";"C";5;;
"BMvaMepVvpDda";"0221010.07";"Desinvesteringen door afstotingen meerjaren plantopstand";"C";5;;
"BMvaMepVvpOmv";"0221010.08";"Omrekeningsverschillen meerjaren plantopstand";"D";5;;
"BMvaMepVvpOve";"0221010.09";"Overboekingen meerjaren plantopstand";"D";5;;
"BMvaMepVvpOvm";"0221010.10";"Overige mutaties meerjaren plantopstand";"D";5;;
"BMvaMepCae";"0221020";"Cumulatieve afschrijvingen en waardeverminderingen meerjaren plantopstand";"C";4;;
"BMvaMepCaeBeg";"0221020.01";"Beginbalans meerjaren plantopstand";"C";5;;
"BMvaMepCaeAfs";"0221020.02";"Afschrijvingen meerjaren plantopstand";"C";5;;
"BMvaMepCaeDca";"0221020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen meerjaren plantopstand";"D";5;;
"BMvaMepCaeWvr";"0221020.04";"Waardeverminderingen meerjaren plantopstand";"C";5;;
"BMvaMepCaeTvw";"0221020.05";"Terugneming van waardeverminderingen meerjaren plantopstand";"D";5;;
"BMvaMepCuh";"0221030";"Cumulatieve herwaarderingen meerjaren plantopstand";"D";4;;
"BMvaMepCuhBeg";"0221030.01";"Beginbalans meerjaren plantopstand";"D";5;;
"BMvaMepCuhHer";"0221030.02";"Herwaarderingen meerjaren plantopstand";"D";5;;
"BMvaMepCuhAfh";"0221030.03";"Afschrijving herwaarderingen meerjaren plantopstand";"C";5;;
"BMvaMepCuhDeh";"0221030.04";"Desinvestering herwaarderingen meerjaren plantopstand";"C";5;;
"BMvaGeb";"0222000";"Gebruiksvee";"D";3;;
"BMvaGebVvp";"0222010";"Verkrijgings- of vervaardigingsprijs gebruiksvee";"D";4;;
"BMvaGebVvpBeg";"0222010.01";"Beginbalans gebruiksvee";"D";5;;
"BMvaGebVvpIna";"0222010.02";"Investeringen nieuw aangeschaft gebruiksvee";"D";5;;
"BMvaGebVvpIta";"0222010.03";"Investeringen tweedehands aangeschaft gebruiksvee";"D";5;;
"BMvaGebVvpIie";"0222010.04";"Investeringen in eigen beheer vervaardigd gebruiksvee";"D";5;;
"BMvaGebVvpAdo";"0222010.05";"Aankopen door overnames gebruiksvee";"D";5;;
"BMvaGebVvpDes";"0222010.06";"Desinvesteringen gebruiksvee";"C";5;;
"BMvaGebVvpDda";"0222010.07";"Desinvesteringen door afstotingen gebruiksvee";"C";5;;
"BMvaGebVvpOmv";"0222010.08";"Omrekeningsverschillen gebruiksvee";"D";5;;
"BMvaGebVvpOve";"0222010.09";"Overboekingen gebruiksvee";"D";5;;
"BMvaGebVvpOvm";"0222010.10";"Overige mutaties gebruiksvee";"D";5;;
"BMvaGebCae";"0222020";"Cumulatieve afschrijvingen en waardeverminderingen gebruiksvee";"C";4;;
"BMvaGebCaeBeg";"0222020.01";"Beginbalans gebruiksvee";"C";5;;
"BMvaGebCaeAfs";"0222020.02";"Afschrijvingen gebruiksvee";"C";5;;
"BMvaGebCaeDca";"0222020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen gebruiksvee";"D";5;;
"BMvaGebCaeWvr";"0222020.04";"Waardeverminderingen gebruiksvee";"C";5;;
"BMvaGebCaeTvw";"0222020.05";"Terugneming van waardeverminderingen gebruiksvee";"D";5;;
"BMvaGebCuh";"0222030";"Cumulatieve herwaarderingen gebruiksvee";"D";4;;
"BMvaGebCuhBeg";"0222030.01";"Beginbalans gebruiksvee";"D";5;;
"BMvaGebCuhHer";"0222030.02";"Herwaarderingen gebruiksvee";"D";5;;
"BMvaGebCuhAfh";"0222030.03";"Afschrijving herwaarderingen gebruiksvee";"C";5;;
"BMvaGebCuhDeh";"0222030.04";"Desinvestering herwaarderingen gebruiksvee";"C";5;;
"BFva";;"FINANCIËLE VASTE ACTIVA";"D";2;;
"BFvaDig";"0301000";"Deelnemingen in groepsmaatschappijen";"D";3;;
"BFvaDigNev";"0301010";"Netto vermogenswaarde deelnemingen in groepsmaatschappijen";"D";4;;
"BFvaDigNevBeg";"0301010.01";"Beginbalans deelnemingen in groepsmaatschappijen";"D";5;;
"BFvaDigNevInv";"0301010.02";"Investeringen deelnemingen in groepsmaatschappijen";"D";5;;
"BFvaDigNevAdo";"0301010.03";"Aankopen door overnames deelnemingen in groepsmaatschappijen";"D";5;;
"BFvaDigNevDes";"0301010.04";"Desinvesteringen deelnemingen in groepsmaatschappijen";"C";5;;
"BFvaDigNevDda";"0301010.05";"Desinvesteringen door afstotingen deelnemingen in groepsmaatschappijen";"C";5;;
"BFvaDigNevAir";"0301010.06";"Aandeel in resultaat deelnemingen in groepsmaatschappijen";"D";5;;
"BFvaDigNevDvd";"0301010.07";"Dividend van deelnemingen in groepsmaatschappijen";"C";5;;
"BFvaDigNevAid";"0301010.08";"Aandeel in directe vermogenstransacties deelnemingen in groepsmaatschappijen";"D";5;;
"BFvaDigNevOmv";"0301010.09";"Omrekeningsverschillen deelnemingen in groepsmaatschappijen";"D";5;;
"BFvaDigNevOvm";"0301010.10";"Overige mutaties deelnemingen in groepsmaatschappijen";"D";5;;
"BFvaDigCae";"0301020";"Cumulatieve afschrijvingen en waardeverminderingen deelnemingen in groepsmaatschappijen";"C";4;;
"BFvaDigCaeBeg";"0301020.01";"Beginbalans deelnemingen in groepsmaatschappijen";"C";5;;
"BFvaDigCaeAfs";"0301020.02";"Afschrijvingen deelnemingen in groepsmaatschappijen";"C";5;;
"BFvaDigCaeDca";"0301020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen deelnemingen in groepsmaatschappijen";"D";5;;
"BFvaDigCaeWvr";"0301020.04";"Waardeverminderingen deelnemingen in groepsmaatschappijen";"C";5;;
"BFvaDigCaeTvw";"0301020.05";"Terugneming van waardeverminderingen deelnemingen in groepsmaatschappijen";"D";5;;
"BFvaDigCuh";"0301030";"Cumulatieve herwaarderingen deelnemingen in groepsmaatschappijen";"D";4;;
"BFvaDigCuhBeg";"0301030.01";"Beginbalans deelnemingen in groepsmaatschappijen";"D";5;;
"BFvaDigCuhHer";"0301030.02";"Herwaarderingen deelnemingen in groepsmaatschappijen";"D";5;;
"BFvaDigCuhAfh";"0301030.03";"Afschrijving herwaarderingen deelnemingen in groepsmaatschappijen";"C";5;;
"BFvaDigCuhDeh";"0301030.04";"Desinvestering herwaarderingen deelnemingen in groepsmaatschappijen";"C";5;;
"BFvaDio";"0302000";"Deelnemingen in overige verbonden maatschappijen";"D";3;;
"BFvaDioKpr";"0302010";"Kostprijs deelnemingen in overige verbonden maatschappijen";"D";4;;
"BFvaDioKprBeg";"0302010.01";"Beginbalans deelnemingen in overige verbonden maatschappijen";"D";5;;
"BFvaDioKprInv";"0302010.02";"Investeringen deelnemingen in overige verbonden maatschappijen";"D";5;;
"BFvaDioKprAdo";"0302010.03";"Aankopen door overnames deelnemingen in overige verbonden maatschappijen";"D";5;;
"BFvaDioKprDes";"0302010.04";"Desinvesteringen deelnemingen in overige verbonden maatschappijen";"C";5;;
"BFvaDioKprDda";"0302010.05";"Desinvesteringen door afstotingen deelnemingen in overige verbonden maatschappijen";"C";5;;
"BFvaDioKprAid";"0302010.06";"Aandeel in directe vermogenstransacties deelnemingen in overige verbonden maatschappijen";"D";5;;
"BFvaDioKprOmv";"0302010.07";"Omrekeningsverschillen deelnemingen in overige verbonden maatschappijen";"D";5;;
"BFvaDioKprOvm";"0302010.08";"Overige mutaties deelnemingen in overige verbonden maatschappijen";"D";5;;
"BFvaDioNev";"0302020";"Netto vermogenswaarde deelnemingen in overige verbonden maatschappijen";"D";4;;
"BFvaDioNevBeg";"0302020.01";"Beginbalans deelnemingen in overige verbonden maatschappijen";"D";5;;
"BFvaDioNevInv";"0302020.02";"Investeringen deelnemingen in overige verbonden maatschappijen";"D";5;;
"BFvaDioNevAdo";"0302020.03";"Aankopen door overnames deelnemingen in overige verbonden maatschappijen";"D";5;;
"BFvaDioNevDes";"0302020.04";"Desinvesteringen deelnemingen in overige verbonden maatschappijen";"C";5;;
"BFvaDioNevDda";"0302020.05";"Desinvesteringen door afstotingen deelnemingen in overige verbonden maatschappijen";"C";5;;
"BFvaDioNevAir";"0302020.06";"Aandeel in resultaat deelnemingen in overige verbonden maatschappijen";"D";5;;
"BFvaDioNevDvd";"0302020.07";"Dividend van deelnemingen in overige verbonden maatschappijen";"D";5;;
"BFvaDioNevAid";"0302020.08";"Aandeel in directe vermogenstransacties deelnemingen in overige verbonden maatschappijen";"D";5;;
"BFvaDioNevOmv";"0302020.09";"Omrekeningsverschillen deelnemingen in overige verbonden maatschappijen";"D";5;;
"BFvaDioNevOvm";"0302020.10";"Overige mutaties deelnemingen in overige verbonden maatschappijen";"D";5;;
"BFvaDioCae";"0302030";"Cumulatieve afschrijvingen en waardeverminderingen deelnemingen in overige verbonden maatschappijen";"C";4;;
"BFvaDioCaeBeg";"0302030.01";"Beginbalans deelnemingen in overige verbonden maatschappijen";"C";5;;
"BFvaDioCaeAfs";"0302030.02";"Afschrijvingen deelnemingen in overige verbonden maatschappijen";"C";5;;
"BFvaDioCaeDca";"0302030.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen deelnemingen in overige verbonden maatschappijen";"D";5;;
"BFvaDioCaeWvr";"0302030.04";"Waardeverminderingen deelnemingen in overige verbonden maatschappijen";"C";5;;
"BFvaDioCaeTvw";"0302030.05";"Terugneming van waardeverminderingen deelnemingen in overige verbonden maatschappijen";"D";5;;
"BFvaDioCuh";"0302040";"Cumulatieve herwaarderingen deelnemingen in overige verbonden maatschappijen";"D";4;;
"BFvaDioCuhBeg";"0302040.01";"Beginbalans deelnemingen in overige verbonden maatschappijen";"D";5;;
"BFvaDioCuhHer";"0302040.02";"Herwaarderingen deelnemingen in overige verbonden maatschappijen";"D";5;;
"BFvaDioCuhAfh";"0302040.03";"Afschrijving herwaarderingen deelnemingen in overige verbonden maatschappijen";"C";5;;
"BFvaDioCuhDeh";"0302040.04";"Desinvestering herwaarderingen deelnemingen in overige verbonden maatschappijen";"C";5;;
"BFvaAnd";"0303000";"Andere deelnemingen";"D";3;;
"BFvaAndKpr";"0303010";"Kostprijs andere deelnemingen";"D";4;;
"BFvaAndKprBeg";"0303010.01";"Beginbalans andere deelnemingen";"D";5;;
"BFvaAndKprInv";"0303010.02";"Investeringen andere deelnemingen";"D";5;;
"BFvaAndKprAdo";"0303010.03";"Aankopen door overnames andere deelnemingen";"D";5;;
"BFvaAndKprDes";"0303010.04";"Desinvesteringen andere deelnemingen";"C";5;;
"BFvaAndKprDda";"0303010.05";"Desinvesteringen door afstotingen andere deelnemingen";"C";5;;
"BFvaAndKprAid";"0303010.06";"Aandeel in directe vermogenstransacties andere deelnemingen";"D";5;;
"BFvaAndKprOmv";"0303010.07";"Omrekeningsverschillen andere deelnemingen";"D";5;;
"BFvaAndKprOvm";"0303010.08";"Overige mutaties andere deelnemingen";"D";5;;
"BFvaAndCae";"0303020";"Cumulatieve afschrijvingen en waardeverminderingen andere deelnemingen";"C";4;;
"BFvaAndCaeBeg";"0303020.01";"Beginbalans andere deelnemingen";"C";5;;
"BFvaAndCaeAfs";"0303020.02";"Afschrijvingen andere deelnemingen";"C";5;;
"BFvaAndCaeDca";"0303020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen andere deelnemingen";"D";5;;
"BFvaAndCaeWvr";"0303020.04";"Waardeverminderingen andere deelnemingen";"C";5;;
"BFvaAndCaeTvw";"0303020.05";"Terugneming van waardeverminderingen andere deelnemingen";"D";5;;
"BFvaAndCuh";"0303030";"Cumulatieve herwaarderingen andere deelnemingen";"D";4;;
"BFvaAndCuhBeg";"0303030.01";"Beginbalans andere deelnemingen";"D";5;;
"BFvaAndCuhHer";"0303030.02";"Herwaarderingen andere deelnemingen";"D";5;;
"BFvaAndCuhAfh";"0303030.03";"Afschrijving herwaarderingen andere deelnemingen";"C";5;;
"BFvaAndCuhDeh";"0303030.04";"Desinvestering herwaarderingen andere deelnemingen";"C";5;;
"BFvaOve";"0304000";"Overige effecten";"D";3;;
"BFvaOveWaa";"0304010";"Waarde overige effecten";"D";4;;
"BFvaOveWaaBeg";"0304010.01";"Beginbalans overige effecten";"D";5;;
"BFvaOveWaaInv";"0304010.02";"Investeringen overige effecten";"D";5;;
"BFvaOveWaaAan";"0304010.03";"Aankoop overige effecten";"D";5;;
"BFvaOveWaaVrk";"0304010.04";"Verkoop overige effecten";"C";5;;
"BFvaOveWaaWst";"0304010.05";"Waardestijgingen overige effecten";"D";5;;
"BFvaOveWaaOmv";"0304010.06";"Omrekeningsverschillen overige effecten";"D";5;;
"BFvaOveWaaOvm";"0304010.07";"Overige mutaties overige effecten";"D";5;;
"BFvaOveCuw";"0304020";"Cumulatieve waardeverminderingen overige effecten";"C";4;;
"BFvaOveCuwBeg";"0304020.01";"Beginbalans overige effecten";"C";5;;
"BFvaOveCuwWvr";"0304020.02";"Waardeverminderingen overige effecten";"C";5;;
"BFvaOveCuwTvw";"0304020.03";"Terugneming van waardeverminderingen overige effecten";"D";5;;
"BFvaOveCuh";"0304030";"Cumulatieve herwaarderingen overige effecten";"D";4;;
"BFvaOveCuhBeg";"0304030.01";"Beginbalans overige effecten";"D";5;;
"BFvaOveCuhHer";"0304030.02";"Herwaarderingen overige effecten";"D";5;;
"BFvaOveCuhAfh";"0304030.03";"Afschrijving herwaarderingen overige effecten";"C";5;;
"BFvaOveCuhDeh";"0304030.04";"Desinvestering herwaarderingen overige effecten";"C";5;;
"BFvaVog";"0305000";"Vorderingen op groepsmaatschappijen";"D";3;;
"BFvaVogVgl";"0305010";"Vorderingen op groepsmaatschappijen (langlopend)";"D";4;;
"BFvaVogVglBeg";"0305010.01";"Beginbalans vorderingen op groepsmaatschappijen (langlopend)";"D";5;;
"BFvaVogVglVer";"0305010.02";"Verstrekkingen vorderingen op groepsmaatschappijen (langlopend)";"D";5;;
"BFvaVogVglAfl";"0305010.03";"Aflossingen vorderingen op groepsmaatschappijen (langlopend)";"C";5;;
"BFvaVogVglAdo";"0305010.04";"Aankopen door overnames vorderingen op groepsmaatschappijen (langlopend)";"D";5;;
"BFvaVogVglWvr";"0305010.05";"Waardeverminderingen vorderingen op groepsmaatschappijen (langlopend)";"C";5;;
"BFvaVogVglTvw";"0305010.06";"Terugneming van waardeverminderingen vorderingen op groepsmaatschappijen (langlopend)";"D";5;;
"BFvaVogVglAid";"0305010.07";"Aandeel in directe vermogenstransacties vorderingen op groepsmaatschappijen (langlopend)";"D";5;;
"BFvaVogVglOmv";"0305010.08";"Omrekeningsverschillen vorderingen op groepsmaatschappijen (langlopend)";"D";5;;
"BFvaVogVglKod";"0305010.09";"Kortlopend deel vorderingen op groepsmaatschappijen (langlopend)";"C";5;;
"BFvaVogVglOvm";"0305010.10";"Overige mutaties vorderingen op groepsmaatschappijen (langlopend)";"D";5;;
"BFvaVop";"0306000";"Vorderingen op participanten en op maatschappijen waarin wordt deelgenomen";"D";3;;
"BFvaVopVpl";"0306010";"Vorderingen op participanten en op maatschappijen waarin wordt deelgenomen (langlopend)";"D";4;;
"BFvaVopVplBeg";"0306010.01";"Beginbalans vorderingen op participanten en op maatschappijen waarin wordt deelgenomen (langlopend)";"D";5;;
"BFvaVopVplVer";"0306010.02";"Verstrekkingen vorderingen op participanten en op maatschappijen waarin wordt deelgenomen (langlopend)";"D";5;;
"BFvaVopVplAfl";"0306010.03";"Aflossingen vorderingen op participanten en op maatschappijen waarin wordt deelgenomen (langlopend)";"C";5;;
"BFvaVopVplAdo";"0306010.04";"Aankopen door overnames vorderingen op participanten en op maatschappijen waarin wordt deelgenomen (langlopend)";"D";5;;
"BFvaVopVplWvr";"0306010.05";"Waardeverminderingen vorderingen op participanten en op maatschappijen waarin wordt deelgenomen (langlopend)";"C";5;;
"BFvaVopVplTvw";"0306010.06";"Terugneming van waardeverminderingen vorderingen op participanten en op maatschappijen waarin wordt deelgenomen (langlopend)";"D";5;;
"BFvaVopVplAid";"0306010.07";"Aandeel in directe vermogenstransacties vorderingen op participanten en op maatschappijen waarin wordt deelgenomen (langlopend)";"D";5;;
"BFvaVopVplOmv";"0306010.08";"Omrekeningsverschillen vorderingen op participanten en op maatschappijen waarin wordt deelgenomen (langlopend)";"D";5;;
"BFvaVopVplKod";"0306010.09";"Kortlopend deel vorderingen op participanten en op maatschappijen waarin wordt deelgenomen (langlopend)";"C";5;;
"BFvaVopVplOvm";"0306010.10";"Overige mutaties vorderingen op participanten en op maatschappijen waarin wordt deelgenomen (langlopend)";"D";5;;
