"id","sequence","active","description","invoice_label","type_tax_use","name","description@es","description@ca","amount","amount_type","tax_group_id","analytic","l10n_es_type","l10n_es_exempt_reason","l10n_es_bien_inversion","tax_scope","include_base_amount","repartition_line_ids/repartition_type","repartition_line_ids/tag_ids","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent","invoice_label@es","children_tax_ids","price_include_override","fiscal_position_ids","original_tax_ids","invoice_legal_notes"
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[203]","refund","account_common_472","","","","","","",""
"account_tax_template_p_iva4_ibi","","True","VAT 4% import (investment goods)","","purchase","4% EX IG","IVA 4% Importaciones bienes de inversión","IVA 4% Importacions béns d'inversió","4.0","percent","tax_group_iva_4","","sujeto","","True","consu","","base","mod303[34]||mod390[208]","invoice","","","","","","fp_extra","account_tax_template_p_iva4_bi",""
"","","","","","","","","","","","","","","","","","","tax","mod303[35]||mod390[209]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod390[208]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[209]","refund","account_common_472","","","","","","",""
"account_tax_template_p_iva5_ibi","","True","VAT 5% import (investment goods)","","purchase","5% EX IG","IVA 5% Importaciones bienes de inversión","IVA 5% Importacions béns d'inversió","5.0","percent","tax_group_iva_5","","sujeto","","True","consu","","base","mod303[32]||mod390[734]","invoice","","","","","","fp_extra","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[33]||mod390[735]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod390[734]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[735]","refund","account_common_472","","","","","","",""
"account_tax_template_p_iva10_ibc","","True","VAT 10% import (goods)","","purchase","10% EX G","IVA 10% Importaciones bienes corrientes","IVA 10% Importacions béns corrents","10.0","percent","tax_group_iva_10","","dua","","","consu","","base","mod303[32]||mod390[619]","invoice","","","","","","fp_extra","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[33]||mod390[620]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod390[619]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[620]","refund","account_common_472","","","","","","",""
"account_tax_template_p_iva10_ibi","","True","VAT 10% import (investment goods)","","purchase","10% EX IG","IVA 10% Importaciones bienes de inversión","IVA 10% Importacions béns d'inversió","10.0","percent","tax_group_iva_10","","sujeto","","True","consu","","base","mod303[34]||mod390[623]","invoice","","","","","","fp_extra","account_tax_template_p_iva10_bi",""
"","","","","","","","","","","","","","","","","","","tax","mod303[35]||mod390[624]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod390[623]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[624]","refund","account_common_472","","","","","","",""
"account_tax_template_p_iva7-5_ibc","","True","VAT 7.5% import (goods)","","purchase","7.5% EX G","IVA 7,5% Importaciones bienes corrientes","IVA 7,5% Importacions béns corrents","7.5","percent","tax_group_iva_7-5","","sujeto","","","consu","","base","mod303[32]||mod390[759]","invoice","","","","","","fp_extra","account_tax_template_p_iva7-5_bc",""
"","","","","","","","","","","","","","","","","","","tax","mod303[33]||mod390[760]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod390[759]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[760]","refund","account_common_472","","","","","","",""
"account_tax_template_p_iva7-5_isc","","True","VAT 7.5% import (services)","","purchase","7.5% EX S","IVA 7,5% Adquisición de servicios extracomunitarios","IVA 7,5% Adquisició de serveis extracomunitaris","7.5","percent","tax_group_iva_7-5","","sujeto_isp","","","service","","base","mod303[28]||mod303[12]||mod390[605]","invoice","","","","","","fp_extra","account_tax_template_p_iva7-5_sc",""
"","","","","","","","","","","","","","","","","","","tax","mod303[29]||mod390[606]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[13]","invoice","account_common_477","-100","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod303[14_purchase]||mod390[605]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[606]","refund","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[15]","refund","account_common_477","-100","","","","","",""
"account_tax_template_p_iva5_ibc","","False","VAT 5% import (goods)","","purchase","5% EX G","IVA 5% Importaciones bienes corrientes","IVA 5% Importacions béns corrents","5.0","percent","tax_group_iva_5","","sujeto","","","consu","","base","mod303[32]||mod390[732]","invoice","","","","","","fp_extra","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[33]||mod390[733]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod390[732]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[733]","refund","account_common_472","","","","","","",""
"account_tax_template_p_iva5_isc","","False","VAT 5% import (services)","","purchase","5% EX S","IVA 5% Adquisición de servicios extracomunitarios","IVA 5% Adquisició de serveis extracomunitaris","5.0","percent","tax_group_iva_5","","sujeto_isp","","","service","","base","mod303[28]||mod303[12]||mod390[605]","invoice","","","","","","fp_extra","account_tax_template_p_iva5_sc",""
"","","","","","","","","","","","","","","","","","","tax","mod303[29]||mod390[606]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[13]","invoice","account_common_477","-100","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod303[14_purchase]||mod390[605]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[606]","refund","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[15]","refund","account_common_477","-100","","","","","",""
"account_tax_template_p_iva2_ibc","","True","VAT 2% import (goods)","","purchase","2% EX G","IVA 2% Importaciones bienes corrientes","IVA 2% Importacions béns corrents","2.0","percent","tax_group_iva_2","","sujeto","","","consu","","base","mod303[32]||mod390[732]","invoice","","","","","","fp_extra","account_tax_template_p_iva2_bc",""
"","","","","","","","","","","","","","","","","","","tax","mod303[33]||mod390[733]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod390[732]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[733]","refund","account_common_472","","","","","","",""
"account_tax_template_p_iva2_isc","","True","VAT 2% import (services)","","purchase","2% EX S","IVA 2% Adquisición de servicios extracomunitarios","IVA 2% Adquisició de serveis extracomunitaris","2.0","percent","tax_group_iva_2","","sujeto_isp","","","service","","base","mod303[28]||mod303[12]||mod390[605]","invoice","","","","","","fp_extra","account_tax_template_p_iva2_sc",""
"","","","","","","","","","","","","","","","","","","tax","mod303[29]||mod390[606]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[13]","invoice","account_common_477","-100","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod303[14_purchase]||mod390[605]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[606]","refund","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[15]","refund","account_common_477","-100","","","","","",""
"account_tax_template_p_iva0_ibc","","True","VAT 0% import (goods)","","purchase","0% EX G","IVA 0% Importaciones bienes corrientes","IVA 0% Importacions béns corrents","0.0","percent","tax_group_iva_0","","sujeto","","","consu","","base","mod303[32]","invoice","","","","","","fp_extra","account_tax_template_p_iva0_s_bc",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","","","","","","","",""
"account_tax_template_p_iva0_isc","","True","VAT 0% import (services)","","purchase","0% EX S","IVA 0% Adquisición de servicios extracomunitarios","IVA 0% Adquisició de serveis extracomunitaris","0.0","percent","tax_group_iva_0","","sujeto","","","service","","base","mod303[32]","invoice","","","","","","fp_extra","account_tax_template_p_iva0_s_sc",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","","","","","","","",""
"account_tax_template_p_iva0_s_bc","","True","VAT 0% (goods)","","purchase","0% G","0% IVA (bienes corrientes)","0% IVA (béns corrents)","0.0","percent","tax_group_iva_0","","sujeto","","","consu","","base","mod303[28]","invoice","","","","","","l10n_es_domestic_fiscal_position,fp_recargo,fp_intra_private","account_tax_template_p_iva0_s_bc",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","","","","","","","",""
"account_tax_template_p_iva0_s_sc","","True","VAT 0% (services)","","purchase","0% S","0% IVA (servicios corrientes)","0% IVA (serveis corrents)","0.0","percent","tax_group_iva_0","","sujeto","","","service","","base","mod303[28]","invoice","","","","","","l10n_es_domestic_fiscal_position,fp_recargo,fp_intra_private","account_tax_template_p_iva0_s_sc",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","","","","","","","",""
"account_tax_template_p_iva2_bc","","True","VAT 2% (goods)","","purchase","2% G","2% IVA (bienes corrientes)","2% IVA (béns corrents)","2.0","percent","tax_group_iva_2","","sujeto","","","consu","","base","mod303[28]||mod390[724]","invoice","","","","","","l10n_es_domestic_fiscal_position,fp_recargo,fp_intra_private","account_tax_template_p_iva2_bc",""
"","","","","","","","","","","","","","","","","","","tax","mod303[29]||mod390[725]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod390[724]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[725]","refund","account_common_472","","","","","","",""
"account_tax_template_p_iva2_sc","","True","VAT 2% (services)","","purchase","2% S","2% IVA (servicios corrientes)","2% IVA (serveis corrents)","2.0","percent","tax_group_iva_2","","sujeto","","","service","","base","mod303[28]||mod390[724]","invoice","","","","","","l10n_es_domestic_fiscal_position,fp_recargo,fp_intra_private","account_tax_template_p_iva2_sc",""
"","","","","","","","","","","","","","","","","","","tax","mod303[29]||mod390[725]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod390[724]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[725]","refund","account_common_472","","","","","","",""
"account_tax_template_p_iva4_bi","","True","VAT 4% (investment goods)","","purchase","4% IG","4% IVA (bienes de inversión)","4% IVA (béns d'inversió)","4.0","percent","tax_group_iva_4","","sujeto","","True","consu","","base","mod303[30]||mod390[196]","invoice","","","","","","fp_recargo_isp,l10n_es_domestic_fiscal_position,fp_recargo,fp_intra_private","account_tax_template_p_iva4_bi",""
"","","","","","","","","","","","","","","","","","","tax","mod303[31]||mod390[197]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod390[196]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[197]","refund","account_common_472","","","","","","",""
"account_tax_template_p_iva5_bi","","True","VAT 5% (investment goods)","","purchase","5% IG","5% IVA (bienes de inversión)","5% IVA (béns d'inversió)","5.0","percent","tax_group_iva_5","","sujeto","","True","consu","","base","mod303[28]||mod390[728]","invoice","","","","","","l10n_es_domestic_fiscal_position,fp_intra_private","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[29]||mod390[729]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod390[728]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[729]","refund","account_common_472","","","","","","",""
"account_tax_template_p_iva4_sc","","True","VAT 4% (services)","","purchase","4% S","4% IVA (servicios corrientes)","4% IVA (serveis corrents)","4.0","percent","tax_group_iva_4","","sujeto","","","service","","base","mod303[28]||mod390[190]","invoice","","","","","","fp_irpf20a,fp_irpf2,fp_irpfnrue19,fp_irpfnrnue0,fp_irpf21,fp_irpf9,fp_recargo_isp,fp_irpf1,fp_irpf7,fp_irpf195a,fp_intra_private,fp_irpf24,fp_irpfnrnue24,fp_irpfnrue0,fp_irpf20,fp_irpf18,fp_irpf15,fp_irpf19,fp_irpf19a,fp_irpf21a,l10n_es_domestic_fiscal_position,fp_recargo","account_tax_template_p_iva4_sc",""
"","","","","","","","","","","","","","","","","","","tax","mod303[29]||mod390[191]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod390[190]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[191]","refund","account_common_472","","","","","","",""
"account_tax_template_p_iva5_bc","","False","VAT 5% (goods)","","purchase","5% G","5% IVA (bienes corrientes)","5% IVA (béns corrents)","5.0","percent","tax_group_iva_5","","sujeto","","","consu","","base","mod303[28]||mod390[724]","invoice","","","","","","l10n_es_domestic_fiscal_position,fp_recargo,fp_intra_private","account_tax_template_p_iva5_bc",""
"","","","","","","","","","","","","","","","","","","tax","mod303[29]||mod390[725]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod390[724]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[725]","refund","account_common_472","","","","","","",""
"account_tax_template_p_iva5_sc","","False","VAT 5% (services)","","purchase","5% S","5% IVA (servicios corrientes)","5% IVA (serveis corrents)","5.0","percent","tax_group_iva_5","","sujeto","","","service","","base","mod303[28]||mod390[724]","invoice","","","","","","l10n_es_domestic_fiscal_position,fp_recargo,fp_intra_private","account_tax_template_p_iva5_sc",""
"","","","","","","","","","","","","","","","","","","tax","mod303[29]||mod390[725]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod390[724]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[725]","refund","account_common_472","","","","","","",""
"account_tax_template_p_iva7-5_bc","","True","VAT 7.5% (goods)","","purchase","7.5% G","7,5% IVA (bienes corrientes)","7,5% IVA (béns corrents)","7.5","percent","tax_group_iva_7-5","","sujeto","","","consu","","base","mod303[28]||mod390[697]","invoice","","","","","","l10n_es_domestic_fiscal_position,fp_recargo,fp_intra_private","account_tax_template_p_iva7-5_bc",""
"","","","","","","","","","","","","","","","","","","tax","mod303[29]||mod390[698]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod390[697]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[698]","refund","account_common_472","","","","","","",""
"account_tax_template_p_iva7-5_sc","","True","VAT 7.5% (services)","","purchase","7.5% S","7,5% IVA (servicios corrientes)","7,5% IVA (serveis corrents)","7.5","percent","tax_group_iva_7-5","","sujeto","","","service","","base","mod303[28]||mod390[697]","invoice","","","","","","l10n_es_domestic_fiscal_position,fp_recargo,fp_intra_private","account_tax_template_p_iva7-5_sc",""
"","","","","","","","","","","","","","","","","","","tax","mod303[29]||mod390[698]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod390[697]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[698]","refund","account_common_472","","","","","","",""
"account_tax_template_p_iva10_bi","","True","VAT 10% (investment goods)","","purchase","10% IG","10% IVA (bienes de inversión)","10% IVA (béns d'inversió)","10.0","percent","tax_group_iva_10","","sujeto","","True","consu","","base","mod303[30]||mod390[611]","invoice","","","","","","fp_recargo_isp,l10n_es_domestic_fiscal_position,fp_recargo,fp_intra_private","account_tax_template_p_iva10_bi",""
"","","","","","","","","","","","","","","","","","","tax","mod303[31]||mod390[612]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod390[611]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[612]","refund","account_common_472","","","","","","",""
"account_tax_template_p_iva21_bi","","True","VAT 21% (investment goods)","","purchase","21% IG","21% IVA (bienes de inversión)","21% IVA (béns d'inversió)","21.0","percent","tax_group_iva_21","","sujeto","","True","consu","","base","mod303[30]||mod390[613]","invoice","","","","","","fp_recargo_isp,l10n_es_domestic_fiscal_position,fp_recargo,fp_intra_private","account_tax_template_p_iva21_bi",""
"","","","","","","","","","","","","","","","","","","tax","mod303[31]||mod390[614]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod390[613]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[614]","refund","account_common_472","","","","","","",""
"account_tax_template_p_iva10_bc","","True","VAT 10% (goods)","","purchase","10% G","10% IVA (bienes corrientes)","10% IVA (béns corrents)","10.0","percent","tax_group_iva_10","","sujeto","","","consu","","base","mod303[28]||mod390[603]","invoice","","","","","","fp_irpf20a,fp_irpf2,fp_irpfnrue19,fp_irpfnrnue0,fp_irpf21,fp_irpf9,fp_recargo_isp,fp_irpf1,fp_irpf7,fp_irpf195a,fp_intra_private,fp_irpf24,fp_irpfnrnue24,fp_irpfnrue0,fp_irpf20,fp_irpf18,fp_irpf15,fp_irpf19,fp_irpf19a,fp_irpf21a,l10n_es_domestic_fiscal_position,fp_recargo","account_tax_template_p_iva10_bc",""
"","","","","","","","","","","","","","","","","","","tax","mod303[29]||mod390[604]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod390[603]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[604]","refund","account_common_472","","","","","","",""
"account_tax_template_p_iva4_bc","","True","VAT 4% (goods)","","purchase","4% G","4% IVA (bienes corrientes)","4% IVA (béns corrents)","4.0","percent","tax_group_iva_4","","sujeto","","","consu","","base","mod303[28]||mod390[190]","invoice","","","","","","fp_irpf20a,fp_irpf2,fp_irpfnrue19,fp_irpfnrnue0,fp_irpf21,fp_irpf9,fp_recargo_isp,fp_irpf1,fp_irpf7,fp_irpf195a,fp_intra_private,fp_irpf24,fp_irpfnrnue24,fp_irpfnrue0,fp_irpf20,fp_irpf18,fp_irpf15,fp_irpf19,fp_irpf19a,fp_irpf21a,l10n_es_domestic_fiscal_position,fp_recargo","account_tax_template_p_iva4_bc",""
"","","","","","","","","","","","","","","","","","","tax","mod303[29]||mod390[191]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod390[190]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[191]","refund","account_common_472","","","","","","",""
"account_tax_template_p_iva10_sc","","True","VAT 10% (services)","","purchase","10% S","10% IVA (servicios corrientes)","10% IVA (serveis corrents)","10.0","percent","tax_group_iva_10","","sujeto","","","service","","base","mod303[28]||mod390[603]","invoice","","","","","","fp_irpf20a,fp_irpf2,fp_irpfnrue19,fp_irpfnrnue0,fp_irpf21,fp_irpf9,fp_recargo_isp,fp_irpf1,fp_irpf7,fp_irpf195a,fp_intra_private,fp_irpf24,fp_irpfnrnue24,fp_irpfnrue0,fp_irpf20,fp_irpf18,fp_irpf15,fp_irpf19,fp_irpf19a,fp_irpf21a,l10n_es_domestic_fiscal_position,fp_recargo","account_tax_template_p_iva10_sc",""
"","","","","","","","","","","","","","","","","","","tax","mod303[29]||mod390[604]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod390[603]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[604]","refund","account_common_472","","","","","","",""
"account_tax_template_s_iva0","","False","VAT Exempt (Others)","VAT Exempt","sale","0% EXEMPT Otros","IVA Exento (Otros)","IVA Exempt (altres)","0.0","percent","tax_group_iva_0","","exento","E6","","","","base","","invoice","","","IVA Exento","","","fp_irpf20a,fp_irpf2,fp_irpfnrue19,fp_irpfnrnue0,fp_irpf21,fp_irpf9,fp_irpf7,fp_irpf1,fp_irpf195a,fp_intra_private,fp_irpf24,fp_irpfnrnue24,fp_irpfnrue0,fp_irpf20,fp_irpf18,fp_irpf15,fp_irpf19,fp_irpf19a,fp_irpf21a,l10n_es_domestic_fiscal_position","account_tax_template_s_iva0",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","account_common_472","","","","","","",""
"account_tax_template_s_iva0_art22","","False","VAT Exempt (Art. 22)","VAT Exempt (Art.22)","sale","0% EXEMPT Art.22","IVA Exento Art.22","IVA Exempt sense dret a deducció (art.22)","0.0","percent","tax_group_iva_0","","exento","E3","","","","base","mod303[60]","invoice","","","IVA Exento","","","l10n_es_domestic_fiscal_position,fp_intra_private","",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[60]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","account_common_472","","","","","","",""
"account_tax_template_s_iva0_art23","","False","VAT Exempt (Art. 23/24)","VAT Exempt (Art.23/24)","sale","0% EXEMPT Art.23/24","IVA Exento Art.23/24","IVA Exempt sense dret a deducció (art.23/24)","0.0","percent","tax_group_iva_0","","exento","E4","","","","base","mod303[60]","invoice","","","IVA Exento","","","l10n_es_domestic_fiscal_position,fp_intra_private","",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[60]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","account_common_472","","","","","","",""
"account_tax_template_s_iva0_ns","","True","VAT Exempt not subjected (very special case)","VAT Exempt Non-Subject","sale","0% EXEMPT NS","IVA Exento Repercutido No Sujeto","IVA Exempt repercutit no sotmès","0.0","percent","tax_group_iva_0","","ignore","","","","","base","","invoice","","","IVA Exento No Sujeto","","","fp_not_subject_tai","",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","","","","","","","",""
"account_tax_template_s_iva0_nsd","","True","VAT Exempt (Art. 20)","VAT Exempt (Art.20)","sale","0% EXEMPT Art.20","IVA Exento Art.20","IVA Exempt sense dret a deducció (art.20)","0.0","percent","tax_group_iva_0","","exento","E1","","","","base","","invoice","","","IVA Exento No Deducible","","","l10n_es_domestic_fiscal_position,fp_intra_private","",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","","","","","","","",""
"account_tax_template_s_req0","","True","0% surcharge equivalence sales","0% Rec. Eq.","sale","0% SE","0% Recargo Equivalencia Ventas","0% Recàrrec equivalència vendes","0.0","percent","tax_group_recargo_0","","recargo","","","","","base","mod303[16]","invoice","","","0% Rec. Eq.","","","fp_recargo","account_tax_template_s_iva0s,account_tax_template_s_iva0b",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[25]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","","","","","","","",""
"account_tax_template_s_req026","","True","0.26% surcharge equivalence sales","0.26% Rec. Eq.","sale","0.26% SE","0,26% Recargo Equivalencia Ventas","0,26% Recàrrec equivalència vendes","0.26","percent","tax_group_recargo_0-26","","recargo","","","","","base","mod303[168]","invoice","","","0.50% Rec. Eq.","","","fp_recargo","account_tax_template_s_iva2s,account_tax_template_s_iva2b",""
"","","","","","","","","","","","","","","","","","","tax","mod303[170]","invoice","account_common_477","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[25]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[26]","refund","account_common_477","","","","","","",""
"account_tax_template_s_req05","","True","0.5% surcharge equivalence sales","0.50% Rec. Eq.","sale","0.5% SE","0,50% Recargo Equivalencia Ventas","0,50% Recàrrec equivalència vendes","0.5","percent","tax_group_recargo_0-5","","recargo","","","","","base","mod303[168]","invoice","","","0.50% Rec. Eq.","","","fp_recargo,fp_recargo_isp","account_tax_template_s_iva4b,account_tax_template_s_iva4s",""
"","","","","","","","","","","","","","","","","","","tax","mod303[170]","invoice","account_common_477","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[25]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[26]","refund","account_common_477","","","","","","",""
"account_tax_template_s_req062","","False","0.62% surcharge equivalence sales","0.62% Rec. Eq.","sale","0.62% SE","0,62% Recargo Equivalencia Ventas","0,62% Recàrrec equivalència vendes","0.62","percent","tax_group_recargo_0-62","","recargo","","","","","base","mod303[16]","invoice","","","0.62% Rec. Eq.","","","fp_recargo","account_tax_template_s_iva5s,account_tax_template_s_iva5b",""
"","","","","","","","","","","","","","","","","","","tax","mod303[18]","invoice","account_common_477","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[25]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[26]","refund","account_common_477","","","","","","",""
"account_tax_template_s_req1","","True","1% surcharge equivalence sales","1% Rec. Eq.","sale","1% SE","1% Recargo Equivalencia Ventas","1% Recàrrec equivalència vendes","1.0","percent","tax_group_recargo_1","","recargo","","","","","base","mod303[16]","invoice","","","0.62% Rec. Eq.","","","fp_recargo","account_tax_template_s_iva7-5s,account_tax_template_s_iva7-5b",""
"","","","","","","","","","","","","","","","","","","tax","mod303[18]","invoice","account_common_477","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[25]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[26]","refund","account_common_477","","","","","","",""
"account_tax_template_s_iva4b","","True","VAT 4% (goods)","","sale","4% G","IVA 4% (Bienes)","IVA 4% (béns)","4.0","percent","tax_group_iva_4","","sujeto","","","consu","","base","mod303[01]","invoice","","","","","","fp_irpf20a,fp_irpf2,fp_irpfnrue19,fp_irpfnrnue0,fp_irpf21,fp_irpf9,fp_recargo_isp,fp_irpf1,fp_irpf7,fp_irpf195a,fp_intra_private,fp_irpf24,fp_irpfnrnue24,fp_irpfnrue0,fp_irpf20,fp_irpf18,fp_irpf15,fp_irpf19,fp_irpf19a,fp_irpf21a,l10n_es_domestic_fiscal_position,fp_recargo","account_tax_template_s_iva4b",""
"","","","","","","","","","","","","","","","","","","tax","mod303[03]","invoice","account_common_477","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[14_sale]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[15]","refund","account_common_477","","","","","","",""
