"id","name","description","active","sequence","amount_type","amount","tax_group_id","type_tax_use","l10n_ar_withholding_payment_type","l10n_ar_scale_id","l10n_ar_tax_type","l10n_ar_code","l10n_ar_state_id","l10n_ar_non_taxable_amount","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","name@es","description@es"
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ex_tax_withholding_profits_regimen_112_insc","Profits WTH regimen 112 inscripto","Beneficios provenientes del cumplimiento de los requisitos de los planes de seguro de retiro privados administrados por entidades sujetas al control de la Superintendencia de Seguros de la Nación, establecidos por el inciso d) del artículo 45 y el inciso d) del artículo 79 de la Ley del Impuesto a las Ganancias, texto ordenado en 1997 y sus modificaciones -excepto cuando se encuentren alcanzados por el régimen de retención establecido por la Resolución General Nº 1261, sus modificatorias y complementarias-.","True","4","percent","3","tax_group_withholding","none","supplier","","earnings","112","","16830","","","","","Retenciones de ganancias regimen 112 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ex_tax_withholding_profits_regimen_113_insc","Profits WTH regimen 113 inscripto","Rescates -totales o parciales- por desistimiento  de los planes de seguro de retiro a que se refiere el inciso o), excepto que sea de aplicación lo normado en el artículo 101 de la Ley del Impuesto a las Ganancias, texto ordenado en 1997 y sus modificaciones.","True","4","percent","3","tax_group_withholding","none","supplier","","earnings","113","","16830","","","","","Retenciones de ganancias regimen 113 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ex_tax_withholding_profits_regimen_779_insc","Profits WTH regimen 779 inscripto","Subsidios abonados por los estados Nacional, provinciales, municipales o el Gobierno de la Ciudad Autónoma de Buenos Aires, en concepto de enajenación de bienes muebles y bienes de cambio, en la medida que una ley general o especial no establezca la exención de los mismos en el impuesto a las ganancias.","True","4","percent","2","tax_group_withholding","none","supplier","","earnings","779","","76140","","","","","Retenciones de ganancias regimen 779 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ex_tax_withholding_profits_regimen_780_insc","Profits WTH regimen 780 inscripto","Subsidios abonados por los estados Nacional, provinciales, municipales o el Gobierno de la Ciudad Autónoma de Buenos Aires, en concepto de locaciones de obra y/o servicios, no ejecutados en relación de dependencia, en la medida que una ley general o especial no establezca la exención de los mismos en el impuesto a las ganancias.","True","4","percent","2","tax_group_withholding","none","supplier","","earnings","780","","31460","","","","","Retenciones de ganancias regimen 780 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ex_tax_withholding_profits_regimen_99_insc","Profits WTH regimen 99 inscripto","Factura M - Ganancias - Emisión de comprobantes con discriminación del gravamen.","True","4","percent","6","tax_group_withholding","none","supplier","","earnings","99","","0","","","","","Retenciones de ganancias regimen 99 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ex_tax_withholding_profits_regimen_965_insc","Profits WTH regimen 965 inscripto","Factura 'A' con leyenda 'OPERACIÓN SUJETA A RETENCIÓN' - Ganancias - Emisión de comprobantes con discriminación del gravamen.","True","4","percent","3","tax_group_withholding","none","supplier","","earnings","965","","0","","","","","Retenciones de ganancias regimen 965 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
