"id","name","type_tax_use","amount_type","description","active","sequence","tax_group_id","l10n_ar_withholding_payment_type","l10n_ar_scale_id","l10n_ar_tax_type","l10n_ar_code","l10n_ar_state_id","amount","l10n_ar_non_taxable_amount","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","name@es","description@es"
"ri_tax_withholding_earnings_incurred_group_19_insc","Profits WTH regimen 19 inscripto","none","percent","Intereses por operaciones realizadas en entidades financieras. Ley N° 21.526, y sus modificaciones o agentes de bolsa o mercado abierto.","True","4","tax_group_withholding","supplier","","earnings","19","","3","0","","","","","Retenciones de ganancias regimen 19 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ri_tax_withholding_earnings_incurred_group_21_insc","Profits WTH regimen 21 inscripto","none","percent","Intereses originados en operaciones no comprendidas en el punto 1.","True","4","tax_group_withholding","supplier","","earnings","21","","6","7870","","","","","Retenciones de ganancias regimen 21 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ri_tax_withholding_earnings_incurred_group_30_insc","Profits WTH regimen 30 inscripto","none","percent","Alquileres o arrendamientos de bienes muebles.","True","4","tax_group_withholding","supplier","","earnings","30","","6","11200","","","","","Retenciones de ganancias regimen 30 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ri_tax_withholding_earnings_incurred_group_31_insc","Profits WTH regimen 31 inscripto","none","percent","Bienes Inmuebles Urbanos, incluidos los efectuados bajo la modalidad de leasing - incluye suburbanos-","True","4","tax_group_withholding","supplier","","earnings","31","","6","11200","","","","","Retenciones de ganancias regimen 31 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ri_tax_withholding_earnings_incurred_group_32_insc","Profits WTH regimen 32 inscripto","none","percent","Bienes Inmuebles Rurales, incluidos los efectuados bajo la modalidad de leasing - incluye subrurales-","True","4","tax_group_withholding","supplier","","earnings","32","","6","11200","","","","","Retenciones de ganancias regimen 32 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ri_tax_withholding_earnings_incurred_group_35_insc","Profits WTH regimen 35 inscripto","none","percent","Regalías","True","4","tax_group_withholding","supplier","","earnings","35","","6","7870","","","","","Retenciones de ganancias regimen 35 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ri_tax_withholding_earnings_incurred_group_43_insc","Profits WTH regimen 43 inscripto","none","percent","Interés accionario, excedentes y retornos distribuidos entre asociados, cooperativas, -excepto consumo-.","True","4","tax_group_withholding","supplier","","earnings","43","","6","7870","","","","","Retenciones de ganancias regimen 43 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ri_tax_withholding_earnings_incurred_group_51_insc","Profits WTH regimen 51 inscripto","none","percent","Obligaciones de no hacer, o por abandono o no ejercicio de una actividad.","True","4","tax_group_withholding","supplier","","earnings","51","","6","7870","","","","","Retenciones de ganancias regimen 51 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ri_tax_withholding_earnings_incurred_group_78_insc","Profits WTH regimen 78 inscripto","none","percent","Enajenación de bienes muebles y bienes de cambio.","True","4","tax_group_withholding","supplier","","earnings","78","","2","224000","","","","","Retenciones de ganancias regimen 78 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ri_tax_withholding_earnings_incurred_group_86_insc","Profits WTH regimen 86 inscripto","none","percent","Transferencia temporaria o definitiva de derechos de llave, marcas, patentes de invención, regalías, concesiones y similares.","True","4","tax_group_withholding","supplier","","earnings","86","","2","224000","","","","","Retenciones de ganancias regimen 86 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ri_tax_withholding_earnings_incurred_group_110_insc","Profits WTH regimen 110 inscripto","none","percent","Explotación de derechos de autor (Ley N° 11.723).","True","4","tax_group_withholding","supplier","l10n_ar_withholding.normal_scale","earnings_scale","110","","-1","10000","","","","","Retenciones de ganancias regimen 110 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ri_tax_withholding_earnings_incurred_group_94_insc","Profits WTH regimen 94 inscripto","none","percent","Locaciones de obra y/o servicios no ejecutados en relación de dependencia no mencionados expresamente en otros incisos.","True","4","tax_group_withholding","supplier","","earnings","94","","2","67170","","","","","Retenciones de ganancias regimen 94 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ri_tax_withholding_earnings_incurred_group_25_insc","Profits WTH regimen 25 inscripto","none","percent","Comisiones u otras retribuciones derivadas de la actividad de comisionista, rematador, consignatario y demás auxiliares de comercio a que se refiere el inciso c) del artículo 49 de la Ley de Impuesto a las Ganancias, texto ordenado en 1997 y sus modificaciones.","True","4","tax_group_withholding","supplier","l10n_ar_withholding.normal_scale","earnings_scale","25","","-1","16830","","","","","Retenciones de ganancias regimen 25 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ri_tax_withholding_earnings_incurred_group_116I_insc","Profits WTH regimen 116I inscripto","none","percent","Honorarios de director de sociedades anónimas, síndico fiduciario,  consejero de sociedades cooperativas integrante de consejos de vigilancia y socios administradores de las sociedades de responsabilidad limitada, en comandita simple y en comandita por acciones.","True","4","tax_group_withholding","supplier","l10n_ar_withholding.normal_scale","earnings_scale","116 I","","-1","67170","","","","","Retenciones de ganancias regimen 116I inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ri_tax_withholding_earnings_incurred_group_116II_insc","Profits WTH regimen 116II inscripto","none","percent","Albacea, mandatario, gestor de negocio.","True","4","tax_group_withholding","supplier","l10n_ar_withholding.normal_scale","earnings_scale","116 II","","-1","16830","","","","","Retenciones de ganancias regimen 116II inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ri_tax_withholding_earnings_incurred_group_119_insc","Profits WTH regimen 119 inscripto","none","percent","Profesionales liberales, oficios","True","4","tax_group_withholding","supplier","l10n_ar_withholding.scale_119","earnings_scale","119","","-1","160000","","","","","Retenciones de ganancias regimen 119 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ri_tax_withholding_earnings_incurred_group_124_insc","Profits WTH regimen 124 inscripto","none","percent","Corredor, viajante de comercio y despachante de aduana.","True","4","tax_group_withholding","supplier","l10n_ar_withholding.normal_scale","earnings_scale","124","","-1","16830","","","","","Retenciones de ganancias regimen 124 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ri_tax_withholding_earnings_incurred_group_95_insc","Profits WTH regimen 95 inscripto","none","percent","Operaciones de transporte de carga nacional e internacional.","True","4","tax_group_withholding","supplier","","earnings","95","","0.25","67170","","","","","Retenciones de ganancias regimen 95 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ri_tax_withholding_earnings_incurred_group_53_insc","Profits WTH regimen 53 inscripto","none","percent","Operaciones realizadas por intermedio de mercados de cereales a término que se resuelvan en el curso del término (arbitrajes) y de mercados de futuros y opciones.","True","4","tax_group_withholding","supplier","","earnings","53","","0.5","0","","","","","Retenciones de ganancias regimen 53 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ri_tax_withholding_earnings_incurred_group_55_insc","Profits WTH regimen 55 inscripto","none","percent","Distribución de películas . Transmisión de programación. Televisión vía satelital.","True","4","tax_group_withholding","supplier","","earnings","55","","0.5","0","","","","","Retenciones de ganancias regimen 55 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ri_tax_withholding_earnings_incurred_group_60_insc","Profits WTH regimen 60 inscripto","none","percent","Dividendos y utilidades asimilables. Art. 90.3 de la ley. Alícuota 7%.","True","4","tax_group_withholding","supplier","","earnings","60","","7","0","","","","","Retenciones de ganancias regimen 60 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ri_tax_withholding_earnings_incurred_group_61_insc","Profits WTH regimen 61 inscripto","none","percent","Dividendos y utilidades asimilables. Art. 90.3 de la ley. Alícuota 13%.","True","4","tax_group_withholding","supplier","","earnings","61","","13","0","","","","","Retenciones de ganancias regimen 61 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ri_tax_withholding_earnings_incurred_group_111_insc","Profits WTH regimen 111 inscripto","none","percent","Cualquier otra cesión o locación de derechos, excepto las que correspondan a operaciones realizadas por intermedio de mercados de cereales a término que se resuelvan en el curso del término (arbitrajes) y de mercados de futuros y opciones.","True","4","tax_group_withholding","supplier","","earnings","111","","0.5","0","","","","","Retenciones de ganancias regimen 111 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ri_tax_withholding_earnings_incurred_group_112_insc","Profits WTH regimen 112 inscripto","none","percent","Beneficios provenientes del cumplimiento de los requisitos de los planes de seguro de retiro privados administrados por entidades sujetas al control de la Superintendencia de Seguros de la Nación, establecidos por el inciso d) del artículo 45 y el inciso d) del artículo 79 de la Ley del Impuesto a las Ganancias, texto ordenado en 1997 y sus modificaciones -excepto cuando se encuentren alcanzados por el régimen de retención establecido por la Resolución General Nº 1261, sus modificatorias y complementarias-.","True","4","tax_group_withholding","supplier","","earnings","112","","3","16830","","","","","Retenciones de ganancias regimen 112 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ri_tax_withholding_earnings_incurred_group_113_insc","Profits WTH regimen 113 inscripto","none","percent","Rescates -totales o parciales- por desistimiento  de los planes de seguro de retiro a que se refiere el inciso o), excepto que sea de aplicación lo normado en el artículo 101 de la Ley del Impuesto a las Ganancias, texto ordenado en 1997 y sus modificaciones.","True","4","tax_group_withholding","supplier","","earnings","113","","3","16830","","","","","Retenciones de ganancias regimen 113 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ri_tax_withholding_earnings_incurred_group_779_insc","Profits WTH regimen 779 inscripto","none","percent","Subsidios abonados por los estados Nacional, provinciales, municipales o el Gobierno de la Ciudad Autónoma de Buenos Aires, en concepto de enajenación de bienes muebles y bienes de cambio, en la medida que una ley general o especial no establezca la exención de los mismos en el impuesto a las ganancias.","True","4","tax_group_withholding","supplier","","earnings","779","","2","76140","","","","","Retenciones de ganancias regimen 779 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ri_tax_withholding_earnings_incurred_group_780_insc","Profits WTH regimen 780 inscripto","none","percent","Subsidios abonados por los estados Nacional, provinciales, municipales o el Gobierno de la Ciudad Autónoma de Buenos Aires, en concepto de locaciones de obra y/o servicios, no ejecutados en relación de dependencia, en la medida que una ley general o especial no establezca la exención de los mismos en el impuesto a las ganancias.","True","4","tax_group_withholding","supplier","","earnings","780","","2","31460","","","","","Retenciones de ganancias regimen 780 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ri_tax_withholding_earnings_incurred_group_99_insc","Profits WTH regimen 99 inscripto","none","percent","Factura M - Ganancias - Emisión de comprobantes con discriminación del gravamen.","True","4","tax_group_withholding","supplier","","earnings","99","","6","0","","","","","Retenciones de ganancias regimen 99 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
"ri_tax_withholding_earnings_incurred_group_965_insc","Profits WTH regimen 965 inscripto","none","percent","Factura 'A' con leyenda 'OPERACIÓN SUJETA A RETENCIÓN' - Ganancias - Emisión de comprobantes con discriminación del gravamen.","True","4","tax_group_withholding","supplier","","earnings","965","","3","0","","","","","Retenciones de ganancias regimen 965 inscripto",""
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_ganancias_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_ganancias_aplicada","",""
