code,description,long_description,type,category,fs_mapping,parent_code,normal_balance,tags,default_vendors,regulatory_mapping,start_date,end_date,notes,subcategory,cash_flow_classification,cost_center,GAAP_classification,detailed_description
15727,PayPal CHK Account,"This account represents paypal chk account classified as Asset - General. PayPal CHK Account - This account is used to record transactions related to PayPal CHK Account.

Purpose: This account tracks asset items specifically related to paypal chk account. It is classified under Asset - General in accordance with US-GAAP standards.

Transaction Examples:
- Recording of paypal chk account transactions
- Adjustments related to paypal chk account
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance. The account is measured and reported in accordance with applicable IFRS and US-GAAP standards, ensuring accurate presentation of the entity's financial position.",Detail,Asset,Balance Sheet,10000,Debit,"general, asset, operating-activities, debit",,IAS 1 - Presentation of Financial Statements; ASC 210 - Balance Sheet,,,,Asset - General,Operating Activities,CC-0000,US-GAAP Asset,"PayPal CHK Account - This account is used to record transactions related to PayPal CHK Account.

Purpose: This account tracks asset items specifically related to paypal chk account. It is classified under Asset - General in accordance with US-GAAP standards.

Transaction Examples:
- Recording of paypal chk account transactions
- Adjustments related to paypal chk account
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."
15796,CC - US Bank - (5323),"This account represents cc - us bank - (5323) classified as Current Asset - Cash and Cash Equivalents. CC - US Bank - (5323) - This account is used to record transactions related to CC - US Bank - (5323).

Purpose: This account tracks asset items specifically related to cc - us bank - (5323). It is classified under Current Asset - Cash and Cash Equivalents in accordance with US-GAAP standards.

Transaction Examples:
- Recording of cc - us bank - (5323) transactions
- Adjustments related to cc - us bank - (5323)
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Current Asset - Cash and Cash Equivalents classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance. The account is measured and reported in accordance with applicable IFRS and US-GAAP standards, ensuring accurate presentation of the entity's financial position.",Detail,Asset,Balance Sheet,10000,Debit,"debit, equivalents, asset, operating-activities, cash, and",,IAS 7 - Statement of Cash Flows; ASC 305 - Cash and Cash Equivalents,,,,Current Asset - Cash and Cash Equivalents,Operating Activities,CC-0000,US-GAAP Asset,"CC - US Bank - (5323) - This account is used to record transactions related to CC - US Bank - (5323).

Purpose: This account tracks asset items specifically related to cc - us bank - (5323). It is classified under Current Asset - Cash and Cash Equivalents in accordance with US-GAAP standards.

Transaction Examples:
- Recording of cc - us bank - (5323) transactions
- Adjustments related to cc - us bank - (5323)
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Current Asset - Cash and Cash Equivalents classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."
15865,CC - US Bank - (5584),"This account represents cc - us bank - (5584) classified as Current Asset - Cash and Cash Equivalents. CC - US Bank - (5584) - This account is used to record transactions related to CC - US Bank - (5584).

Purpose: This account tracks asset items specifically related to cc - us bank - (5584). It is classified under Current Asset - Cash and Cash Equivalents in accordance with US-GAAP standards.

Transaction Examples:
- Recording of cc - us bank - (5584) transactions
- Adjustments related to cc - us bank - (5584)
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Current Asset - Cash and Cash Equivalents classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance. The account is measured and reported in accordance with applicable IFRS and US-GAAP standards, ensuring accurate presentation of the entity's financial position.",Detail,Asset,Balance Sheet,10000,Debit,"debit, equivalents, asset, operating-activities, cash, and",,IAS 7 - Statement of Cash Flows; ASC 305 - Cash and Cash Equivalents,,,,Current Asset - Cash and Cash Equivalents,Operating Activities,CC-0000,US-GAAP Asset,"CC - US Bank - (5584) - This account is used to record transactions related to CC - US Bank - (5584).

Purpose: This account tracks asset items specifically related to cc - us bank - (5584). It is classified under Current Asset - Cash and Cash Equivalents in accordance with US-GAAP standards.

Transaction Examples:
- Recording of cc - us bank - (5584) transactions
- Adjustments related to cc - us bank - (5584)
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Current Asset - Cash and Cash Equivalents classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."
15934,Loan to Others:Loan to Maravilla Cleaners LLC,"This account represents loan to others:loan to maravilla cleaners llc classified as Asset - General. Loan to Others:Loan to Maravilla Cleaners LLC - This account is used to record transactions related to Loan to Others:Loan to Maravilla Cleaners LLC.

Purpose: This account tracks asset items specifically related to loan to others:loan to maravilla cleaners llc. It is classified under Asset - General in accordance with US-GAAP standards.

Transaction Examples:
- Recording of loan to others:loan to maravilla cleaners llc transactions
- Adjustments related to loan to others:loan to maravilla cleaners llc
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance. The account is measured and reported in accordance with applicable IFRS and US-GAAP standards, ensuring accurate presentation of the entity's financial position.",Detail,Asset,Balance Sheet,10000,Debit,"borrowing, debt, debit, financing, general, asset, operating-activities, credit",,IAS 1 - Presentation of Financial Statements; ASC 210 - Balance Sheet,,,,Asset - General,Operating Activities,CC-0000,US-GAAP Asset,"Loan to Others:Loan to Maravilla Cleaners LLC - This account is used to record transactions related to Loan to Others:Loan to Maravilla Cleaners LLC.

Purpose: This account tracks asset items specifically related to loan to others:loan to maravilla cleaners llc. It is classified under Asset - General in accordance with US-GAAP standards.

Transaction Examples:
- Recording of loan to others:loan to maravilla cleaners llc transactions
- Adjustments related to loan to others:loan to maravilla cleaners llc
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."
16003,Fair Offers CHK (7021) - 2,"This account represents fair offers chk (7021) - 2 classified as Asset - General. Fair Offers CHK (7021) - 2 - This account is used to record transactions related to Fair Offers CHK (7021) - 2.

Purpose: This account tracks asset items specifically related to fair offers chk (7021) - 2. It is classified under Asset - General in accordance with US-GAAP standards.

Transaction Examples:
- Recording of fair offers chk (7021) - 2 transactions
- Adjustments related to fair offers chk (7021) - 2
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance. The account is measured and reported in accordance with applicable IFRS and US-GAAP standards, ensuring accurate presentation of the entity's financial position.",Detail,Asset,Balance Sheet,10000,Debit,"general, asset, operating-activities, debit",,IAS 1 - Presentation of Financial Statements; ASC 210 - Balance Sheet,,,,Asset - General,Operating Activities,CC-0000,US-GAAP Asset,"Fair Offers CHK (7021) - 2 - This account is used to record transactions related to Fair Offers CHK (7021) - 2.

Purpose: This account tracks asset items specifically related to fair offers chk (7021) - 2. It is classified under Asset - General in accordance with US-GAAP standards.

Transaction Examples:
- Recording of fair offers chk (7021) - 2 transactions
- Adjustments related to fair offers chk (7021) - 2
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."
16072,Fair Offers SAV (5513) - 2,"This account represents fair offers sav (5513) - 2 classified as Asset - General. Fair Offers SAV (5513) - 2 - This account is used to record transactions related to Fair Offers SAV (5513) - 2.

Purpose: This account tracks asset items specifically related to fair offers sav (5513) - 2. It is classified under Asset - General in accordance with US-GAAP standards.

Transaction Examples:
- Recording of fair offers sav (5513) - 2 transactions
- Adjustments related to fair offers sav (5513) - 2
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance. The account is measured and reported in accordance with applicable IFRS and US-GAAP standards, ensuring accurate presentation of the entity's financial position.",Detail,Asset,Balance Sheet,10000,Debit,"general, asset, operating-activities, debit",,IAS 1 - Presentation of Financial Statements; ASC 210 - Balance Sheet,,,,Asset - General,Operating Activities,CC-0000,US-GAAP Asset,"Fair Offers SAV (5513) - 2 - This account is used to record transactions related to Fair Offers SAV (5513) - 2.

Purpose: This account tracks asset items specifically related to fair offers sav (5513) - 2. It is classified under Asset - General in accordance with US-GAAP standards.

Transaction Examples:
- Recording of fair offers sav (5513) - 2 transactions
- Adjustments related to fair offers sav (5513) - 2
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."
16141,Blue Business Cash(TM) (1001) - 3,"This account represents liquid funds held by the entity in the form of blue business cash(tm) (1001) - 3. Cash and cash equivalents are the most liquid assets and are used for day-to-day operational transactions. Under IAS 7 and ASC 305, these funds must be readily available and not subject to significant risk of changes in value. Proper management and reconciliation of cash accounts is critical for accurate financial reporting and liquidity assessment.",Detail,Asset,Balance Sheet,10000,Debit,"funds, debit, liquid, equivalents, money, asset, operating-activities, cash, and, bank",,IAS 7 - Statement of Cash Flows; ASC 305 - Cash and Cash Equivalents,,,,Current Asset - Cash and Cash Equivalents,Operating Activities,CC-0000,US-GAAP Asset,"Blue Business Cash(TM) (1001) - 3 - This account is used to record transactions related to Blue Business Cash(TM) (1001) - 3.

Purpose: This account tracks asset items specifically related to blue business cash(tm) (1001) - 3. It is classified under Current Asset - Cash and Cash Equivalents in accordance with US-GAAP standards.

Transaction Examples:
- Recording of blue business cash(tm) (1001) - 3 transactions
- Adjustments related to blue business cash(tm) (1001) - 3
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Current Asset - Cash and Cash Equivalents classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."
16210,Chase - Checking (0921),"This account represents chase - checking (0921) classified as Current Asset - Cash and Cash Equivalents. Chase - Checking (0921) - This account is used to record transactions related to Chase - Checking (0921).

Purpose: This account tracks asset items specifically related to chase - checking (0921). It is classified under Current Asset - Cash and Cash Equivalents in accordance with US-GAAP standards.

Transaction Examples:
- Recording of chase - checking (0921) transactions
- Adjustments related to chase - checking (0921)
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Current Asset - Cash and Cash Equivalents classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance. The account is measured and reported in accordance with applicable IFRS and US-GAAP standards, ensuring accurate presentation of the entity's financial position.",Detail,Asset,Balance Sheet,10000,Debit,"debit, equivalents, asset, operating-activities, cash, and",,IAS 7 - Statement of Cash Flows; ASC 305 - Cash and Cash Equivalents,,,,Current Asset - Cash and Cash Equivalents,Operating Activities,CC-0000,US-GAAP Asset,"Chase - Checking (0921) - This account is used to record transactions related to Chase - Checking (0921).

Purpose: This account tracks asset items specifically related to chase - checking (0921). It is classified under Current Asset - Cash and Cash Equivalents in accordance with US-GAAP standards.

Transaction Examples:
- Recording of chase - checking (0921) transactions
- Adjustments related to chase - checking (0921)
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Current Asset - Cash and Cash Equivalents classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."
16279,Chase - Savings (9970),"This account represents chase - savings (9970) classified as Current Asset - Cash and Cash Equivalents. Chase - Savings (9970) - This account is used to record transactions related to Chase - Savings (9970).

Purpose: This account tracks asset items specifically related to chase - savings (9970). It is classified under Current Asset - Cash and Cash Equivalents in accordance with US-GAAP standards.

Transaction Examples:
- Recording of chase - savings (9970) transactions
- Adjustments related to chase - savings (9970)
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Current Asset - Cash and Cash Equivalents classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance. The account is measured and reported in accordance with applicable IFRS and US-GAAP standards, ensuring accurate presentation of the entity's financial position.",Detail,Asset,Balance Sheet,10000,Debit,"debit, equivalents, asset, operating-activities, cash, and",,IAS 7 - Statement of Cash Flows; ASC 305 - Cash and Cash Equivalents,,,,Current Asset - Cash and Cash Equivalents,Operating Activities,CC-0000,US-GAAP Asset,"Chase - Savings (9970) - This account is used to record transactions related to Chase - Savings (9970).

Purpose: This account tracks asset items specifically related to chase - savings (9970). It is classified under Current Asset - Cash and Cash Equivalents in accordance with US-GAAP standards.

Transaction Examples:
- Recording of chase - savings (9970) transactions
- Adjustments related to chase - savings (9970)
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Current Asset - Cash and Cash Equivalents classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."
16348,Fixed Asset Equipment,"This account records the cost of fixed asset equipment used in the entity's operations. These tangible assets are capitalized and depreciated over their useful economic lives in accordance with IAS 16 and ASC 360. The entity must regularly assess these assets for impairment and maintain detailed records of acquisition cost, accumulated depreciation, and any subsequent expenditures that qualify for capitalization.",Detail,Asset,Balance Sheet,10000,Debit,"fixed-asset, debit, equipment, machinery, capital, asset, ppe, investing-activities",,IAS 1 - Presentation of Financial Statements; ASC 210 - Balance Sheet,,,,Fixed Asset - Equipment,Investing Activities,CC-0000,US-GAAP Asset,"Fixed Asset Equipment - This account is used to record transactions related to Fixed Asset Equipment.

Purpose: This account tracks asset items specifically related to fixed asset equipment. It is classified under Fixed Asset - Equipment in accordance with US-GAAP standards.

Transaction Examples:
- Recording of fixed asset equipment transactions
- Adjustments related to fixed asset equipment
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Fixed Asset - Equipment classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."
16417,Sales:ACH/Zelle/Direct Deposit,"This account represents sales:ach/zelle/direct deposit classified as Current Asset - Deposits. Sales:ACH/Zelle/Direct Deposit - This account is used to record transactions related to Sales:ACH/Zelle/Direct Deposit.

Purpose: This account tracks asset items specifically related to sales:ach/zelle/direct deposit. It is classified under Current Asset - Deposits in accordance with US-GAAP standards.

Transaction Examples:
- Recording of sales:ach/zelle/direct deposit transactions
- Adjustments related to sales:ach/zelle/direct deposit
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Current Asset - Deposits classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance. The account is measured and reported in accordance with applicable IFRS and US-GAAP standards, ensuring accurate presentation of the entity's financial position.",Detail,Asset,Balance Sheet,10000,Debit,"deposits, asset, operating-activities, debit",,IAS 1 - Presentation of Financial Statements; ASC 210 - Balance Sheet,,,,Current Asset - Deposits,Operating Activities,CC-0000,US-GAAP Asset,"Sales:ACH/Zelle/Direct Deposit - This account is used to record transactions related to Sales:ACH/Zelle/Direct Deposit.

Purpose: This account tracks asset items specifically related to sales:ach/zelle/direct deposit. It is classified under Current Asset - Deposits in accordance with US-GAAP standards.

Transaction Examples:
- Recording of sales:ach/zelle/direct deposit transactions
- Adjustments related to sales:ach/zelle/direct deposit
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Current Asset - Deposits classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."
16486,Sales:Square Deposits,"This account represents sales:square deposits classified as Current Asset - Deposits. Sales:Square Deposits - This account is used to record transactions related to Sales:Square Deposits.

Purpose: This account tracks asset items specifically related to sales:square deposits. It is classified under Current Asset - Deposits in accordance with US-GAAP standards.

Transaction Examples:
- Recording of sales:square deposits transactions
- Adjustments related to sales:square deposits
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Current Asset - Deposits classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance. The account is measured and reported in accordance with applicable IFRS and US-GAAP standards, ensuring accurate presentation of the entity's financial position.",Detail,Asset,Balance Sheet,10000,Debit,"deposits, asset, operating-activities, debit",,IAS 1 - Presentation of Financial Statements; ASC 210 - Balance Sheet,,,,Current Asset - Deposits,Operating Activities,CC-0000,US-GAAP Asset,"Sales:Square Deposits - This account is used to record transactions related to Sales:Square Deposits.

Purpose: This account tracks asset items specifically related to sales:square deposits. It is classified under Current Asset - Deposits in accordance with US-GAAP standards.

Transaction Examples:
- Recording of sales:square deposits transactions
- Adjustments related to sales:square deposits
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Current Asset - Deposits classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."
16555,Investment - Bond,"This account represents investment - bond classified as Long-term Asset - Investments. Investment - Bond - This account is used to record transactions related to Investment - Bond.

Purpose: This account tracks asset items specifically related to investment - bond. It is classified under Long-term Asset - Investments in accordance with US-GAAP standards.

Transaction Examples:
- Recording of investment - bond transactions
- Adjustments related to investment - bond
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Long-term Asset - Investments classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance. The account is measured and reported in accordance with applicable IFRS and US-GAAP standards, ensuring accurate presentation of the entity's financial position.",Detail,Asset,Balance Sheet,10000,Debit,"asset, investing-activities, debit, investments",,IAS 1 - Presentation of Financial Statements; ASC 210 - Balance Sheet,,,,Long-term Asset - Investments,Investing Activities,CC-0000,US-GAAP Asset,"Investment - Bond - This account is used to record transactions related to Investment - Bond.

Purpose: This account tracks asset items specifically related to investment - bond. It is classified under Long-term Asset - Investments in accordance with US-GAAP standards.

Transaction Examples:
- Recording of investment - bond transactions
- Adjustments related to investment - bond
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Long-term Asset - Investments classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."
16624,Loans to Envision Trials,"This account represents loans to envision trials classified as Asset - General. Loans to Envision Trials - This account is used to record transactions related to Loans to Envision Trials.

Purpose: This account tracks asset items specifically related to loans to envision trials. It is classified under Asset - General in accordance with US-GAAP standards.

Transaction Examples:
- Recording of loans to envision trials transactions
- Adjustments related to loans to envision trials
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance. The account is measured and reported in accordance with applicable IFRS and US-GAAP standards, ensuring accurate presentation of the entity's financial position.",Detail,Asset,Balance Sheet,10000,Debit,"borrowing, debt, debit, financing, general, asset, operating-activities, credit",,IFRS 9 - Financial Instruments; ASC 470 - Debt,,,,Asset - General,Operating Activities,CC-0000,US-GAAP Asset,"Loans to Envision Trials - This account is used to record transactions related to Loans to Envision Trials.

Purpose: This account tracks asset items specifically related to loans to envision trials. It is classified under Asset - General in accordance with US-GAAP standards.

Transaction Examples:
- Recording of loans to envision trials transactions
- Adjustments related to loans to envision trials
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."
