id,code,description,tax_rate
item_code_2023_00132102,0013.21.02,Accommodation and restaurant services provided within establishments operated by a medical institution approved by the Cabinet Secretary for the time being responsible for health for the use by the staff and patients of such institutions or,E
item_code_2023_00132103,0013.21.03,Accommodation and restaurant services provided within canteens and cafeterias operated by an employer for the benefit of his employees,E
item_code_2023_00142100,0014.21.00,Conference services conducted for educational institutions as part of learning where such institutions are approved by the Ministry for the time being responsible for Education,E
item_code_2023_00152100,0015.21.00,Car park services provided by National Government County Government any political subdivision therefore by an employer to his employees on the premises of the employer,E
item_code_2023_00162100,0016.21.00,The supply of airtime by any person other than by a provider of cellular mobile telephone services or wireless telephone services,E
item_code_2023_00172100,0017.21.00,Betting gaming and lotteries services,E
item_code_2023_00182100,0018.21.00,Hiring leasing and chartering of aircrafts,E
item_code_2023_00202100,0020.21.00,Taxable services for direct and exclusive use in the implementation of official aid funded projects upon approval by the Cabinet Secretary to the National Treasury,E
item_code_2023_00212100,0021.21.00,Services imported or procured locally for use by the local film producers or local film agents upon recommendation by the Kenya Film Commission subject to approval by the Cabinet Secretary for the National Treasury,E
item_code_2023_00232100,0023.21.00,Supply of sewerage services by the national government a county government any political subdivision thereof or a person approved by the Cabinet Secretary for the time being responsible for water development,E
item_code_2023_00242100,0024.21.00,Entry fees into the national parks and national reserves,E
item_code_2023_00252100,0025.21.00,The services of tour operators excluding in house supplies,E
item_code_2023_00262100,0026.21.00,Taxable services for direct and exclusive use for the construction of tourism facilities recreational parks of fifty acres or more convention and conference facilities upon the recommendation by the Cabinet Secretary responsible formatters relating to recreational parks,E
item_code_2023_00272100,0027.21.00,Taxable services for direct and exclusive use for the construction of specialized hospitals with accommodation facilities upon recommendation by the Cabinet Secretary responsible for health who shall issue guidelines for the criteria to determine the eligibility for the exemption,E
item_code_2023_00292100,0029.21.00,Postal services provide through the supply of postage stamps including rental post boxes or mail bags and subsidiary services thereto,E
item_code_2023_00332100,0033.21.00,The transfer of assets and other transactions related to the transfer of assets into real estate investment trusts and asset backed securities,E
item_code_2023_00011200,0001.12.00,The exportation of goods,C
item_code_2023_00023200,0002.32.00,The supply of goods or taxable services to an export processing zone business as specified in the Export Processing Zones Act Cap 517 as being eligible for duty and tax free importation,C
item_code_2023_00031200,0003.12.00,Ship stores supplied to international sea or air carriers on international voyage or flight,C
item_code_2023_00041200,0004.12.00,The supply of coffee and tea for export to coffee or tea auction centers,C
item_code_2023_00051200,0005.12.00,Transportation of passengers by air carriers on international flight,C
item_code_2023_00062200,0006.22.00,The supply of taxable services to international sea or air carriers on international voyage or flight,C
item_code_2023_00091200,0009.12.00,Goods purchased from duty free shops by passengers departing to places outside Kenya,C
item_code_2023_00102200,0010.22.00,Supply of taxable services in respect of goods in transit,C
item_code_2023_00111200,0011.12.00,Inputs or raw materials either produced locally or imported supplied to pharmaceutical manufacturers in Kenya for manufacturing medicaments as approved from time to time by the Cabinet Secretary in consultation with the Cabinet Secretary responsible for matters relating to health,C
item_code_2023_00123200,0012.32.00,The supply of goods or taxable services to a special economic zone enterprise,C
item_code_2023_00131202,0013.12.02,The supply of ordinary bread,C
item_code_2023_00151200,0015.12.00,Milk and cream not concentrated nor containing added sugar or other sweetening matter of tariff numbers as listed on the second schedule of the VAT Act 2013,C
item_code_2023_00161200,0016.12.00,All inputs and raw materials whether produced locally or imported supplied to manufacturers of agricultural pest control products upon recommendation by the Cabinet Secretary for the time being responsible for agriculture,C
item_code_2023_00191200,0019.12.00,Agricultural pest control products,C
item_code_2023_00202200,0020.22.00,The transportation of goods originating from Kenya to a place outside Kenya,C
item_code_2023_00212200,0021.22.00,Transportation of sugarcane from farms to milling factories,C
item_code_2023_00221200,0022.12.00,The supply of maize corn flour cassava flour wheat or meslin flour and maize flour containing cassava flour by more than ten percent in weight,C
item_code_2023_00232200,0023.22.00,The exportation of taxable services in respect of business process outsourcing,C
item_code_2023_00241200,0024.12.00,The Fertilizers of chapter 21,C
item_code_2023_00251200,0025.12.00,Inputs of raw materials locally purchased or imported by manufacturers of fertilizer as approved from time to time by the Cabinet Secretary responsible for Agriculture,C
item_code_2023_00011201,0001.12.01,Supply to Commonwealth and other Governments Goods consigned to officers or men on board a naval vessel belonging to another Commonwealth Government for their personal use or for consumption on board such vessel,C
item_code_2023_00011202,0001.12.02,Supply to Commonwealth and other Governments Goods for the use of any of the Armed Forces of any allied power,C
item_code_2023_00021201,0002.12.01,Supply to diplomat or First arrivals persons Household and personal effects of any kind imported by entitled personnel or their dependents including one motor vehicle imported or supplied to them prior to clearance through customs within ninety days of their first arrival in Kenya or such longer period not exceeding three hundred and sixty days from the date of his arrival as may be approved by the Commissioner of Customs in specific cases where the entitled personnel have not been granted zero rating status in any other section of this Schedule,C
item_code_2023_00021202,0002.12.02,Supply to diplomat or First arrivals persons One motor vehicle which the ministry responsible for foreign affairs is satisfied as having been supplied or imported as a replacement for a motor vehicle originally imported or supplied under paragraph 1 which has been written off due to accident fire or theft Provided that tax shall be payable at the appropriate rate if the written off motor vehicle is disposed of locally,C
item_code_2023_00023203,0002.32.03,Supply to diplomat or First arrivals persons taxable supplies for the official use of the United Nations or its specialized agencies or any Commonwealth High Commission or of any foreign embassy consulate or diplomatic mission in Kenya,C
item_code_2023_00023204,0002.32.04,Supply to diplomat or First arrivals persons taxable supplies for the use of a high official of the United Nations or its specialized agencies or a member of the diplomatic staff of any Commonwealth or foreign country where specific provision for such zero rating status is made by the Cabinet Secretary responsible for foreign affairs,C
item_code_2023_00021205,0002.12.05,Supply to diplomat or First arrivals persons taxable supplies Goods for the United Nations or any of its specialized agencies for the support of a project in Kenya,C
item_code_2023_00031201,0003.12.01,Supply to donor agencies with bilateral or multilateral agreements Household and personal effects of any kind imported by entitled personnel or their dependents including one motor vehicle imported or supplied to them prior to clearance through customs within ninety days of their first arrival in Kenya or such longer period not exceeding three hundred and sixty days from the date of his arrival as may be approved by the Commissioner of Customs in specific cases where the entitled personnel have not been granted zero rating status in any other section of this Schedule,C
item_code_2023_00031202,0003.12.02,Supply to donor agencies with bilateral or multilateral agreements One motor vehicle which the Commissioner is satisfied is supplied or is imported as a replacement of another motor vehicle originally supplied or imported under paragraph 1 and which has been written off due to accident fire or theft,C
item_code_2023_00043200,0004.32.00,Supply to international and regional organizations Goods services and equipment imported by or supplied to donor agencies international and regional organizations with Diplomatic accreditation or bilateral or multilateral agreements with Kenya for their official use,C
item_code_2023_00053200,0005.32.00,Supply to the War Graves Commission taxable supplies including official vehicles for the establishment and maintenance of war cemeteries by the Commonwealth War Graves Commission but excluding office supplies and equipment and the property of the Commission’s staff,C
item_code_2023_00083200,0008.32.00,Supply to National Red Cross Society and St John Ambulance taxable goods and services supplied or imported for official use in the provision of relief service,C
