"id","description","invoice_label","name","sequence","amount","amount_type","type_tax_use","price_include","tax_group_id","active","tax_scope","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","name@it","children_tax_ids","l10n_it_exempt_reason","l10n_it_law_reference","description@it"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj13","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"5rc_n65","Cellphones","5%","5% RC N6.5","730","5.0","percent","purchase","False","tax_group_iva_5","False","","base","invoice","+03||+vj14","","","5% IC N6.5","","","","Cellulari"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj14","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"5rc_n66","Electronics","5%","5% RC N6.6","740","5.0","percent","purchase","False","tax_group_iva_5","False","","base","invoice","+03||+vj15","","","5% IC N6.6","","","","Elettronica"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj15","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"5rc_n67","Construction services","5%","5% RC N6.7","750","5.0","percent","purchase","False","tax_group_iva_5","False","","base","invoice","+03||+vj16","","","5% IC N6.7","","","","Servizi Edilizia"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj16","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"5rc_n68","Energy","5%","5% RC N6.8","760","5.0","percent","purchase","False","tax_group_iva_5","False","","base","invoice","+03||+vj17","","","5% IC N6.8","","","","Energia"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj17","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"10rc_n61","Scrap","10%","10% RC N6.1","770","10.0","percent","purchase","False","tax_group_iva_10","False","","base","invoice","+03||+vj6","","","10% IC N6.1","","","","Materiali di Scarto"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj6","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"10rc_n62","Gold","10%","10% RC N6.2","780","10.0","percent","purchase","False","tax_group_iva_10","False","","base","invoice","+03||+vj7","","","10% IC N6.2","","","","Oro"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj7","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"10rc_n62b","Investments in gold","10%","10% RC N6.2b","790","10.0","percent","purchase","False","tax_group_iva_10","False","","base","invoice","+03||+vj8","","","10% IC N6.2b","","","","Investimenti in Oro"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj8","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"10rc_n63","Construction subcontractors","10%","10% RC N6.3","800","10.0","percent","purchase","False","tax_group_iva_10","False","","base","invoice","+03||+vj12","","","10% IC N6.3","","","","Subappalti Edilizia"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj12","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"10rc_n64","Investments in construction","10%","10% RC N6.4","810","10.0","percent","purchase","False","tax_group_iva_10","False","","base","invoice","+03||+vj13","","","10% IC N6.4","","","","Investimenti in Edilizia"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj13","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"10rc_n65","Cellphones","10%","10% RC N6.5","820","10.0","percent","purchase","False","tax_group_iva_10","False","","base","invoice","+03||+vj14","","","10% IC N6.5","","","","Cellulari"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj14","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"10rc_n66","Electronics","10%","10% RC N6.6","830","10.0","percent","purchase","False","tax_group_iva_10","False","","base","invoice","+03||+vj15","","","10% IC N6.6","","","","Elettronica"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj15","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"10rc_n67","Construction services","10%","10% RC N6.7","840","10.0","percent","purchase","False","tax_group_iva_10","True","","base","invoice","+03||+vj16","","","10% IC N6.7","","","","Servizi Edilizia"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj16","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"10rc_n68","Energy","10%","10% RC N6.8","850","10.0","percent","purchase","False","tax_group_iva_10","False","","base","invoice","+03||+vj17","","","10% IC N6.8","","","","Energia"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj17","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"22rc_n61","Scrap","22%","22% RC N6.1","860","22.0","percent","purchase","False","tax_group_iva_22","False","","base","invoice","+03||+vj6","","","22% IC N6.1","","","","Materiali di Scarto"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj6","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"22rc_n62","Gold","22%","22% RC N6.2","870","22.0","percent","purchase","False","tax_group_iva_22","False","","base","invoice","+03||+vj7","","","22% IC N6.2","","","","Oro"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj7","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"22rc_n62b","Investments in gold","22%","22% RC N6.2b","880","22.0","percent","purchase","False","tax_group_iva_22","False","","base","invoice","+03||+vj8","","","22% IC N6.2b","","","","Investimenti in Oro"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj8","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"22rc_n63","Construction subcontractors","22%","22% RC N6.3","890","22.0","percent","purchase","False","tax_group_iva_22","False","","base","invoice","+03||+vj12","","","22% IC N6.3","","","","Subappalti Edilizia"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj12","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"22rc_n64","Investments in construction","22%","22% RC N6.4","900","22.0","percent","purchase","False","tax_group_iva_22","False","","base","invoice","+03||+vj13","","","22% IC N6.4","","","","Investimenti in Edilizia"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj13","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"22rc_n65","Cellphones","22%","22% RC N6.5","910","22.0","percent","purchase","False","tax_group_iva_22","False","","base","invoice","+03||+vj14","","","22% IC N6.5","","","","Cellulari"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj14","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"22rc_n66","Electronics","22%","22% RC N6.6","920","22.0","percent","purchase","False","tax_group_iva_22","False","","base","invoice","+03||+vj15","","","22% IC N6.6","","","","Elettronica"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj15","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"22rc_n67","Construction services","22%","22% RC N6.7","930","22.0","percent","purchase","False","tax_group_iva_22","True","","base","invoice","+03||+vj16","","","22% IC N6.7","","","","Servizi Edilizia"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj16","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
"22rc_n68","Energy","22%","22% RC N6.8","940","22.0","percent","purchase","False","tax_group_iva_22","False","","base","invoice","+03||+vj17","","","22% IC N6.8","","","","Energia"
"","","","","","","","","","","","","tax","invoice","+5v","1601","","","","","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100","","","","",""
"","","","","","","","","","","","","base","refund","-03||-vj17","","","","","","",""
"","","","","","","","","","","","","tax","refund","-5v","1601","","","","","",""
"","","","","","","","","","","","","tax","refund","+4v","2601","-100","","","","",""
