id,description,invoice_label,name,sequence,amount,amount_type,type_tax_use,tax_group_id,active,tax_scope,repartition_line_ids/repartition_type,repartition_line_ids/document_type,repartition_line_ids/tag_ids,repartition_line_ids/account_id,repartition_line_ids/factor_percent,children_tax_ids,invoice_legal_notes,price_include_override,fiscal_position_ids,original_tax_ids,tax_exigibility,cash_basis_transition_account_id,include_base_amount,l10n_it_exempt_reason,l10n_it_withholding_type,l10n_it_withholding_reason,l10n_it_pension_fund_type,name@it,description@it
4rc_n62b,Investments in gold,4%,4% RC N6.2b,610,4.0,percent,purchase,tax_group_iva_4,False,"",base,invoice,+03||+vj8,"","","","","","it,intra_private","","","","","","","","",4% IC N6.2b,Investimenti in Oro
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj8,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
4rc_n63,Construction subcontractors,4%,4% RC N6.3,620,4.0,percent,purchase,tax_group_iva_4,False,"",base,invoice,+03||+vj12,"","","","","",construction_fiscal_position,4as,"","","","","","","",4% IC N6.3,Subappalto Edilizia
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj12,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
4rc_n64,Investments in construction,4%,4% RC N6.4,630,4.0,percent,purchase,tax_group_iva_4,False,"",base,invoice,+03||+vj13,"","","","","","it,intra_private","","","","","","","","",4% IC N6.4,Investimenti in Edilizia
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj13,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
4rc_n65,Cellphones,4%,4% RC N6.5,640,4.0,percent,purchase,tax_group_iva_4,False,"",base,invoice,+03||+vj14,"","","","","","it,intra_private","","","","","","","","",4% IC N6.5,Cellulari
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj14,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
4rc_n66,Electronics,4%,4% RC N6.6,650,4.0,percent,purchase,tax_group_iva_4,False,"",base,invoice,+03||+vj15,"","","","","","it,intra_private","","","","","","","","",4% IC N6.6,Elettronica
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj15,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
4rc_n67,Construction services,4%,4% RC N6.7,660,4.0,percent,purchase,tax_group_iva_4,False,"",base,invoice,+03||+vj16,"","","","","","it,intra_private","","","","","","","","",4% IC N6.7,Servizi Edilizia
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj16,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
4rc_n68,Energy,4%,4% RC N6.8,670,4.0,percent,purchase,tax_group_iva_4,False,"",base,invoice,+03||+vj17,"","","","","","it,intra_private","","","","","","","","",4% IC N6.8,Energia
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj17,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
5rc_n61,Scrap,5%,5% RC N6.1,680,5.0,percent,purchase,tax_group_iva_5,False,"",base,invoice,+03||+vj6,"","","","","","it,intra_private","","","","","","","","",5% IC N6.1,Materiali di Scarto
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj6,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
5rc_n62,Gold,5%,5% RC N6.2,690,5.0,percent,purchase,tax_group_iva_5,False,"",base,invoice,+03||+vj7,"","","","","","it,intra_private","","","","","","","","",5% IC N6.2,Oro
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj7,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
5rc_n62b,Investments in gold,5%,5% RC N6.2b,700,5.0,percent,purchase,tax_group_iva_5,False,"",base,invoice,+03||+vj8,"","","","","","it,intra_private","","","","","","","","",5% IC N6.2b,Investimenti in Oro
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj8,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
5rc_n63,Construction subcontractors,5%,5% RC N6.3,710,5.0,percent,purchase,tax_group_iva_5,False,"",base,invoice,+03||+vj12,"","","","","",construction_fiscal_position,5as,"","","","","","","",5% IC N6.3,Subappalti Edilizia
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj12,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
5rc_n64,Investments in construction,5%,5% RC N6.4,720,5.0,percent,purchase,tax_group_iva_5,False,"",base,invoice,+03||+vj13,"","","","","","it,intra_private","","","","","","","","",5% IC N6.4,Investimenti in Edilizia
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj13,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
5rc_n65,Cellphones,5%,5% RC N6.5,730,5.0,percent,purchase,tax_group_iva_5,False,"",base,invoice,+03||+vj14,"","","","","","it,intra_private","","","","","","","","",5% IC N6.5,Cellulari
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj14,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
5rc_n66,Electronics,5%,5% RC N6.6,740,5.0,percent,purchase,tax_group_iva_5,False,"",base,invoice,+03||+vj15,"","","","","","it,intra_private","","","","","","","","",5% IC N6.6,Elettronica
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj15,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
5rc_n67,Construction services,5%,5% RC N6.7,750,5.0,percent,purchase,tax_group_iva_5,False,"",base,invoice,+03||+vj16,"","","","","","it,intra_private","","","","","","","","",5% IC N6.7,Servizi Edilizia
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj16,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
5rc_n68,Energy,5%,5% RC N6.8,760,5.0,percent,purchase,tax_group_iva_5,False,"",base,invoice,+03||+vj17,"","","","","","it,intra_private","","","","","","","","",5% IC N6.8,Energia
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj17,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
10rc_n61,Scrap,10%,10% RC N6.1,770,10.0,percent,purchase,tax_group_iva_10,False,"",base,invoice,+03||+vj6,"","","","","","it,intra_private","","","","","","","","",10% IC N6.1,Materiali di Scarto
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj6,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
10rc_n62,Gold,10%,10% RC N6.2,780,10.0,percent,purchase,tax_group_iva_10,False,"",base,invoice,+03||+vj7,"","","","","","it,intra_private","","","","","","","","",10% IC N6.2,Oro
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj7,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
10rc_n62b,Investments in gold,10%,10% RC N6.2b,790,10.0,percent,purchase,tax_group_iva_10,False,"",base,invoice,+03||+vj8,"","","","","","it,intra_private","","","","","","","","",10% IC N6.2b,Investimenti in Oro
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj8,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
10rc_n63,Construction subcontractors,10%,10% RC N6.3,800,10.0,percent,purchase,tax_group_iva_10,False,"",base,invoice,+03||+vj12,"","","","","",construction_fiscal_position,10as,"","","","","","","",10% IC N6.3,Subappalti Edilizia
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj12,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
10rc_n64,Investments in construction,10%,10% RC N6.4,810,10.0,percent,purchase,tax_group_iva_10,False,"",base,invoice,+03||+vj13,"","","","","","it,intra_private","","","","","","","","",10% IC N6.4,Investimenti in Edilizia
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj13,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
10rc_n65,Cellphones,10%,10% RC N6.5,820,10.0,percent,purchase,tax_group_iva_10,False,"",base,invoice,+03||+vj14,"","","","","","it,intra_private","","","","","","","","",10% IC N6.5,Cellulari
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj14,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
10rc_n66,Electronics,10%,10% RC N6.6,830,10.0,percent,purchase,tax_group_iva_10,False,"",base,invoice,+03||+vj15,"","","","","","it,intra_private","","","","","","","","",10% IC N6.6,Elettronica
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj15,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
10rc_n67,Construction services,10%,10% RC N6.7,840,10.0,percent,purchase,tax_group_iva_10,True,"",base,invoice,+03||+vj16,"","","","","","it,intra_private","","","","","","","","",10% IC N6.7,Servizi Edilizia
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj16,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
10rc_n68,Energy,10%,10% RC N6.8,850,10.0,percent,purchase,tax_group_iva_10,False,"",base,invoice,+03||+vj17,"","","","","","it,intra_private","","","","","","","","",10% IC N6.8,Energia
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj17,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
22rc_n61,Scrap,22%,22% RC N6.1,860,22.0,percent,purchase,tax_group_iva_22,False,"",base,invoice,+03||+vj6,"","","","","","it,intra_private","","","","","","","","",22% IC N6.1,Materiali di Scarto
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj6,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
22rc_n62,Gold,22%,22% RC N6.2,870,22.0,percent,purchase,tax_group_iva_22,False,"",base,invoice,+03||+vj7,"","","","","","it,intra_private","","","","","","","","",22% IC N6.2,Oro
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj7,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
22rc_n62b,Investments in gold,22%,22% RC N6.2b,880,22.0,percent,purchase,tax_group_iva_22,False,"",base,invoice,+03||+vj8,"","","","","","it,intra_private","","","","","","","","",22% IC N6.2b,Investimenti in Oro
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj8,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
22rc_n63,Construction subcontractors,22%,22% RC N6.3,890,22.0,percent,purchase,tax_group_iva_22,False,"",base,invoice,+03||+vj12,"","","","","",construction_fiscal_position,22as,"","","","","","","",22% IC N6.3,Subappalti Edilizia
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj12,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
22rc_n64,Investments in construction,22%,22% RC N6.4,900,22.0,percent,purchase,tax_group_iva_22,False,"",base,invoice,+03||+vj13,"","","","","","it,intra_private","","","","","","","","",22% IC N6.4,Investimenti in Edilizia
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj13,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
22rc_n65,Cellphones,22%,22% RC N6.5,910,22.0,percent,purchase,tax_group_iva_22,False,"",base,invoice,+03||+vj14,"","","","","","it,intra_private","","","","","","","","",22% IC N6.5,Cellulari
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj14,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
22rc_n66,Electronics,22%,22% RC N6.6,920,22.0,percent,purchase,tax_group_iva_22,False,"",base,invoice,+03||+vj15,"","","","","","it,intra_private","","","","","","","","",22% IC N6.6,Elettronica
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj15,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
22rc_n67,Construction services,22%,22% RC N6.7,930,22.0,percent,purchase,tax_group_iva_22,True,"",base,invoice,+03||+vj16,"","","","","","it,intra_private","","","","","","","","",22% IC N6.7,Servizi Edilizia
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj16,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
22rc_n68,Energy,22%,22% RC N6.8,940,22.0,percent,purchase,tax_group_iva_22,False,"",base,invoice,+03||+vj17,"","","","","","it,intra_private","","","","","","","","",22% IC N6.8,Energia
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,-4v,2601,-100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03||-vj17,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+4v,2601,-100,"","","","","","","","","","","","","",""
20vwi,"",20% Ritenuta Persone Fisiche,20% RIT PF,10,-20.0,percent,sale,tax_group_withholding,"","",base,invoice,"","",100,"","",tax_excluded,"","",on_payment,1611,"","",RT01,A,"","",""
"","","","","","","","","","","",tax,invoice,-RITV,1609,100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,"","",100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+RITV,1609,100,"","","","","","","","","","","","","",""
20awi,"",20% Ritenuta Persone Fisiche,20% RIT PF,10,-20.0,percent,purchase,tax_group_withholding,"","",base,invoice,"","",100,"","","","","",on_payment,2603,"","",RT01,A,"","",""
"","","","","","","","","","","",tax,invoice,+RITA,2602,100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,"","",100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-RITA,2602,100,"","","","","","","","","","","","","",""
20vwc,"",20% Ritenuta Persone Giuridiche,20% RIT PG,11,-20.0,percent,sale,tax_group_withholding,"","",base,invoice,"","",100,"","",tax_excluded,"","",on_payment,1611,"","",RT02,A,"","",""
"","","","","","","","","","","",tax,invoice,-RITV,1609,100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,"","",100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+RITV,1609,100,"","","","","","","","","","","","","",""
20awc,"",20% Ritenuta Persone Giuridiche,20% RIT PG,11,-20.0,percent,purchase,tax_group_withholding,"","",base,invoice,"","",100,"","","","","",on_payment,2603,"","",RT02,A,"","",""
"","","","","","","","","","","",tax,invoice,+RITA,2602,100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,"","",100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-RITA,2602,100,"","","","","","","","","","","","","",""
23vwo,"",23% Ritenuta Agenti e Rappresentanti,23% RIT AG,12,-11.5,percent,sale,tax_group_withholding,"","",base,invoice,"","",100,"","",tax_excluded,"","",on_payment,1611,"","",RT02,ZO,"","",""
"","","","","","","","","","","",tax,invoice,-RITV,1609,100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,"","",100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+RITV,1609,100,"","","","","","","","","","","","","",""
23awo,"",23% Ritenuta Agenti e Rappresentanti,23% RIT AG,12,-11.5,percent,purchase,tax_group_withholding,"","",base,invoice,"","",100,"","","","","",on_payment,2603,"","",RT02,ZO,"","",""
"","","","","","","","","","","",tax,invoice,+RITA,2602,100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,"","",100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-RITA,2602,100,"","","","","","","","","","","","","",""
4vinps,"",4% Contributo INPS,4% INPS,5,4.0,percent,sale,tax_group_pension_fund,"","",base,invoice,"","",100,"","","","","","","",True,"","","",TC22,"",""
"","","","","","","","","","","",tax,invoice,"",2630,100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,"","",100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,"",2630,100,"","","","","","","","","","","","","",""
4ainps,"",4% Contributo INPS,4% INPS,5,4.0,percent,purchase,tax_group_pension_fund,"","",base,invoice,"","",100,"","","","","","","",True,"","","",TC22,"",""
"","","","","","","","","","","",tax,invoice,"",4402,100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,"","",100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,"",4402,100,"","","","","","","","","","","","","",""
4vcp,"",4% Contributo Fondo Pensione,4% F.Pens.,20,4.0,percent,sale,tax_group_pension_fund,"","",base,invoice,"","",100,"","","","","","","",True,"","","",TC01,"",""
"","","","","","","","","","","",tax,invoice,"",2630,100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,"","",100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,"",2630,100,"","","","","","","","","","","","","",""
4acp,"",4% Contributo Fondo Pensione,4% F.Pens.,20,4.0,percent,purchase,tax_group_pension_fund,"","",base,invoice,"","",100,"","","","","","","",True,"","","",TC01,"",""
"","","","","","","","","","","",tax,invoice,"",4402,100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,"","",100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,"",4402,100,"","","","","","","","","","","","","",""
enasarcov,"",8.5% Ritenuta ENASARCO,ENASARCO,13,-8.5,percent,sale,tax_group_enasarco,"","",base,invoice,"","",100,"","",tax_excluded,"","",on_payment,1611,"","","","",TC07,"",""
"","","","","","","","","","","",tax,invoice,-ENASARCOV,2630,100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,"","",100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,+ENASARCOV,2630,100,"","","","","","","","","","","","","",""
enasarcoa,"",8.5% Ritenuta ENASARCO,ENASARCO,13,-8.5,percent,purchase,tax_group_enasarco,"","",base,invoice,"","",100,"","","","","",on_payment,1611,"","","","",TC07,"",""
"","","","","","","","","","","",tax,invoice,+ENASARCOA,2630,100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,"","",100,"","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-ENASARCOA,2630,100,"","","","","","","","","","","","","",""
