"id","name","sequence","description","invoice_label","type_tax_use","tax_scope","amount_type","amount","tax_group_id","is_withholding_tax_on_payment","active","country_id","tax_exigibility","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/use_in_tax_closing","fiscal_position_ids","original_tax_ids"
"l10n_lk_tax_sale_14_ait_c","14% AIT C","","AIT Charges","14% AIT C","sale","","percent","-14","l10n_lk_tax_group_ait","False","True","base.lk","on_invoice","","base","invoice","","","","l10n_lk_fiscal_position_domestic",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_117000","","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_117000","","True","",""
"l10n_lk_tax_sale_14_ait_nr","14% AIT NR","","AIT Natural resource payment","14% AIT NR","sale","","percent","-14","l10n_lk_tax_group_ait","False","False","base.lk","on_invoice","","base","invoice","","","","l10n_lk_fiscal_position_domestic",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_117000","","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_117000","","True","",""
"l10n_lk_tax_sale_14_ait_rent","14% AIT Rent","","AIT Rent","14% AIT Rent","sale","","percent","-10","l10n_lk_tax_group_ait","False","False","base.lk","on_invoice","","base","invoice","","","","l10n_lk_fiscal_position_domestic",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_117000","","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_117000","","True","",""
"l10n_lk_tax_sale_14_ait_royalty","14% AIT Royalty","","AIT Royalty","14% AIT Royalty","sale","","percent","-14","l10n_lk_tax_group_ait","False","False","base.lk","on_invoice","","base","invoice","","","","l10n_lk_fiscal_position_domestic",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_117000","","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_117000","","True","",""
"l10n_lk_tax_sale_14_ait_d","14% AIT D","","AIT Dividend","14% AIT D","sale","","percent","-15","l10n_lk_tax_group_ait","False","False","base.lk","on_invoice","","base","invoice","","","","l10n_lk_fiscal_position_domestic",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_117000","","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_117000","","True","",""
"l10n_lk_tax_sale_14_ait_p","14% AIT P","","AIT Premium or Similar Periodic Payment or payment on services","14% AIT P","sale","","percent","-14","l10n_lk_tax_group_ait","False","False","base.lk","on_invoice","","base","invoice","","","","l10n_lk_fiscal_position_domestic",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_117000","","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_117000","","True","",""
