"id","code_prefix_start","name","name@sv_SE"
"se_group_684","684","Hired office and finance staff","Inhyrd kontors- och ekonomipersonal"
"se_group_685","685","Hired IT staff","Inhyrd IT-personal"
"se_group_686","686","Hired marketing and sales personnel","Inhyrd marknads- och försäljningspersonal"
"se_group_687","687","Hired restaurant and shop staff","Inhyrd restaurang- och butikspersonal"
"se_group_688","688","Temporary business managers","Inhyrda företagsledare"
"se_group_689","689","Other temporary staff","Övrig inhyrd personal"
"se_group_69","69","Other external costs","Övriga externa kostnader"
"se_group_690","690","Other external costs (group account)","Övriga externa kostnader (gruppkonto)"
"se_group_691","691","Licence fees and royalties","Licensavgifter och royalties"
"se_group_692","692","Cost of own patents","Kostnader för egna patent"
"se_group_693","693","Cost of trade marks, etc.","Kostnader för varumärken m.m."
"se_group_694","694","Inspection, testing and stamping fees","Kontroll-, provnings- och stämpelavgifter"
"se_group_695","695","Regulatory fees of authorities","Tillsynsavgifter myndigheter"
"se_group_697","697","Newspapers, periodicals and specialised literature","Tidningar, tidskrifter och facklitteratur"
"se_group_698","698","Association fees","Föreningsavgifter"
"se_group_699","699","Other external costs","Övriga externa kostnader"
"se_group_7","7","Expenditure/expenses for personnel, depreciation, etc.","Utgifter/kostnader för personal, avskrivningar m.m."
"se_group_70","70","Wages and salaries to collective employees","Löner till kollektivanställda"
"se_group_700","700","Wages and salaries of collective employees (group account)","Löner till kollektivanställda (gruppkonto)"
"se_group_701","701","Wages and salaries of public sector employees","Löner till kollektivanställda"
"se_group_703","703","Wages and salaries of collective employees (expatriates)","Löner till kollektivanställda (utlandsanställda)"
"se_group_708","708","Wages and salaries to collective employees for time not worked","Löner till kollektivanställda för ej arbetad tid"
"se_group_709","709","Change in holiday pay liability","Förändring av semesterlöneskuld"
"se_group_71","71","Free account group","Fri kontogrupp"
"se_group_72","72","Wages and salaries of officials and managers","Löner till tjänstemän och företagsledare"
"se_group_720","720","Wages and salaries of officials and managers (group account)","Löner till tjänstemän och företagsledare (gruppkonto)"
"se_group_721","721","Salaries to civil servants","Löner till tjänstemän"
"se_group_722","722","Salaries to company directors","Löner till företagsledare"
"se_group_723","723","Salaries of officials and company directors (expatriates)","Löner till tjänstemän och ftgsledare (utlandsanställda)"
"se_group_724","724","Directors' fees","Styrelsearvoden"
"se_group_728","728","Salaries of officials and managers for non-working time","Löner till tjänstemän och företagsledare för ej arbetad tid"
"se_group_729","729","Change in holiday pay liability","Förändring av semesterlöneskuld"
"se_group_73","73","Expense reimbursements and benefits","Kostnadsersättningar och förmåner"
"se_group_730","730","Allowances and benefits (group account)","Kostnadsersättningar och förmåner (gruppkonto)"
"se_group_731","731","Additional cash allowances","Kontanta extraersättningar"
"se_group_732","732","Mission allowances","Traktamenten vid tjänsteresa"
"se_group_733","733","Car allowances","Bilersättningar"
"se_group_735","735","Reimbursement of prescribed work clothes","Ersättningar för föreskrivna arbetskläder"
"se_group_737","737","Entertainment allowances","Representationsersättningar"
"se_group_738","738","Cost of employee benefits","Kostnader för förmåner till anställda"
"se_group_739","739","Other reimbursements and benefits","Övriga kostnadsersättningar och förmåner"
"se_group_74","74","Pension costs","Pensionskostnader"
"se_group_740","740","Pension costs (group account)","Pensionskostnader (gruppkonto)"
"se_group_741","741","Pension insurance premiums","Pensionsförsäkringspremier"
"se_group_742","742","Change in pension liability","Förändring av pensionsskuld"
"se_group_743","743","Deduction of interest portion of pension cost","Avdrag för räntedel i pensionskostnad"
"se_group_744","744","Change in pension fund capital","Förändring av pensionsstiftelsekapital"
"se_group_746","746","Pension payments","Pensionsutbetalningar"
"se_group_747","747","Management and credit insurance fees","Förvaltnings- och kreditförsäkringsavgifter"
"se_group_749","749","Other pension costs","Övriga pensionskostnader"
"se_group_75","75","Social security and other statutory and contractual contributions","Sociala och andra avgifter enligt lag och avtal"
"se_group_750","750","Social security and other statutory and contractual contributions (group account)","Sociala och andra avgifter enligt lag och avtal (gruppkonto)"
"se_group_751","751","Employer's contributions 31.42%","Arbetsgivaravgifter 31,42 %"
"se_group_753","753","Special payroll tax","Särskild löneskatt"
"se_group_755","755","Tax on returns on pension funds","Avkastningsskatt på pensionsmedel"
"se_group_757","757","Labour market insurance premiums","Premier för arbetsmarknadsförsäkringar"
"se_group_758","758","Group insurance premiums","Gruppförsäkringspremier"
"se_group_759","759","Other social and other contributions according to law and agreements","Övriga sociala och andra avgifter enligt lag och avtal"
"se_group_76","76","Other staff costs","Övriga personalkostnader"
"se_group_760","760","Other staff costs (group account)","Övriga personalkostnader (gruppkonto)"
"se_group_761","761","Education and training","Utbildning"
"se_group_762","762","Sickness and health care","Sjuk- och hälsovård"
"se_group_763","763","Staff representation","Personalrepresentation"
"se_group_765","765","Sick pay insurance","Sjuklöneförsäkring"
"se_group_767","767","Change in staff foundation capital","Förändring av personalstiftelsekapital"
"se_group_769","769","Other staff costs","Övriga personalkostnader"
"se_group_77","77","Impairment losses and reversal of impairment losses","Nedskrivningar och återföring av nedskrivningar"
"se_group_771","771","Impairment of intangible fixed assets","Nedskrivningar av immateriella anläggningstillgångar"
"se_group_772","772","Impairment of land and buildings","Nedskrivningar av byggnader och mark"
"se_group_773","773","Impairment of machinery and equipment","Nedskrivningar av maskiner och inventarier"
"se_group_774","774","Impairment of certain current assets","Nedskrivningar av vissa omsättningstillgångar"
"se_group_776","776","Reversal of impairment losses on intangible assets","Återföring av nedskrivningar av immateriella anläggningstillgångar"
"se_group_777","777","Reversal of impairment losses on land and buildings","Återföring av nedskrivningar av byggnader och mark"
"se_group_778","778","Reversal of impairment losses on machinery and equipment","Återföring av nedskrivningar av maskiner och inventarier"
"se_group_779","779","Reversal of impairment losses on certain current assets","Återföring av nedskrivningar av vissa omsättningstillgångar"
"se_group_78","78","Depreciation according to plan","Avskrivningar enligt plan"
"se_group_781","781","Amortisation of intangible fixed assets","Avskrivningar på immateriella anläggningstillgångar"
"se_group_782","782","Depreciation of buildings and land improvements","Avskrivningar på byggnader och markanläggningar"
"se_group_783","783","Depreciation of machinery and equipment","Avskrivningar på maskiner och inventarier"
"se_group_784","784","Depreciation of improvements to property owned by others","Avskrivningar på förbättringsutgifter på annans fastighet"
"se_group_79","79","Other operating expenses","Övriga rörelsekostnader"
"se_group_794","794","Unrealised positive/negative change in value of hedging instruments","Orealiserade positiva/negativa värdeförändringar på säkringsinstrument"
"se_group_796","796","Exchange rate losses on operating receivables and liabilities","Valutakursförluster på fordringar och skulder av rörelsekaraktär"
"se_group_797","797","Loss on disposal of intangible and tangible fixed assets","Förlust vid avyttring av immateriella och materiella anläggningstillgångar"
"se_group_799","799","Other operating expenses","Övriga rörelsekostnader"
"se_group_8","8","Financial and other income/revenue and expenditure/expenses","Finansiella och andra inkomster/intäkter och utgifter/kostnader"
"se_group_80","80","Income from shares in group companies","Resultat från andelar i koncernföretag"
"se_group_801","801","Dividends on shares in group companies","Utdelning på andelar i koncernföretag"
"se_group_802","802","Profit/loss on sale of shares in group companies","Resultat vid försäljning av andelar i koncernföretag"
"se_group_803","803","Share of profits of partnerships (subsidiaries)","Resultatandelar från handelsbolag (dotterföretag)"
"se_group_807","807","Impairment losses on shares in and long-term receivables from group companies","Nedskrivningar av andelar i och långfristiga fordringar hos koncernföretag"
"se_group_808","808","Reversals of impairment losses on investments in and long-term receivables from group companies","Återföringar av nedskrivningar av andelar i och långfristiga fordringar hos koncernföretag"
"se_group_81","81","Income from investments in associates","Resultat från andelar i intresseföretag"
"se_group_811","811","Dividends on shares in associates, jointly controlled entities and other entities in which there is an ownership interest","Utdelningar på andelar i intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i"
"se_group_812","812","Gains on the sale of shares in associates, jointly controlled entities and other entities in which a participation is held","Resultat vid försäljning av andelar i intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i"
"se_group_813","813","Profit shares from partnerships (associates, jointly controlled entities and other entities in which there is a participating interest)","Resultatandelar från handelsbolag (intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i)"
"se_group_817","817","Impairment losses on investments and long-term receivables of associates, jointly controlled entities and other entities in which an ownership interest is held","Nedskrivningar av andelar i och långfristiga fordringar hos intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i"
"se_group_818","818","Reversals of impairment losses on investments in and long-term receivables from associates","Återföringar av nedskrivningar av andelar i och långfristiga fordringar hos intresseföretag"
"se_group_82","82","Income from other securities and long-term receivables","Resultat från övriga värdepapper och långfristiga fordringar"
"se_group_821","821","Dividends on shares in other enterprises","Utdelningar på andelar i andra företag"
"se_group_822","822","Gains on the sale of securities and long-term receivables from other enterprises","Resultat vid försäljning av värdepapper i och långfristiga fordringar hos andra företag"
"se_group_823","823","Exchange rate differences on long-term receivables","Valutakursdifferenser på långfristiga fordringar"
"se_group_824","824","Share of profits of partnerships (other enterprises)","Resultatandelar från handelsbolag (andra företag)"
"se_group_825","825","Interest income on long-term receivables from and securities of other enterprises","Ränteintäkter från långfristiga fordringar hos och värdepapper i andra företag"
"se_group_826","826","Interest income on long-term receivables from group companies","Ränteintäkter från långfristiga fordringar hos koncernföretag"
"se_group_827","827","Impairment losses on holdings of shares and long-term receivables from other corporations","Nedskrivningar av innehav av andelar i och långfristiga fordringar hos andra företag"
"se_group_828","828","Reversals of impairment losses on investments in and long-term receivables from other enterprises","Återföringar av nedskrivningar av andelar i och långfristiga fordringar hos andra företag"
"se_group_829","829","Fair value measurement, fixed assets","Värdering till verkligt värde, anläggningstillgångar"
"se_group_83","83","Other interest income and similar income items","Övriga ränteintäkter och liknande resultatposter"
"se_group_831","831","Interest income from current assets","Ränteintäkter från omsättningstillgångar"
"se_group_832","832","Fair value measurement, current assets","Värdering till verkligt värde, omsättningstillgångar"
"se_group_833","833","Exchange rate differences on short-term receivables and investments","Valutakursdifferenser på kortfristiga fordringar och placeringar"
"se_group_834","834","Dividends on short-term investments","Utdelningar på kortfristiga placeringar"
"se_group_835","835","Gain on sale of short-term investments","Resultat vid försäljning av kortfristiga placeringar"
"se_group_836","836","Other interest income from group companies","Övriga ränteintäkter från koncernföretag"
"se_group_837","837","Impairment losses on short-term investments","Nedskrivningar av kortfristiga placeringar"
"se_group_838","838","Reversals of impairment losses on short-term investments","Återföringar av nedskrivningar av kortfristiga placeringar"
"se_group_839","839","Other financial income","Övriga finansiella intäkter"
"se_group_84","84","Interest expense and similar items","Räntekostnader och liknande resultatposter"
"se_group_840","840","Interest expense (group account)","Räntekostnader (gruppkonto)"
"se_group_841","841","Interest expense on long-term liabilities","Räntekostnader för långfristiga skulder"
"se_group_842","842","Interest expense on short-term liabilities","Räntekostnader för kortfristiga skulder"
"se_group_843","843","Exchange rate differences on liabilities","Valutakursdifferenser på skulder"
"se_group_844","844","Interest subsidies received","Erhållna räntebidrag"
"se_group_845","845","Unrealised changes in value of liabilities","Orealiserade värdeförändringar på skulder"
"se_group_846","846","Interest expenses to group companies","Räntekostnader till koncernföretag"
"se_group_848","848","Capitalised interest expenses","Aktiverade ränteutgifter"
"se_group_849","849","Other debt-related items","Övriga skuldrelaterade poster"
"se_group_85","85","Free account group","Fri kontogrupp"
"se_group_86","86","Unrestricted account group","Fri kontogrupp"
"se_group_87","87","Unrestricted account group","Fri kontogrupp"
"se_group_88","88","Appropriations","Bokslutsdispositioner"
"se_group_881","881","Change in tax allocation reserve","Förändring av periodiseringsfond"
"se_group_882","882","Group contributions received","Mottagna koncernbidrag"
"se_group_883","883","Group contributions paid","Lämnade koncernbidrag"
"se_group_884","884","Indemnities paid","Lämnade gottgörelser"
"se_group_885","885","Change in excess depreciation","Förändring av överavskrivningar"
"se_group_886","886","Change in compensation fund","Förändring av ersättningsfond"
"se_group_889","889","Other appropriations","Övriga bokslutsdispositioner"
"se_group_89","89","Taxes and profit for the year","Skatter och årets resultat"
"se_group_891","891","Taxes charged to the profit for the year","Skatt som belastar årets resultat"
"se_group_892","892","Tax due to change in taxation","Skatt på grund av ändrad beskattning"
"se_group_893","893","Tax refunded","Restituerad skatt"
"se_group_894","894","Deferred tax","Uppskjuten skatt"
"se_group_898","898","Other taxes","Övriga skatter"
"se_group_899","899","Profit or loss","Resultat"
