id,name,description,type_tax_use,amount_type,amount,sequence,chart_template_id:id
lu_2011_tax_IP-IC-6,Investissement Prestations 6% - Intracommunautaire,IP-IC-6,purchase,percent,1,253,lu_2011_chart_1
lu_2011_tax_IP-IC-6-p,Investissement Prestations 6% - Intracommunautaire (+),IP-IC-6-p,purchase,percent,0.06,1000,lu_2011_chart_1
lu_2011_tax_IP-IC-6-n,Investissement Prestations 6% - Intracommunautaire (-),IP-IC-6-n,purchase,percent,-0.06,2000,lu_2011_chart_1
lu_2011_tax_IP-IC-3,Investissement Prestations 3% - Intracommunautaire,IP-IC-3,purchase,percent,1,254,lu_2011_chart_1
lu_2011_tax_IP-IC-3-p,Investissement Prestations 3% - Intracommunautaire (+),IP-IC-3-p,purchase,percent,0.03,1000,lu_2011_chart_1
lu_2011_tax_IP-IC-3-n,Investissement Prestations 3% - Intracommunautaire (-),IP-IC-3-n,purchase,percent,-0.03,2000,lu_2011_chart_1
lu_2011_tax_IP-IC-0,Investissement Prestations 0% - Intracommunautaire,IP-IC-0,purchase,percent,0,255,lu_2011_chart_1
lu_2011_tax_IP-EC-15,Investissement Prestations 15% - Extracommunautaire,IP-EC-15,purchase,percent,1,351,lu_2011_chart_1
lu_2011_tax_IP-EC-15-p,Investissement Prestations 15% - Extracommunautaire (+),IP-EC-15-p,purchase,percent,0.15,1000,lu_2011_chart_1
lu_2011_tax_IP-EC-15-n,Investissement Prestations 15% - Extracommunautaire (-),IP-EC-15-n,purchase,percent,-0.15,2000,lu_2011_chart_1
lu_2011_tax_IP-EC-12,Investissement Prestations 12% - Extracommunautaire,IP-EC-12,purchase,percent,1,352,lu_2011_chart_1
lu_2011_tax_IP-EC-12-p,Investissement Prestations 12% - Extracommunautaire (+),IP-EC-12-p,purchase,percent,0.12,1000,lu_2011_chart_1
lu_2011_tax_IP-EC-12-n,Investissement Prestations 12% - Extracommunautaire (-),IP-EC-12-n,purchase,percent,-0.12,2000,lu_2011_chart_1
lu_2011_tax_IP-EC-6,Investissement Prestations 6% - Extracommunautaire,IP-EC-6,purchase,percent,1,353,lu_2011_chart_1
lu_2011_tax_IP-EC-6-p,Investissement Prestations 6% - Extracommunautaire (+),IP-EC-6-p,purchase,percent,0.06,1000,lu_2011_chart_1
lu_2011_tax_IP-EC-6-n,Investissement Prestations 6% - Extracommunautaire (-),IP-EC-6-n,purchase,percent,-0.06,2000,lu_2011_chart_1
lu_2011_tax_IP-EC-3,Investissement Prestations 3% - Extracommunautaire,IP-EC-3,purchase,percent,1,354,lu_2011_chart_1
lu_2011_tax_IP-EC-3-p,Investissement Prestations 3% - Extracommunautaire (+),IP-EC-3-p,purchase,percent,0.03,1000,lu_2011_chart_1
lu_2011_tax_IP-EC-3-n,Investissement Prestations 3% - Extracommunautaire (-),IP-EC-3-n,purchase,percent,-0.03,2000,lu_2011_chart_1
lu_2011_tax_IP-EC-0,Investissement Prestations 0% - Extracommunautaire,IP-EC-0,purchase,percent,0,355,lu_2011_chart_1
lu_2011_tax_AB-PA-15,Achat Biens 15% - Pays,AB-PA-15,purchase,percent,0.15,161,lu_2011_chart_1
lu_2011_tax_AB-PA-12,Achat Biens 12% - Pays,AB-PA-12,purchase,percent,0.12,162,lu_2011_chart_1
lu_2011_tax_AB-PA-9,Achat Biens 9% - Pays,AB-PA-9,purchase,percent,0.09,163,lu_2011_chart_1
lu_2011_tax_AB-PA-6,Achat Biens 6% - Pays,AB-PA-6,purchase,percent,0.06,164,lu_2011_chart_1
lu_2011_tax_AB-PA-3,Achat Biens 3% - Pays,AB-PA-3,purchase,percent,0.03,165,lu_2011_chart_1
lu_2011_tax_AB-PA-0,Achat Biens 0% - Pays,AB-PA-0,purchase,percent,0,166,lu_2011_chart_1
lu_2011_tax_AB-PA-Tab,Achat Biens Tabacs - Pays,AB-PA-Tab,purchase,percent,0,167,lu_2011_chart_1
lu_2011_tax_AB-IC-15,Achat Biens 15% - Intracommunautaire,AB-IC-15,purchase,percent,1,261,lu_2011_chart_1
lu_2011_tax_AB-IC-15-p,Achat Biens 15% - Intracommunautaire (+),AB-IC-15-p,purchase,percent,0.15,1000,lu_2011_chart_1
lu_2011_tax_AB-IC-15-n,Achat Biens 15% - Intracommunautaire (-),AB-IC-15-n,purchase,percent,-0.15,2000,lu_2011_chart_1
lu_2011_tax_AB-IC-12,Achat Biens 12% - Intracommunautaire,AB-IC-12,purchase,percent,1,262,lu_2011_chart_1
lu_2011_tax_AB-IC-12-p,Achat Biens 12% - Intracommunautaire (+),AB-IC-12-p,purchase,percent,0.12,1000,lu_2011_chart_1
lu_2011_tax_AB-IC-12-n,Achat Biens 12% - Intracommunautaire (-),AB-IC-12-n,purchase,percent,-0.12,2000,lu_2011_chart_1
lu_2011_tax_AB-IC-9,Achat Biens 9% - Intracommunautaire,AB-IC-9,purchase,percent,1,263,lu_2011_chart_1
lu_2011_tax_AB-IC-9-p,Achat Biens 9% - Intracommunautaire (+),AB-IC-9-p,purchase,percent,0.09,1000,lu_2011_chart_1
lu_2011_tax_AB-IC-9-n,Achat Biens 9% - Intracommunautaire (-),AB-IC-9-n,purchase,percent,-0.09,2000,lu_2011_chart_1
lu_2011_tax_AB-IC-6,Achat Biens 6% - Intracommunautaire,AB-IC-6,purchase,percent,1,264,lu_2011_chart_1
lu_2011_tax_AB-IC-6-p,Achat Biens 6% - Intracommunautaire (+),AB-IC-6-p,purchase,percent,0.06,1000,lu_2011_chart_1
lu_2011_tax_AB-IC-6-n,Achat Biens 6% - Intracommunautaire (-),AB-IC-6-n,purchase,percent,-0.06,2000,lu_2011_chart_1
lu_2011_tax_AB-IC-3,Achat Biens 3% - Intracommunautaire,AB-IC-3,purchase,percent,1,265,lu_2011_chart_1
lu_2011_tax_AB-IC-3-p,Achat Biens 3% - Intracommunautaire (+),AB-IC-3-p,purchase,percent,0.03,1000,lu_2011_chart_1
lu_2011_tax_AB-IC-3-n,Achat Biens 3% - Intracommunautaire (-),AB-IC-3-n,purchase,percent,-0.03,2000,lu_2011_chart_1
lu_2011_tax_AB-IC-0,Achat Biens 0% - Intracommunautaire,AB-IC-0,purchase,percent,0,266,lu_2011_chart_1
lu_2011_tax_AB-EC-15,Achat Biens 15% - Extracommunautaire,AB-EC-15,purchase,percent,1,361,lu_2011_chart_1
lu_2011_tax_AB-EC-15-p,Achat Biens 15% - Extracommunautaire (+),AB-EC-15-p,purchase,percent,0.15,1000,lu_2011_chart_1
lu_2011_tax_AB-EC-15-n,Achat Biens 15% - Extracommunautaire (-),AB-EC-15-n,purchase,percent,-0.15,2000,lu_2011_chart_1
lu_2011_tax_AB-EC-12,Achat Biens 12% - Extracommunautaire,AB-EC-12,purchase,percent,1,362,lu_2011_chart_1
lu_2011_tax_AB-EC-12-p,Achat Biens 12% - Extracommunautaire (+),AB-EC-12-p,purchase,percent,0.12,1000,lu_2011_chart_1
lu_2011_tax_AB-EC-12-n,Achat Biens 12% - Extracommunautaire (-),AB-EC-12-n,purchase,percent,-0.12,2000,lu_2011_chart_1
lu_2011_tax_AB-EC-6,Achat Biens 6% - Extracommunautaire,AB-EC-6,purchase,percent,1,363,lu_2011_chart_1
lu_2011_tax_AB-EC-6-p,Achat Biens 6% - Extracommunautaire (+),AB-EC-6-p,purchase,percent,0.06,1000,lu_2011_chart_1
lu_2011_tax_AB-EC-6-n,Achat Biens 6% - Extracommunautaire (-),AB-EC-6-n,purchase,percent,-0.06,2000,lu_2011_chart_1
lu_2011_tax_AB-EC-3,Achat Biens 3% - Extracommunautaire,AB-EC-3,purchase,percent,1,364,lu_2011_chart_1
lu_2011_tax_AB-EC-3-p,Achat Biens 3% - Extracommunautaire (+),AB-EC-3-p,purchase,percent,0.03,1000,lu_2011_chart_1
lu_2011_tax_AB-EC-3-n,Achat Biens 3% - Extracommunautaire (-),AB-EC-3-n,purchase,percent,-0.03,2000,lu_2011_chart_1
lu_2011_tax_AB-EC-0,Achat Biens 0% - Extracommunautaire,AB-EC-0,purchase,percent,0,365,lu_2011_chart_1
lu_2011_tax_AB-TR-15,Achat Biens 15% - Triangulaire,AB-TR-15,purchase,percent,1,461,lu_2011_chart_1
lu_2011_tax_AB-TR-15-p,Achat Biens 15% - Triangulaire (+),AB-TR-15-p,purchase,percent,0.15,1000,lu_2011_chart_1
lu_2011_tax_AB-TR-15-n,Achat Biens 15% - Triangulaire (-),AB-TR-15-n,purchase,percent,-0.15,2000,lu_2011_chart_1
lu_2011_tax_AB-TR-12,Achat Biens 12% - Triangulaire,AB-TR-12,purchase,percent,1,462,lu_2011_chart_1
lu_2011_tax_AB-TR-12-p,Achat Biens 12% - Triangulaire (+),AB-TR-12-p,purchase,percent,0.12,1000,lu_2011_chart_1
lu_2011_tax_AB-TR-12-n,Achat Biens 12% - Triangulaire (-),AB-TR-12-n,purchase,percent,-0.12,2000,lu_2011_chart_1
lu_2011_tax_AB-TR-6,Achat Biens 6% - Triangulaire,AB-TR-6,purchase,percent,1,463,lu_2011_chart_1
lu_2011_tax_AB-TR-6-p,Achat Biens 6% - Triangulaire (+),AB-TR-6-p,purchase,percent,0.06,1000,lu_2011_chart_1
lu_2011_tax_AB-TR-6-n,Achat Biens 6% - Triangulaire (-),AB-TR-6-n,purchase,percent,-0.06,2000,lu_2011_chart_1
lu_2011_tax_AB-TR-3,Achat Biens 3% - Triangulaire,AB-TR-3,purchase,percent,1,464,lu_2011_chart_1
lu_2011_tax_AB-TR-3-p,Achat Biens 3% - Triangulaire (+),AB-TR-3-p,purchase,percent,0.03,1000,lu_2011_chart_1
lu_2011_tax_AB-TR-3-n,Achat Biens 3% - Triangulaire (-),AB-TR-3-n,purchase,percent,-0.03,2000,lu_2011_chart_1
lu_2011_tax_AP-PA-15,Achat Prestations 15% - Pays,AP-PA-15,purchase,percent,0.15,171,lu_2011_chart_1
lu_2011_tax_AP-PA-12,Achat Prestations 12% - Pays,AP-PA-12,purchase,percent,0.12,172,lu_2011_chart_1
lu_2011_tax_AP-PA-9,Achat Prestations 9% - Pays,AP-PA-9,purchase,percent,0.09,173,lu_2011_chart_1
lu_2011_tax_AP-PA-6,Achat Prestations 6% - Pays,AP-PA-6,purchase,percent,0.06,174,lu_2011_chart_1
lu_2011_tax_AP-PA-3,Achat Prestations 3% - Pays,AP-PA-3,purchase,percent,0.03,175,lu_2011_chart_1
lu_2011_tax_AP-PA-0,Achat Prestations 0% - Pays,AP-PA-0,purchase,percent,0,176,lu_2011_chart_1
lu_2011_tax_AP-IC-15,Achat Prestations 15% - Intracommunautaire,AP-IC-15,purchase,percent,1,271,lu_2011_chart_1
lu_2011_tax_AP-IC-15-p,Achat Prestations 15% - Intracommunautaire (+),AP-IC-15-p,purchase,percent,0.15,1000,lu_2011_chart_1
lu_2011_tax_AP-IC-15-n,Achat Prestations 15% - Intracommunautaire (-),AP-IC-15-n,purchase,percent,-0.15,2000,lu_2011_chart_1
lu_2011_tax_AP-IC-12,Achat Prestations 12% - Intracommunautaire,AP-IC-12,purchase,percent,1,272,lu_2011_chart_1
lu_2011_tax_AP-IC-12-p,Achat Prestations 12% - Intracommunautaire (+),AP-IC-12-p,purchase,percent,0.12,1000,lu_2011_chart_1
lu_2011_tax_AP-IC-12-n,Achat Prestations 12% - Intracommunautaire (-),AP-IC-12-n,purchase,percent,-0.12,2000,lu_2011_chart_1
lu_2011_tax_AP-IC-6,Achat Prestations 6% - Intracommunautaire,AP-IC-6,purchase,percent,1,273,lu_2011_chart_1
lu_2011_tax_AP-IC-6-p,Achat Prestations 6% - Intracommunautaire (+),AP-IC-6-p,purchase,percent,0.06,1000,lu_2011_chart_1
lu_2011_tax_AP-IC-6-n,Achat Prestations 6% - Intracommunautaire (-),AP-IC-6-n,purchase,percent,-0.06,2000,lu_2011_chart_1
lu_2011_tax_AP-IC-3,Achat Prestations 3% - Intracommunautaire,AP-IC-3,purchase,percent,1,274,lu_2011_chart_1
lu_2011_tax_AP-IC-3-p,Achat Prestations 3% - Intracommunautaire (+),AP-IC-3-p,purchase,percent,0.03,1000,lu_2011_chart_1
lu_2011_tax_AP-IC-3-n,Achat Prestations 3% - Intracommunautaire (-),AP-IC-3-n,purchase,percent,-0.03,2000,lu_2011_chart_1
lu_2011_tax_AP-IC-0,Achat Prestations 0% - Intracommunautaire,AP-IC-0,purchase,percent,0,275,lu_2011_chart_1
lu_2011_tax_AP-EC-15,Achat Prestations 15% - Extracommunautaire,AP-EC-15,purchase,percent,1,371,lu_2011_chart_1
lu_2011_tax_AP-EC-15-p,Achat Prestations 15% - Extracommunautaire (+),AP-EC-15-p,purchase,percent,0.15,1000,lu_2011_chart_1
lu_2011_tax_AP-EC-15-n,Achat Prestations 15% - Extracommunautaire (-),AP-EC-15-n,purchase,percent,-0.15,2000,lu_2011_chart_1
lu_2011_tax_AP-EC-12,Achat Prestations 12% - Extracommunautaire,AP-EC-12,purchase,percent,1,372,lu_2011_chart_1
lu_2011_tax_AP-EC-12-p,Achat Prestations 12% - Extracommunautaire (+),AP-EC-12-p,purchase,percent,0.12,1000,lu_2011_chart_1
lu_2011_tax_AP-EC-12-n,Achat Prestations 12% - Extracommunautaire (-),AP-EC-12-n,purchase,percent,-0.12,2000,lu_2011_chart_1
lu_2011_tax_AP-EC-6,Achat Prestations 6% - Extracommunautaire,AP-EC-6,purchase,percent,1,373,lu_2011_chart_1
lu_2011_tax_AP-EC-6-p,Achat Prestations 6% - Extracommunautaire (+),AP-EC-6-p,purchase,percent,0.06,1000,lu_2011_chart_1
lu_2011_tax_AP-EC-6-n,Achat Prestations 6% - Extracommunautaire (-),AP-EC-6-n,purchase,percent,-0.06,2000,lu_2011_chart_1
lu_2011_tax_AP-EC-3,Achat Prestations 3% - Extracommunautaire,AP-EC-3,purchase,percent,1,374,lu_2011_chart_1
lu_2011_tax_AP-EC-3-p,Achat Prestations 3% - Extracommunautaire (+),AP-EC-3-p,purchase,percent,0.03,1000,lu_2011_chart_1
lu_2011_tax_AP-EC-3-n,Achat Prestations 3% - Extracommunautaire (-),AP-EC-3-n,purchase,percent,-0.03,2000,lu_2011_chart_1
lu_2011_tax_AP-EC-0,Achat Prestations 0% - Extracommunautaire,AP-EC-0,purchase,percent,0,375,lu_2011_chart_1
lu_2011_tax_AP-TR-15,Achat Prestations 15% - Triangulaires,AP-TR-15,purchase,percent,1,471,lu_2011_chart_1
lu_2011_tax_AP-TR-15,Achat Prestations 15% - Triangulaires (+),AP-TR-15,purchase,percent,0.15,1000,lu_2011_chart_1
lu_2011_tax_AP-TR-15,Achat Prestations 15% - Triangulaires (-),AP-TR-15,purchase,percent,-0.15,2000,lu_2011_chart_1
lu_2011_tax_AP-TR-12,Achat Prestations 12% - Triangulaires,AP-TR-12,purchase,percent,1,472,lu_2011_chart_1
lu_2011_tax_AP-TR-12,Achat Prestations 12% - Triangulaires (+),AP-TR-12,purchase,percent,0.12,1000,lu_2011_chart_1
lu_2011_tax_AP-TR-12,Achat Prestations 12% - Triangulaires (-),AP-TR-12,purchase,percent,-0.12,2000,lu_2011_chart_1
lu_2011_tax_AP-TR-6,Achat Prestations 6% - Triangulaires,AP-TR-6,purchase,percent,1,473,lu_2011_chart_1
lu_2011_tax_AP-TR-6,Achat Prestations 6% - Triangulaires (+),AP-TR-6,purchase,percent,0.06,1000,lu_2011_chart_1
lu_2011_tax_AP-TR-6,Achat Prestations 6% - Triangulaires (-),AP-TR-6,purchase,percent,-0.06,2000,lu_2011_chart_1
lu_2011_tax_AP-TR-3,Achat Prestations 3% - Triangulaires,AP-TR-3,purchase,percent,1,475,lu_2011_chart_1
lu_2011_tax_AP-TR-3,Achat Prestations 3% - Triangulaires (+),AP-TR-3,purchase,percent,0.03,1000,lu_2011_chart_1
lu_2011_tax_AP-TR-3,Achat Prestations 3% - Triangulaires (-),AP-TR-3,purchase,percent,-0.03,2000,lu_2011_chart_1
