id,code,name,name@ar
l10n_eg_activity_type_4723,4723,Retail sale in specialized stores of tobacco products,البيع بالتجزئة بالمتاجر المتخصصة لمنتجات التبغ
l10n_eg_activity_type_4730,4730,Retail sale of specialized vehicles for fuel,البيع بالتجزئة بالاماكن المتخصصة لوقود المركبات
l10n_eg_activity_type_4741,4741,"Retail sale in stores specialized in computer hardware, accessories, computer software, and communications equipment",البيع بالتجزئة بالمتاجر المتخصصة فى اجهزة الحاسب الالى ومستلزماتة وبرامج الكمبيوتر واجهزة الاتصالات
l10n_eg_activity_type_4751,4751,Retail sale in clothing stores,البيع بالتجزئة بالمتاجر المتخصصة فى الملابس
l10n_eg_activity_type_4752,4752,"Retail sale in specialized stores of hardware, paint and glass",البيع بالتجزئة بالمتاجر المتخصصة للادوات المعدنية و الطلاء والزجاج
l10n_eg_activity_type_4753,4753,"Retail sale in specialized stores of carpets, blankets, wall and floor coverings",البيع بالتجزئة بالمتاجر المتخصصة للسجاد والبطاطين واغطية الحوائط والارضيات
l10n_eg_activity_type_4759,4759,"Retail sale in specialized stores of household electrical appliances, furniture, lighting equipment and other household appliances",البيع بالتجزئة بالمتاجر المتخصصة للاجهزة الكهربائية المنزلية والاثاث واجخزة الانارة والادوات المنزلية الاخرى
l10n_eg_activity_type_4761,4761,"Retail sale in specialized stores of books, newspapers, and stationery",البيع بالتجزئة بالمتاجر المتخصصة للكتب والصحف والادوات المكتبية
l10n_eg_activity_type_4762,4762,Retail sale in specialized stores of music and video recordings,البيع بالتجزئة بالمتاجر المتخصصة للتسجيلاتالموسشيقية والمرئية
l10n_eg_activity_type_4763,4763,Retail sale in specialized stores of sports equipment,البيع بالتجزئة بالمتاجر المتخصصة للادوات الرياضية
l10n_eg_activity_type_4764,4764,Retail sale in specialized games and toys stores,البيع بالتجزئة بالمتاجر المتخصصة للالعاب واللعب
l10n_eg_activity_type_4771,4771,"Retail sale in specialized stores of shoes, clothing and leather products",البيع بالتجزئة بالمتاجر المتخصصة للاحذية والملابس والمنتجات الجلدية
l10n_eg_activity_type_4772,4772,"Retail sale in specialized stores of pharmaceutical, medical and pharmaceutical products, ornamental and cosmetic products",البيع بالتجزئة بالمتاجر المتخصصة للمنتجات والعقاقير الصيدلانية والطبية وادوات الزينة والمنتجات التجميلية
l10n_eg_activity_type_4773,4773,Retail sale in specialized stores of other new products,البيع بالتجزئة بالمتاجر المتخصصة للمنتجات الجديدة الاخرى
l10n_eg_activity_type_4774,4774,Retail sale of used products,البيع بالتجزئة للمنتجات المستعملة
l10n_eg_activity_type_4781,4781,"Retail sale through kiosks and markets of food, soft drinks and tobacco products",البيع بالتجزئة من خلال الاكشاك والاسواق للمواد الغذائية والمشروبات الخفيفة ومنتجات التبغ
l10n_eg_activity_type_4782,4782,"Retail sale through kiosks and markets of clothes, fabrics and shoes",البيع بالتجزئة من خلال الاكشاك والاسواق للملابس والاقمشة والاحذية
l10n_eg_activity_type_4789,4789,Retail sale via stalls of other products,البيع بالتجزئة من خلال الاكشاك للمنتجات الاخرى
l10n_eg_activity_type_4742,4742,Retail sale in stores specialized in audio-visual equipment,البيع بالتجزئة بالمتاجر المتخصصة فى الاجهزة السمعية والبصرية
l10n_eg_activity_type_4791,4791,Retail sale via mail requests or through the Internet,البيع بالتجزئة عبر طلبات البريد او من خلال الانترنت
l10n_eg_activity_type_4799,4799,"Other types of retail sales that do not take place in stores, kiosks or markets",انواع البيع بالتجزئةالاخرى التى لاتتم بالنتاجر او الاكشاك او الاسواق
l10n_eg_activity_type_4911,4911,Inland passenger transportation,النقل الداخلى للركاب
l10n_eg_activity_type_4912,4912,Shipping by rail,الشحن عن طريق السكك الحديدية
l10n_eg_activity_type_4921,4921,Transporting land passengers outside and inside cities,نقل الركاب البرى خارج وداخل المدن
l10n_eg_activity_type_4922,4922,Other types of passenger transport by land,انواع نقل الركاب البرية الاخرى
l10n_eg_activity_type_4923,4923,Land transportation of goods by bus,النقل البرى للبضائع عن طريق الحافلات
l10n_eg_activity_type_4930,4930,Pipeline transportation,النقل عبر خطوط الانابيب
l10n_eg_activity_type_5011,5011,Transportation of marine and coastal passengers,نقل الركاب البحرى والساحلى
l10n_eg_activity_type_5012,5012,Marine and coastal cargo transportation,نقل البضائع البحرى والساحلى
l10n_eg_activity_type_5021,5021,Inland passenger water transport,النقل الداخلى المائى للركاب
l10n_eg_activity_type_5022,5022,Inland water transport of goods,النقل الداخلى المائى للبضائع
l10n_eg_activity_type_5110,5110,Air transport of passengers,النقل الجوى للركاب
l10n_eg_activity_type_5120,5120,Air freight transport,النقل الجوى للبضائع
l10n_eg_activity_type_5210,5210,Keep and store,الاحتفاظ والتخزين
l10n_eg_activity_type_5221,5221,Service activities related to road transport,انشطة الخدمات المتصلة بالنقل البرى
l10n_eg_activity_type_5222,5222,Emergency service activities related to maritime transport,انشطة الخدمات الطارئة المتصلة بالنقل البحرى
l10n_eg_activity_type_5223,5223,Emergency service activities related to air transport,انشطة الخدمات الطارئة المتصلة بالنقل الجوى
l10n_eg_activity_type_5224,5224,Cargo handling,مناولة البضائع
l10n_eg_activity_type_5229,5229,Other activities in support of the transfer,الانشطة الاخرى الداعمة للنقل
l10n_eg_activity_type_5310,5310,Mail activities,انشطة البريد
l10n_eg_activity_type_5320,5320,Parcel delivery activities,انشطة تسليم الطرود
l10n_eg_activity_type_5510,5510,Short-term placement activities (rental - housing,انشطة التسكين قصيرة المدة
l10n_eg_activity_type_5520,5520,"Campgrounds, parking lots, and locomotives",اراضى المخيمات ومواقف مركبات التنزهة والقاطرات
l10n_eg_activity_type_5590,5590,Other types of placement,انواع التسكين الاخرى
l10n_eg_activity_type_5610,5610,Restaurant service and food delivery activities by mobile means,انشطة خدمات المطاعم وتوصيل الطعام بالوسائل المتحركة
l10n_eg_activity_type_5621,5621,Event catering,تقديم الطعام بالمناسبات
l10n_eg_activity_type_5629,5629,Other catering services activities,انشطة خدمات تقديم الطعام الاخرى
l10n_eg_activity_type_5630,5630,Light beverage service activities,انشطة خدمات تقديم المشروبات الخفيفة
l10n_eg_activity_type_5811,5811,Publishing books,نشر الكتب
l10n_eg_activity_type_5812,5812,Publish the directory and address lists,نشر الدليل وقوائم العناوين
l10n_eg_activity_type_5813,5813,"Publishing newspapers, magazines and periodicals",نشر الصحف والمجلات والدوريات
l10n_eg_activity_type_5819,5819,Other publishing activities,انشطة النشر الاخرى
l10n_eg_activity_type_5820,5820,Computer Software Publishing,نشر برامج الحاسب الالى
l10n_eg_activity_type_5911,5911,"Film, video and television program production activities",انشطة انتاج الافلام السينمائية والفيديو وبرامج التليفزيون
l10n_eg_activity_type_5912,5912,"Subsequent activities for the production of movies, videos and television programs",الانشطة الاحقة لانتاج الافلام السينمائية والفيديو وبرامج التليفزيون
l10n_eg_activity_type_5913,5913,"Motion picture, video and television program distribution activities",انشطة توزيع الافلام السينمائية والفيديو وبرامج التليفزيون
l10n_eg_activity_type_5914,5914,Film screening activities,انشطة عرض الافلام السينمائية
l10n_eg_activity_type_5920,5920,Production and publishing of sound and music recordings,انشطة انتاج ونشر التسجيلات الصوتية والموسيقية
l10n_eg_activity_type_6010,6010,Broadcasting over radio stations,البث عبر محطات الراديو
l10n_eg_activity_type_6020,6020,Television program preparation and broadcast activities,انشطة اعداد برامج التليفزيون وبثها
l10n_eg_activity_type_6110,6110,Wired telecommunications activities,انشطة الاتصالات السلكية
l10n_eg_activity_type_6120,6120,Wireless communication activities,انشطة الاتصالات اللاسلكية
l10n_eg_activity_type_6130,6130,Satellite communication activities,انشطة الاتصالات عبر الاقمار الصناعية
l10n_eg_activity_type_6190,6190,Other telecommunications activities,انشطة الاتصالات السلكية و اللاسلكية الاخرى
l10n_eg_activity_type_6201,6201,Computer program preparation activities,انشطة اعداد برامج الحاسب الالى
l10n_eg_activity_type_6202,6202,Computer consultancy experience and facilities management activities related to computer fields,الخبرة الاستشارية فى مجال الحاسب الالى وانشطة ادارة التسهيلات المتصلة بمجالات الحاسب الالى
l10n_eg_activity_type_6209,6209,Other activities related to information technology and computer services,الانشطة الاخرى المتصلة بتكنولوجيا المعلومات وخدمات الحاسب الالى
l10n_eg_activity_type_6311,6311,"Data processing, hosting and related activities",معالجة البيانات والاستضافة والانشطة المتصلة بذلك
l10n_eg_activity_type_6312,6312,Electronic portals,البوابات الاليكترونية
l10n_eg_activity_type_6391,6391,Activities of press agencies,انشطة الوكالات الصحفية
l10n_eg_activity_type_6399,6399,Other activities for information services that are not classified in other locations,الانشطة الاخرى لخدمات تقديم المعلومات غير المصنفة فى مواقع اخرى
l10n_eg_activity_type_6411,6411,Central banks,المصارف المركزية
l10n_eg_activity_type_6419,6419,Other financial intermediaries,الوساطات المالية الاخرى
l10n_eg_activity_type_6420,6420,Activities of holding companies,انشطة الشركات القابضة
l10n_eg_activity_type_6430,6430,"Credit activities, provision of credits, and similar financial entities",انشطةالائتمان وتوفير الاعتمادات والكيانات المالية المشابهة
l10n_eg_activity_type_6491,6491,Financial leasing,التاجير المالى
l10n_eg_activity_type_6492,6492,Other forms of loans granted,اشكال القروض الممنوحة الاخرى
l10n_eg_activity_type_6499,6499,"Other financial services activities, with the exception of insurance and credit provision activities for pensions not classified in other locations","انشطة الخدمات المالية الاخرى , باستثناء التامين وانشطة توفير الاعتمادات للمعاشات التقاعدية غير المصنفة فى مواقع اخرى"
l10n_eg_activity_type_6511,6511,life insurance,التامين على الحياة
l10n_eg_activity_type_6512,6512,Non-life insurance,التامين على غير الحياة
l10n_eg_activity_type_6520,6520,re Insurance,اعادة التامين
l10n_eg_activity_type_6530,6530,Providing credits for pensions,توفير الاعتمادات للمعاشات التقاعدية
l10n_eg_activity_type_6611,6611,Financial markets management,ادارة الاسواق المالية
l10n_eg_activity_type_6612,6612,Security and commodity contracts brokerage,الامن وسمسرة عقود السلع
l10n_eg_activity_type_6619,6619,Auxiliary activities for financial services,الانشطة المساعدة للخدمات المالية
l10n_eg_activity_type_6621,6621,Risk and damage assessment,تقدير المخاطر والتلفيات
l10n_eg_activity_type_6622,6622,Activities of insurance and brokerage agents,انشطة وكلاء التامين والسمسرة
l10n_eg_activity_type_6629,6629,Other activities auxiliary to insurance and provision for pensions,الانشطة الاخرى المساعدة للتامين وتوفير الاعتمادات للمعاشات التقاعدية
l10n_eg_activity_type_6630,6630,Financial credit management activities,انشطة ادارة الاعتمادات المالية
l10n_eg_activity_type_6810,6810,Real estate activities with own or leased property,الانشطة العقارية فى الممتلكات المملوكة او المؤجرة
l10n_eg_activity_type_6820,6820,Real estate activities on the basis of a contract or a fee,الانشطة العقارية على اساس عقد او نظير رسم
l10n_eg_activity_type_6910,6910,Legal activities,الانشطة القانونية
l10n_eg_activity_type_6920,6920,"Accounting, auditing, bookkeeping and tax advice activities",الانشطة المحاسبية والمراجعة ومسك الدفاتر والاستشارات الضرائبية
l10n_eg_activity_type_7010,7010,The main office activities,انشطة المكاتب الرئيسية
l10n_eg_activity_type_7020,7020,Management consultancy activities,الانشطة الاستشارية الخاصة بالادارة
l10n_eg_activity_type_7110,7110,Architectural and engineering activities and related technical consulting,الانشطة المعمارية والهندسية و الاستشارات الفنية المتصلة بذلك
l10n_eg_activity_type_7120,7120,Technical tests and analyzes,الاختبارات والتحليلات الفنية
l10n_eg_activity_type_7210,7210,Research and experimental development in the field of natural and engineering sciences,البحث والتطوير التجريبى فى مجال العلوم الطبيعية والهندسية
l10n_eg_activity_type_7220,7220,Experimental research and development in the field of social and human sciences,البحث والتطوير التجريبى فى مجال العلوم الاجتماعية والانسانية
l10n_eg_activity_type_7310,7310,Advertising,الاعلان
l10n_eg_activity_type_7320,7320,Market studies and public opinion polls,دراسات السوق واستطلاعات الراى العام
l10n_eg_activity_type_7410,7410,Specialized design activities,انشطة التصميمات المتخصصة
l10n_eg_activity_type_7420,7420,Photographic activities,الانشطة الفوتوغرافية
l10n_eg_activity_type_7490,7490,"Other specialized, scientific and artistic activities not classified elsewhere",الانشطة الاخرى التخصصية والعلمية والفنية غير المصنفة فى مواضع اخرى
l10n_eg_activity_type_7500,7500,Veterinary activities,الانشطة البيطرية
l10n_eg_activity_type_7710,7710,Renting motor vehicles,تاجيرواستئجار المركبات ذات المحركات
l10n_eg_activity_type_7721,7721,Renting and renting sports and leisure products and tools,تاجير واستئجار منتجات والادوات الرياضية والترفيهية
l10n_eg_activity_type_7722,7722,Rental of video tapes and CDs,تاجير شرائط واسطوانات الفيديو
l10n_eg_activity_type_7729,7729,Renting and renting other personal and household products,تاجيرواستئجار المنتجات الشخصية والمنزلية الاخرى
l10n_eg_activity_type_7730,7730,Renting and leasing of other physical devices and equipment,تاجير واستئجار الاجهزة والمعدات المادية الاخرى
l10n_eg_activity_type_7740,7740,"Rent forms of intellectual property and similar products, except for copyright works",استئجار اشكال الملكية الفكرية والمنتجات المشابهة باستثناء اعمال حقوق المؤلف
l10n_eg_activity_type_7810,7810,Activities of recruitment and appointment agencies,انشطة وكالات التوظيف والتعيين
l10n_eg_activity_type_7820,7820,Activities of temporary employment agencies,انشطة وكالات التوظيف المؤقت
l10n_eg_activity_type_7830,7830,Providing other human resources,توفير المصادر البشرية الاخرى
l10n_eg_activity_type_7911,7911,Tourism agency services,خدمات وكالات السياحة
l10n_eg_activity_type_7912,7912,Activities of tour guides,انشطة المرشدين السياحيين
l10n_eg_activity_type_7990,7990,Other types of reservations and related activities,انواع الحجوزات الاخرى والانشط المتصلة بذلك
l10n_eg_activity_type_8010,8010,Private security activities,انشطة الامن الخاص
l10n_eg_activity_type_8020,8020,Security systems services activities,انشطة خدمات انظمة الامن
l10n_eg_activity_type_8030,8030,Investigation activities,انشطة التحرى
l10n_eg_activity_type_8110,8110,Support activities for joint facilities,انشطة دعم التسهيلات المشتركة
l10n_eg_activity_type_8121,8121,General cleaning of buildings,النظافة العامة للمبانى
l10n_eg_activity_type_8129,8129,Building cleaning activities and other industrial facilities,انشطة تنظيف المبانى والمنشات الصناعية الاخرى
l10n_eg_activity_type_8130,8130,Gardening services and maintenance activities,انشطة خدمات رعاية وصيانة الحدائق
l10n_eg_activity_type_8211,8211,Joint office support services activities,انشطة خدمات الدعم المكتبية المشتركة
l10n_eg_activity_type_8219,8219,"Photocopying, document processing and other specialized office support services activities",النسخ وتجهيز المستندات وانشطة خدمات الدعم المكتبية المتخصصة الاخرى
l10n_eg_activity_type_8220,8220,Information center services,خدمات مراكز الاستعلامات
l10n_eg_activity_type_8230,8230,Organizing trade conferences and exhibitions,تنظيم المؤتمرات والمعارض التجارية
l10n_eg_activity_type_8291,8291,Activities of collection agencies and lending offices,انشطة وكالات التحصيل ومكاتب الاقراض
l10n_eg_activity_type_8292,8292,Packaging activities,انشطة التغليف
l10n_eg_activity_type_8299,8299,Other support services activities that are not classified in other locations,انشطة خدمات الدعم الاخرى الخاصة بالاعمال التجارية غير المصنفة فى مواضع اخرى
l10n_eg_activity_type_8411,8411,Public administration activities,انشطة الادارات العامة
l10n_eg_activity_type_8412,8412,"Organizing activities to provide health care, education, educational services and other social services, with the exception of social security",تنظيم انشطة تقديم العناية الصحية والتعليم والخدمات التثقيفية والخدمات الاجتماعية الاخرى باستثناء الضمان الاجتماعى
l10n_eg_activity_type_8413,8413,Organize and contribute to effective business operations,تنظيم والمساهمة فى عمليات الاعمال التجارية الفعالة
l10n_eg_activity_type_8421,8421,Foreign affairs,الشئون الخارجية
l10n_eg_activity_type_8422,8422,Defense activities,انشطة الدفاع
l10n_eg_activity_type_8423,8423,Security and public order activities,انشطة الامن والنظام العام
l10n_eg_activity_type_8430,8430,Compulsory social insurance activities,انشطة التامين الاجتماعى الاجبارى
l10n_eg_activity_type_8510,8510,Primary and pre-primary education,التعليم الابتدائى وقبل الابتدائى
l10n_eg_activity_type_8521,8521,General secondary education,التعليم الثانوى العام
l10n_eg_activity_type_8522,8522,Technical and vocational secondary education,التعليم الثانوى الفنى والهنى
l10n_eg_activity_type_8530,8530,Higher Education,التعليم العالى
l10n_eg_activity_type_8541,8541,Sports and rehabilitation education,التعليم الرياضى والتاهيلى
l10n_eg_activity_type_8542,8542,Cultural education,التعليم الثقافى
l10n_eg_activity_type_8549,8549,Other types of education not classified elsewhere,انواع التعليم الاخرى غير المصنفة فى مواضع اخرى
l10n_eg_activity_type_8550,8550,Activities in support of education,الانشطة الداعمة للتعليم
l10n_eg_activity_type_8610,8610,Hospital activities,انشطة المستشفيات
l10n_eg_activity_type_8620,8620,Activities related to medicine and dentistry,الانشطة المتصلة بالطب وطب الاسنان
l10n_eg_activity_type_8690,8690,Other activities related to human health,الانشطة الاخرى المتصلة بصحة الانسان
l10n_eg_activity_type_8710,8710,Nursing facilities for sanatoriums,تسهيلات العناية بالتمريض بالمصحات
l10n_eg_activity_type_8720,8720,"Nursing care facilities for special needs clinics, mental illnesses and physical abuse",تسهيلات العناية بالتمريض بالمصحات الخاصة بذوى الاحتياجات الخاصة والامراض العقلية والانتهاكات البدنية
l10n_eg_activity_type_8730,8730,Spa facilities for the elderly and disabled,تسهيلات العناية بالمصحات الخاصة بالعجائز والمقعدين
l10n_eg_activity_type_8790,8790,Other spa care facilities,تسهيلات العناية الاخرى بالمصحات
l10n_eg_activity_type_8810,8810,Social work activities for the infirm and disabled that take place without accommodation,انشطة الاعمال الاجتماعية للعجزة والمقعدين التى تتم بدون اقامة
l10n_eg_activity_type_8890,8890,Other social business activities that take place without residence,انشطة الاعمال الاجتماعية الاخرى التى تتم بدون اقامة
l10n_eg_activity_type_9000,9000,Creative and recreational art activities,انشطة الفن الابداعى والترفية
l10n_eg_activity_type_9101,9101,Library and archive activities,انشطة المكتبات والارشيف
l10n_eg_activity_type_9102,9102,Museum activities and restoration of historic sites and buildings,انشطة المتاحف وعمليات ترميم المواقع والمبانى التاريخية
l10n_eg_activity_type_9103,9103,Botanical and zoological gardens and natural wildlife activities,حدائق النباتات والحيوانات وانشطة الحياة البرية الطبيعية
l10n_eg_activity_type_9200,9200,Betting activities and gambling,انشطة المراهنات والعاب القمار
l10n_eg_activity_type_9311,9311,Providing sports facilities,توفير التسهيلات الرياضية
l10n_eg_activity_type_9312,9312,Sports club activities,انشطة النوادى الرياضية
l10n_eg_activity_type_9319,9319,Other sports activities,الانشطة الرياضية الاخرى
l10n_eg_activity_type_9321,9321,Recreational activities and performances in parks,الانشطة الترفيهية والعروض التى تتم بالمتنزهات
l10n_eg_activity_type_9329,9329,Other leisure and entertainment activities not classified elsewhere,الانشطة الترفيهية والمسلية الاخرى غير المصنفة فى مواضع اخرى
l10n_eg_activity_type_9411,9411,"The activities of commercial enterprises, employers and professional membership organizations",انشطة المؤسسات التجارية وارباب العمل ومنظمات العضوية المهنية
l10n_eg_activity_type_9412,9412,Activities of professional membership organizations,انشطة منظمات العضوية المهنية
l10n_eg_activity_type_9420,9420,Trade union activities,انشطة النقابات التجارية
l10n_eg_activity_type_9491,9491,Activities of religious organizations,انشطة المنظمات الدينية
l10n_eg_activity_type_9492,9492,Activities of political organizations,انشطة المنظمات السياسية
l10n_eg_activity_type_9499,9499,Activities of other membership organizations not classified elsewhere,انشطة المنظمات الاخرى ذات العضوية غير المصنفة فى مواضع اخرى
l10n_eg_activity_type_9511,9511,Computer repair and accessories,اصلاح الحاسبات الالية ومستلزماتها
l10n_eg_activity_type_9512,9512,Communication equipment repair,اصلاح اجهزة الاتصالات
l10n_eg_activity_type_9521,9521,Electronic devices repair,اصلاح الاجهزة الاليكترونية
l10n_eg_activity_type_9522,9522,"Repair of tools, household appliances, and garden care equipment",اصلاح الادوات والاجهزة المنزلية ومعدات العناية بالحدائق
l10n_eg_activity_type_9523,9523,Shoe and leather products repair,اصلاح الاحذية والمنتجات الجلدية
l10n_eg_activity_type_9524,9524,Repair of furniture and household items,اصلاح الاثاث والمستلزمات المنزلية
l10n_eg_activity_type_9529,9529,Repair of other household and personal products,اصلاح المنتجات المنزلية والشخصية الاخرى
l10n_eg_activity_type_9601,9601,Wash and clean textile and fur products,غسيل المنسوجات والمنتجات الفرائية وتنظيفها تنظيفا جافا
l10n_eg_activity_type_9602,9602,Hair styling and other cosmetics,تصفيف الشعر وانواع التجميل الاخرى
l10n_eg_activity_type_9603,9603,Funeral and related activities,انشطة الجنائز وما يتصل بها
l10n_eg_activity_type_9609,9609,Other personal services activities not classified elsewhere,انشطة الخدمات الشخصية الاخرى غير المصنفة فى مواضع اخرى
l10n_eg_activity_type_9700,9700,Home employment activities,انشطة توظيف العمالة المنزلية
l10n_eg_activity_type_9810,9810,Activities of producing unearthed products and services for home appliances for personal use,انشطة انتاج المنتجات والخدمات غير المتميزة الخاصة بالاجهزة المنزلية للاستخدام الشخصى
l10n_eg_activity_type_9820,9820,Activities of producing unearthed products and services for home appliances for personal use,انشطة انتاج المنتجات والخدمات غير المتميزة الخاصة بالاجهزة المنزلية للاستخدام الشخصى
l10n_eg_activity_type_9900,9900,Activities of non-regional organizations and bodies,انشطة المنظمات والهيئات غير الاقليمية
