"id","sequence","name","amount","amount_type","type_tax_use","tax_group_id","active","children_tax_ids","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","description","invoice_label","name@es","description@es","price_include_override","fiscal_position_ids","original_tax_ids","repartition_line_ids/tag_ids"
"l10n_co_tax_55","1","15% RteVAT 5%","-0.75","percent","sale","tax_group_r_iva_075","","","base","invoice","","RteVAT 15% over 5% VAT Sales","-0.75%","15% RteIVA 5%","RteIVA 15% sobre el 5% IVA Ventas","tax_excluded","","","RTEIVA_SALE_BASE"
"","","","","","","","","","tax","invoice","co_puc_135517","","","","","","","","RTEIVA_SALE"
"","","","","","","","","","base","refund","","","","","","","","","RTEIVA_SALE_BASE"
"","","","","","","","","","tax","refund","co_puc_135517","","","","","","","","RTEIVA_SALE"
"l10n_co_tax_56","1","15% RteVAT 19%","-2.85","percent","sale","tax_group_r_iva_285","","","base","invoice","","RteVAT 15% over 19% VAT Sales","-2.85%","15%  RteIVA 19%","RteIVA 15% sobre el 19% IVA Ventas","tax_excluded","","","RTEIVA_SALE_BASE"
"","","","","","","","","","tax","invoice","co_puc_135517","","","","","","","","RTEIVA_SALE"
"","","","","","","","","","base","refund","","","","","","","","","RTEIVA_SALE_BASE"
"","","","","","","","","","tax","refund","co_puc_135517","","","","","","","","RTEIVA_SALE"
"l10n_co_tax_57","1","0.414% RteICA","-0.414","percent","sale","tax_group_r_ica_0414","","","base","invoice","","RteICA -0.414% Sales","-0.414%","0.414% RteICA","RteICA -0.414% Ventas","tax_excluded","","","RTEICA_SALE_BASE"
"","","","","","","","","","tax","invoice","co_puc_135518","","","","","","","","RTEICA_SALE"
"","","","","","","","","","base","refund","","","","","","","","","RTEICA_SALE_BASE"
"","","","","","","","","","tax","refund","co_puc_135518","","","","","","","","RTEICA_SALE"
"l10n_co_tax_58","1","0.966% RteICA","-0.966","percent","sale","tax_group_r_ica_0966","","","base","invoice","","RteICA -0.966% Sales","-0.966%","0.966% RteICA","RteICA -0.966% Ventas","tax_excluded","","","RTEICA_SALE_BASE"
"","","","","","","","","","tax","invoice","co_puc_135518","","","","","","","","RTEICA_SALE"
"","","","","","","","","","base","refund","","","","","","","","","RTEICA_SALE_BASE"
"","","","","","","","","","tax","refund","co_puc_135518","","","","","","","","RTEICA_SALE"
"l10n_co_tax_covered_goods","1","0% C A","0.0","percent","sale","tax_group_covered_goods","","","base","invoice","","Covered Assets","0%","0% BC","Bienes Cubiertos","","","",""
"","","","","","","","","","tax","invoice","","","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","","","","","","","","",""
"l10n_co_tax_59","1","4% INC","4","percent","sale","tax_group_inc_4","","","base","invoice","","National Consumption Tax 4%","4% INC","4% INC","Impuesto Nacional al Consumo 4%","","","","INC_SALE_BASE"
"","","","","","","","","","tax","invoice","co_puc_240825","","","","","","","","INC_SALE"
"","","","","","","","","","base","refund","","","","","","","","","INC_SALE_BASE"
"","","","","","","","","","tax","refund","co_puc_240825","","","","","","","","INC_SALE"
"l10n_co_tax_60","1","8% INC","8","percent","sale","tax_group_inc_8","","","base","invoice","","National Consumption Tax 8%","8% INC","8% INC","Impuesto Nacional al Consumo 8%","","","","INC_SALE_BASE"
"","","","","","","","","","tax","invoice","co_puc_240825","","","","","","","","INC_SALE"
"","","","","","","","","","base","refund","","","","","","","","","INC_SALE_BASE"
"","","","","","","","","","tax","refund","co_puc_240825","","","","","","","","INC_SALE"
"l10n_co_tax_61","1","16% INC","16","percent","sale","tax_group_inc_16","","","base","invoice","","National Consumption Tax 16%","16% INC","16% INC","Impuesto Nacional al Consumo 16%","","","","INC_SALE_BASE"
"","","","","","","","","","tax","invoice","co_puc_240825","","","","","","","","INC_SALE"
"","","","","","","","","","base","refund","","","","","","","","","INC_SALE_BASE"
"","","","","","","","","","tax","refund","co_puc_240825","","","","","","","","INC_SALE"
