id,name,name@es,code_prefix_start,code_prefix_end
l10n_co_group_8335,Capitalization from Equity Revaluation,Capitalización por revalorización de patrimonio,8335,8335
l10n_co_group_8395,Other Control Debit Accounts,Otras cuentas deudoras de control,8395,8395
l10n_co_group_8399,Inflation Adjustments for Assets,Ajustes por inflación activos,8399,8399
l10n_co_group_84,Contra Contingent Rights (CR),Derechos contingentes por contra (CR),84,84
l10n_co_group_85,Contra Fiscal Debits (CR),Deudoras fiscales por contra (CR),85,85
l10n_co_group_86,Contra Control Debits (CR),Deudoras de control por contra (CR),86,86
l10n_co_group_9,Memorandum Accounts (Credit),Cuentas de orden acreedoras,9,9
l10n_co_group_91,Contingent Liabilities,Responsabilidades contingentes,91,91
l10n_co_group_9105,Goods and Securities Received in Custody,Bienes y valores recibidos en custodia,9105,9105
l10n_co_group_9110,Goods and Securities Received as Collateral,Bienes y valores recibidos en garantía,9110,9110
l10n_co_group_9115,Goods and Securities Received from Third Parties,Bienes y valores recibidos de terceros,9115,9115
l10n_co_group_9120,Litigation and/or Lawsuits,Litigios y/o demandas,9120,9120
l10n_co_group_9125,Purchase and Sale Agreements,Promesas de compraventa,9125,9125
l10n_co_group_9130,Delegated Administration Contracts,Contratos de administración delegada,9130,9130
l10n_co_group_9135,Joint Venture Accounts,Cuentas en participación,9135,9135
l10n_co_group_9195,Other Contingent Liabilities,Otras responsabilidades contingentes,9195,9195
l10n_co_group_92,Fiscal Credits,Acreedoras fiscales,92,92
l10n_co_group_93,Control Credits,Acreedoras de control,93,93
l10n_co_group_9305,Financial Lease Contracts,Contratos de arrendamiento financiero,9305,9305
l10n_co_group_9395,Other Control Credit Memorandum Accounts,Otras cuentas de orden acreedoras de control,9395,9395
l10n_co_group_9399,Equity Inflation Adjustments,Ajustes por inflación patrimonio,9399,9399
l10n_co_group_94,Contra Contingent Liabilities (DR),Responsabilidades contingentes por contra (DB),94,94
l10n_co_group_95,Contra Fiscal Credits (DR),Acreedoras fiscales por contra (DB),95,95
l10n_co_group_96,Contra Control Credits (DR),Acreedoras de control por contra (DB),96,96
