id,code,description,depreciation_min,depreciation_max
l10n_ro_saft_2_1_14_4,2.1.14.4,"Machines, equipment and installations for packaging food products. Machines, equipment and installations for the production of canned vegetables and meats. Machines, equipment and common installations for the food industry.",8,12
l10n_ro_saft_2_1_14_5,2.1.14.5,"Machines, machines and installations for milling.",13,21
l10n_ro_saft_2_1_14_6,2.1.14.6,"Machines, equipment and installations for the production of sugar.",14,22
l10n_ro_saft_2_1_14_7,2.1.14.7,"Machines, equipment and installations for the production of sugar products. Machines, equipment and installations for the production of wine. Machines, equipment and installations for the production of beer. Machines, equipment and installations for processing tobacco and tobacco products.",12,18
l10n_ro_saft_2_1_14_8,2.1.14.8,Household inventory from the food industry.,6,10
l10n_ro_saft_2_1_14_9,2.1.14.9,"Other machines, equipment and installations not included in class 2.1.14.",9,15
l10n_ro_saft_2_1_15,2.1.15,"Machines, equipment and installations for the printing industry",8,14
l10n_ro_saft_2_1_16_1,2.1.16.1,"Generating machines, except for:",22,34
l10n_ro_saft_2_1_16_1_1,2.1.16.1.1,"- coal dust preparation installations, feed water treatment installations, slag and ash capture and evacuation installations;",16,24
l10n_ro_saft_2_1_16_1_2_1,2.1.16.1.2.1,"- direct current, alternating current generators; frequency generators",12,18
l10n_ro_saft_2_1_16_1_2_2,2.1.16.1.2.2,- stationary generating sets,9,15
l10n_ro_saft_2_1_16_1_2_3,2.1.16.1.2.3,"- mobile generator sets, mobile welding groups",6,10
l10n_ro_saft_2_1_16_2_1,2.1.16.2.1,- direct current and alternating current electric motors;,12,18
l10n_ro_saft_2_1_16_2_2,2.1.16.2.2,"- steam turbines, gas turbines;",12,22
l10n_ro_saft_2_1_16_2_3,2.1.16.2.3,- hydraulic turbines;,12,22
l10n_ro_saft_2_1_16_2_4,2.1.16.2.4,"- internal combustion, piston, stable engines;",6,10
l10n_ro_saft_2_1_16_2_5,2.1.16.2.5,- wind engines,16,24
l10n_ro_saft_2_1_16_3_1,2.1.16.3.1,"- transformers and autotransformers, except for:",16,24
l10n_ro_saft_2_1_16_3_1_1,2.1.16.3.1.1,- welding transformers and autotransformers.,8,12
l10n_ro_saft_2_1_16_3_1_2,2.1.16.3.1.2,- portable electric welding machines.,4,6
l10n_ro_saft_2_1_16_3_2,2.1.16.3.2,"- rectification installations; - converter installations, except for:",12,18
l10n_ro_saft_2_1_16_3_2_1,2.1.16.3.2.1,- mobile startup robots,4,8
l10n_ro_saft_2_1_16_3_3,2.1.16.3.3,- accumulator batteries; reactive power compensation installations;,8,12
l10n_ro_saft_2_1_16_3_4,2.1.16.3.4,"- accumulator batteries for telecommunications,",5,9
l10n_ro_saft_2_1_16_4_1,2.1.16.4.1,"- piston compressors, stable.",8,12
l10n_ro_saft_2_1_16_4_2,2.1.16.4.2,"- piston compressors, mobile.",4,8
l10n_ro_saft_2_1_16_4_3,2.1.16.4.3,"- rotary compressors, helical, with rotary pistons, rotary with liquid ring and centrifugal, stable.",9,15
l10n_ro_saft_2_1_16_4_4,2.1.16.4.4,"- rotary compressors, helical, with rotary pistons, rotary with liquid ring and centrifugal, mobile.",4,8
l10n_ro_saft_2_1_16_4_5,2.1.16.4.5,- vacuum pumps.,8,12
l10n_ro_saft_2_1_16_5,2.1.16.5,"Apparatus for electrical stations and transformer stations. Equipment for thermal, electric and nuclear plants.",8,12
l10n_ro_saft_2_1_16_6,2.1.16.6,"Other machines, equipment and installations not found in class 12.1.16.",12,18
l10n_ro_saft_2_1_17_1_1,2.1.17.1.1,"- centrifugal pumps, except for:",8,12
l10n_ro_saft_2_1_17_1_1_1,2.1.17.1.1.1,- for slightly corrosive liquids;,5,9
l10n_ro_saft_2_1_17_1_1_2,2.1.17.1.1.2,- for liquids with corrosive or abrasive action,4,6
l10n_ro_saft_2_1_17_1_1_3,2.1.17.1.1.3,- for crude oil.,3,5
l10n_ro_saft_2_1_17_1_2,2.1.17.1.2,- axial pumps; - injection pumps; - gear pumps; - apparatus and devices for transporting liquids.,8,12
l10n_ro_saft_2_1_17_1_3_1,2.1.17.1.3.1,- for non-corrosive liquids;,6,10
l10n_ro_saft_2_1_17_1_3_2,2.1.17.1.3.2,- for liquids with abrasive and corrosive action;,4,8
l10n_ro_saft_2_1_17_1_3_3,2.1.17.1.3.3,- for crude oil extraction.,2,4
l10n_ro_saft_2_1_17_1_4,2.1.17.1.4,"- piston pumps, membrane pumps and helical pumps, except for:",6,10
l10n_ro_saft_2_1_17_1_4_1,2.1.17.1.4.1,- depth pumps with progressive cavities for oil extraction.,2,4
l10n_ro_saft_2_1_17_2,2.1.17.2,"Common machines and equipment for the mechanical processing of soils, ores and other raw materials; Crushers, crushers and disintegrators; Sieves and sieves; Other machines and equipment (drying wheels, separation grates, folders); Balancing machines; Die, except for:",6,10
l10n_ro_saft_2_1_17_2_1,2.1.17.2.1,- mills in the cement industry.,12,18
l10n_ro_saft_2_1_17_3,2.1.17.3,"Fans, air heaters and wall or floor heating micro-centrals, except for:",6,10
l10n_ro_saft_2_1_17_3_1,2.1.17.3.1,- air conditioners.,4,6
l10n_ro_saft_2_1_17_4_a,2.1.17.4.a,a) neutral or slightly corrosive environment;,16,24
l10n_ro_saft_2_1_17_4_b,2.1.17.4.b,b) strongly corrosive environment.,9,15
l10n_ro_saft_2_1_17_5_a,2.1.17.5_a,a) neutral or slightly corrosive environment;,12,18
l10n_ro_saft_2_1_17_5_b,2.1.17.5_b,b) strongly corrosive environment;,8,12
l10n_ro_saft_2_1_17_6,2.1.17.6,Machines and installations for the cold industry.,9,15
l10n_ro_saft_2_1_17_7,2.1.17.7,"Other machines, equipment and installations not found in class 2.1.17.",8,12
l10n_ro_saft_2_1_18,2.1.18,Equipment specific to the production of graphite electrodes.,12,18
l10n_ro_saft_2_1_19,2.1.19,"Tools, devices, tools and specialized tool kits used in industry.",2,4
l10n_ro_saft_2_1_20_1,2.1.20.1,"Machines and equipment for digging and land preparation. Scrapers, graders, bulldozers, bulldozers, ditch diggers, pit diggers and scarifiers. Excavators under 150 kW, except for:",4,8
l10n_ro_saft_2_1_20_1_1,2.1.20.1.1,- excavators over 150 kW.,6,10
l10n_ro_saft_2_1_20_2,2.1.20.2,"Machines and equipment for foundation works, rock works and for tunnels; Full section drilling rigs; Mechanical rams and pile pullers; Equipment for the execution of works under water and machines for drilling and casting piles, except for:",4,8
l10n_ro_saft_2_1_20_2_1,2.1.20.2.1,- sonnets.,6,10
l10n_ro_saft_2_1_20_2_2,2.1.20.2.2,- pneumatic hammers.,2,4
l10n_ro_saft_2_1_20_2_3,2.1.20.2.3,- shields.,3,5
l10n_ro_saft_2_1_20_3,2.1.20.3,"Machines, equipment and installations for the preparation, transport and commissioning of concrete and mortar, except for:",6,10
l10n_ro_saft_2_1_20_3_1,2.1.20.3.1,"- concrete mixers and mixers, self-concrete mixers, pumps and concrete self-pumps;",4,8
l10n_ro_saft_2_1_20_3_2,2.1.20.3.2,- concrete plants;,6,10
l10n_ro_saft_2_1_20_3_3,2.1.20.3.3,"- indoor and outdoor vibrators for concrete compaction,",3,5
l10n_ro_saft_2_1_20_4,2.1.20.4,"Machines, equipment and installations for masonry works, plastering, finishing, insulation and installations, except for:",4,8
l10n_ro_saft_2_1_20_4_1,2.1.20.4.1,"- portable mechanical tools (electric, pneumatic, hydraulic);",2,4
l10n_ro_saft_2_1_20_5,2.1.20.5,"Machines, equipment and installations for hydrotechnical works, except for:",12,18
l10n_ro_saft_2_1_20_5_1,2.1.20.5.1,Dear;,12,18
l10n_ro_saft_2_1_20_5_2,2.1.20.5.2,- floating grabs;,9,15
l10n_ro_saft_2_1_20_5_3,2.1.20.5.3,"- elevators,",4,8
l10n_ro_saft_2_1_20_6,2.1.20.6,"Machines, machines and installations for road construction and repair, except for:",6,10
l10n_ro_saft_2_1_20_6_1,2.1.20.6.1,"- trailed and self-propelled vibratory and mixed compactors, asphalt cutting machines, vibrating plates and mechanical breakers.",3,5
l10n_ro_saft_2_1_20_7,2.1.20.7,"Machines, equipment and installations for railway construction and repair, except for:",6,10
l10n_ro_saft_2_1_20_7_1,2.1.20.7.1,- sponge hammers by vibration;,3,5
l10n_ro_saft_2_1_20_7_2,2.1.20.7.2,- washing machines;,5,9
l10n_ro_saft_2_1_20_7_3,2.1.20.7.3,- machinery for straightening and bending itself;,6,10
l10n_ro_saft_2_1_20_7_4,2.1.20.7.4,- machines for mounting and welding the rail;,6,10
l10n_ro_saft_2_1_20_7_5,2.1.20.7.5,"- machines for painting the road, machines for measuring and checking the road and machines for rectifying joints.",6,10
l10n_ro_saft_2_1_20_8,2.1.20.8,Machines for the execution of reinforcements for concrete.,4,8
l10n_ro_saft_2_1_20_9,2.1.20.9,Machines and equipment for works on main pipelines and electrical transmission lines.,4,8
l10n_ro_saft_2_1_20_10,2.1.20.10,"Tools, devices and instruments used in construction.",2,4
l10n_ro_saft_2_1_20_11,2.1.20.11,"Other machines, equipment and installations not found in class 2.1.20.",6,10
l10n_ro_saft_2_1_21_1_1,2.1.21.1.1,"- agricultural tractors; - machines for administering fertilizers, devices and devices for treating crops (sprinkling, dusting).",4,8
l10n_ro_saft_2_1_21_1_2,2.1.21.1.2,"- machines and installations for irrigation; - machines for harvesting, threshing, cleaning, sorting and treating seeds, collecting and baling hay and straw; - machines and equipment for working and cultivating the land, apart from:",8,12
l10n_ro_saft_2_1_21_1_2_1,2.1.21.1.2.1,"- harrows, smoothing and leveling machines;",5,9
l10n_ro_saft_2_1_21_2,2.1.21.2,"Machines, installations and equipment for animal husbandry. Machines, installations and equipment for the preparation of animal feed. Machines, installations and equipment for watering, distributing animal feed and garbage disposal. Machines, installations and equipment for harvesting animal products. Machines, installations and equipment for beekeeping. Machines, installations and equipment for hatcheries and poultry farming. Machines, installations and equipment for veterinary disinfection.",8,12
l10n_ro_saft_2_1_21_3,2.1.21.3,"Machines, installations and equipment for vegetable growing, viticulture and fruit growing.",8,12
l10n_ro_saft_2_1_21_4,2.1.21.4,"Machines, installations and equipment for the production of biogas.",12,20
l10n_ro_saft_2_1_21_5,2.1.21.5,"Tools, devices and instruments used in agriculture.",2,4
l10n_ro_saft_2_1_21_6,2.1.21.6,"Other machines, equipment and installations not included in class 2.1.21.",6,10
l10n_ro_saft_2_1_22_1_1,2.1.22.1.1,"- machines, equipment and installations for the maintenance of lines, locomotives and wagons;",8,12
l10n_ro_saft_2_1_22_1_2,2.1.22.1.2,"- special installations for traffic safety and increasing the operating capacity in stations, triages and CF current lines (installations for controlling the position of the tracks, centralized traffic control installations, automatic line signaling); - telecommunications installations for railways.",16,24
l10n_ro_saft_2_1_22_1_3,2.1.22.1.3,"- machines, equipment and installations used in the commercial system; - equipment for wood impregnation and fireproofing.",11,17
l10n_ro_saft_2_1_22_2,2.1.22.2,"Cars, machines and installations for the maintenance of road transport means.",9,15
l10n_ro_saft_2_1_22_3_1,2.1.22.3.1,"- boats for divers, made of metal;",8,14
l10n_ro_saft_2_1_22_3_2,2.1.22.3.2,- air pumps for divers;,4,6
l10n_ro_saft_2_1_22_3_3,2.1.22.3.3,- maritime and river pontoons; - floating docks; dry docks;,20,30
l10n_ro_saft_2_1_22_3_4,2.1.22.3.4,"- machines, equipment and installations for the maintenance of waterways and lakes; - installations for the maintenance and repair of ships.",16,24
l10n_ro_saft_2_1_22_3_5,2.1.22.3.5,- floating electrical plants; firefighting vessels; floating bedrooms on ships or river barges.,16,24
l10n_ro_saft_2_1_22_4,2.1.22.4,"Machines, equipment and installations for the operation, maintenance, protection and service of aircraft and air traffic.",8,12
l10n_ro_saft_2_1_22_5,2.1.22.5,"Machines, machinery and installations for post, press and telecommunications (telephony, telegraphy), in addition to:",9,15
l10n_ro_saft_2_1_22_5_1,2.1.22.5.1,"- automatic switchboards (telephone and telegraph), office analogue;",12,18
l10n_ro_saft_2_1_22_5_2,2.1.22.5.2,- analogue automatic switchboards (telephone and telegraph) for institutions.,8,12
l10n_ro_saft_2_1_22_5_3,2.1.22.5.3,"- digital telecommunications equipment and related installations (power supply, air conditioning).",5,9
l10n_ro_saft_2_1_22_6,2.1.22.6,"Machines, devices and installations for radio, television and satellite telecommunications, mobile telephony, except for:",5,9
l10n_ro_saft_2_1_22_6_1,2.1.22.6.1,"- emission stations, emitters, translators and exciters, radio relays; - antennas;",9,15
l10n_ro_saft_2_1_22_6_2,2.1.22.6.2,"- radio stations, mobile radio telephones, mobile radio relay frames; - professional broadband traffic receivers; - equipment for satellite telecommunications;",8,12
l10n_ro_saft_2_1_22_6_3,2.1.22.6.3,- feeder transformers for video and audio control monitors; - video and audio control monitors;,4,8
l10n_ro_saft_2_1_22_6_4,2.1.22.6.4,- mobile phone receivers.,2,4
l10n_ro_saft_2_1_22_7,2.1.22.7,"Equipment, machinery and devices for radio and television studios, except for:",4,8
l10n_ro_saft_2_1_22_7_1,2.1.22.7.1,- auxiliary equipment for controlling and monitoring signals.,9,15
l10n_ro_saft_2_1_22_8,2.1.22.8,"Tools, devices and instruments for transport and telecommunications.",3,5
l10n_ro_saft_2_1_22_9,2.1.22.9,"Other machines, equipment and installations not included in class 2.1.22.",8,12
l10n_ro_saft_2_1_23_1,2.1.23.1,Food preparation machines.,5,9
l10n_ro_saft_2_1_23_2,2.1.23.2,"Dishwashers and cutlery. Cupboards for drying and heating crockery and cutlery. Machines, equipment and installations for preserving and selling food preparations and drinks. Self-service lines for public food.",8,12
l10n_ro_saft_2_1_23_3,2.1.23.3,"Food preparation machines and equipment, except for:",6,10
l10n_ro_saft_2_1_23_3_1,2.1.23.3.1,- marmite,5,9
l10n_ro_saft_2_1_23_4,2.1.23.4,"Commercial automatic and semi-automatic machines. Mechanical, electrical, electronic games of chance, pool tables, etc.",5,9
l10n_ro_saft_2_1_23_5,2.1.23.5,"Tools, devices, instruments for the movement of goods, containment and trans-containment.",4,8
l10n_ro_saft_2_1_23_6,2.1.23.6,"Other machines, equipment and installations not included in class 2.1.23.",5,9
l10n_ro_saft_2_1_24_1,2.1.24.1,Machines for washers and dry cleaners.,6,10
l10n_ro_saft_2_1_24_2,2.1.24.2,"Machines, machines and sanitation installations and the care of green spaces.",6,10
l10n_ro_saft_2_1_24_3,2.1.24.3,"Machines, equipment and installations for extinguishing fires, except for:",8,12
l10n_ro_saft_2_1_24_3_1,2.1.24.3.1,- warning and signaling centers.,12,18
l10n_ro_saft_2_1_24_4,2.1.24.4,"Equipment and installations for water supply, for the treatment of supply water and the purification of waste water, except for:",19,29
l10n_ro_saft_2_1_24_4_1,2.1.24.4.1,- chlorination devices.,5,9
l10n_ro_saft_2_1_24_4_2,2.1.24.4.2,- scraper bridges.,24,36
l10n_ro_saft_2_1_24_5,2.1.24.5,"Machines, equipment and installations for the treatment of household waste.",8,12
l10n_ro_saft_2_1_24_6,2.1.24.6,"Containers for storing household waste, except for:",6,10
l10n_ro_saft_2_1_24_6_1,2.1.24.6.1,- ecological ramps.,4,6
l10n_ro_saft_2_1_24_7,2.1.24.7,"Other machines, equipment and installations not included in class 2.1.24.",12,18
l10n_ro_saft_2_1_25_1,2.1.25.1,"Apparatus and instruments for ophthalmology, otorhinolaryngology. Appliances and instruments for dentistry. Devices and installations for physiotherapy. Devices and laboratory installations for medical analyses. Machines, installations and devices for health protection (sterilization, disinfection, disinsection)",8,12
l10n_ro_saft_2_1_25_2,2.1.25.2,"Apparatus and instruments for diagnosis, for surgery, for narcosis and resuscitation, except for:",8,12
l10n_ro_saft_2_1_25_2_1,2.1.25.2.1,- high-tech devices; - devices for measuring blood pressure.,4,8
l10n_ro_saft_2_1_25_3,2.1.25.3,"Devices, instruments, machines and installations for radiology.",9,15
l10n_ro_saft_2_1_25_4,2.1.25.4,"Other machines, equipment and installations not included in class 2.1.25.",8,12
l10n_ro_saft_2_1_26_1,2.1.26.1,"Machines, devices and installations for the production of films and cinematographic projection, except for:",8,12
l10n_ro_saft_2_1_26_1_1,2.1.26.1.1,"- electronic flash lamps, projectors and distribution boxes.",4,8
l10n_ro_saft_2_1_26_2,2.1.26.2,"Machines, machines and photographic installations; equipment for theater stages, clubs and cinemas, except for:",9,15
l10n_ro_saft_2_1_26_2_1,2.1.26.2.1,"- curtains, scenes;",12,18
l10n_ro_saft_2_1_26_2_2,2.1.26.2.2,- removable metal scenes.,6,10
l10n_ro_saft_2_1_26_3,2.1.26.3,"Musical instruments and musical automata, except for:",8,12
l10n_ro_saft_2_1_26_3_1,2.1.26.3.1,- classical organ with electric control.,40,60
l10n_ro_saft_2_1_26_4,2.1.26.4,"Machines, equipment and installations for the production of phonographic discs.",6,10
l10n_ro_saft_2_1_26_5,2.1.26.5,"Machines and equipment for hydrometry. Machines and equipment for barbershops, hairdressing and cosmetics, except for:",9,15
l10n_ro_saft_2_1_26_5_1,2.1.26.5.1,"- barber tools and instruments, cosmetics and hairdressing.",4,8
l10n_ro_saft_2_1_27,2.1.27,Production accessories.,4,8
l10n_ro_saft_2_1_28,2.1.28,"Other technological equipment (machines, machines and work installations) not found in subgroup 2.1.",8,12
l10n_ro_saft_2_2_1_1,2.2.1.1,"Devices, instruments and installations for measuring geometric quantities. Devices and installations for measuring mechanical and acoustic quantities, except for:",8,12
l10n_ro_saft_2_2_1_1_1,2.2.1.1.1,- Roman bascule bridge for vehicles and wagons.,12,18
l10n_ro_saft_2_2_1_1_2,2.2.1.1.2,- weighing and marking devices.,4,6
l10n_ro_saft_2_2_1_1_3,2.2.1.1.3,"- dispensers, flowmeters, meters for liquids and gases.",4,8
l10n_ro_saft_2_2_1_2,2.2.1.2,"Other devices and installations for measuring geometric, mechanical and acoustic quantities not included in class 2.2.1.",8,12
l10n_ro_saft_2_2_2_1,2.2.2.1,Mechanical and electromechanical reference devices and installations for measuring time; chronographs and calculators; signaling clocks; installations for checking timers; frequency standards.,9,15
l10n_ro_saft_2_2_2_2,2.2.2.2,"Measuring bridges, comparators and frequency analyzers; installations for checking frequency meters and devices for measuring frequency deviation, except for:",8,12
l10n_ro_saft_2_2_2_2_1,2.2.2.2.1,- portable devices.,4,6
l10n_ro_saft_2_2_2_3,2.2.2.3,"Other devices and installations for measuring time, frequency and kinematic quantities not included in class 2.2.2.",8,12
l10n_ro_saft_2_2_3_1,2.2.3.1,Waston elements; portable devices.,4,6
l10n_ro_saft_2_2_3_2,2.2.3.2,"Other devices and installations for measuring electrical, electromagnetic and radiometric quantities not included in class 2.2.3.",8,12
l10n_ro_saft_2_2_4_1,2.2.4.1,"Glass and quartz thermometers; bimetallic and manometric; resistance thermometers and thermocouples. Standard temperature, color and luxmeter lamps.",4,6
l10n_ro_saft_2_2_4_2,2.2.4.2,Meters for hot water and thermal energy.,4,8
l10n_ro_saft_2_2_4_3,2.2.4.3,Other devices and installations for measuring thermal and photometric quantities not included in class 2.2.4.,8,12
l10n_ro_saft_2_2_5_1,2.2.5.1,"Hydraulic presses, seismic test platforms, high-power and high-voltage electrical test equipment.",24,36
l10n_ro_saft_2_2_5_2,2.2.5.2,"Other devices and installations for measuring analytical quantities (of materials, structure and composition); devices and installations for testing materials, elements and products not found in class 2.2.5.",8,12
l10n_ro_saft_2_2_6_1,2.2.6.1,Laboratory equipment and accessories made of glass.,4,6
l10n_ro_saft_2_2_6_2,2.2.6.2,Other laboratory equipment and accessories not found in class 2.2.6.,8,12
l10n_ro_saft_2_2_7,2.2.7,Devices and installations for scientific research.,4,6
l10n_ro_saft_2_2_8,2.2.8,"Installations for command and automatic regulation of technological processes, for signaling and telemetry.",8,12
l10n_ro_saft_2_2_9,2.2.9,"Electronic computers and peripheral equipment. Cars and household appliances, control and billing.",2,4
l10n_ro_saft_2_2_10,2.2.10,"Other measuring, control and regulation devices and installations not found in subgroup 2.2.",8,12
l10n_ro_saft_2_3_1_1,2.3.1.1,"Locomotives, locomotives and motor vehicles of normal gauge. Freight and passenger wagons, normal gauge. Locomotives, locomotives and motor vehicles of narrow or wide gauge. Freight and passenger wagons, narrow gauge.",12,18
l10n_ro_saft_2_3_1_2,2.3.1.2,Locomotives and locomotives for mining transport. Narrow gauge wagons for underground mining transport.,6,10
l10n_ro_saft_2_3_1_3,2.3.1.3,Quadricycles and tricycles on the line and wagons of normal or narrow gauge.,12,18
l10n_ro_saft_2_3_1_4,2.3.1.4,Other means of rail transport not found in class 2.3.1.,9,15
l10n_ro_saft_2_3_2_1_1,2.3.2.1.1,"- cars, except for:",4,6
l10n_ro_saft_2_3_2_1_1_1,2.3.2.1.1.1,- taxis;,3,5
l10n_ro_saft_2_3_2_1_2,2.3.2.1.2,- minibuses;,4,8
l10n_ro_saft_2_3_2_1_3,2.3.2.1.3,"- buses, except for:",5,9
l10n_ro_saft_2_3_2_1_3_1,2.3.2.1.3.1,- buses for urban transport;,4,8
l10n_ro_saft_2_3_2_1_4,2.3.2.1.4,- motorcycles and bicycles.,3,5
l10n_ro_saft_2_3_2_2_1,2.3.2.2.1,"- trucks and fixed-platform trucks, vans, vans and vans with a capacity of up to 4.5t exclusively.",4,6
l10n_ro_saft_2_3_2_2_2,2.3.2.2.2,"- trucks, vans and vans with a fixed platform, with a capacity of 4.5 t or more;",4,8
l10n_ro_saft_2_3_2_2_3_a,2.3.2.2.3.a,- trucks with tipping platform and dumpers;,4,6
l10n_ro_saft_2_3_2_2_3_b,2.3.2.2.3.b,- tankers; - autoisotherms and autorefrigerators.,4,6
l10n_ro_saft_2_3_2_2_4,2.3.2.2.4,- tractors and tractors with saddles.,4,8
l10n_ro_saft_2_3_2_2_5,2.3.2.2.5,- tractors on wheels and on tracks.,4,6
l10n_ro_saft_2_3_2_2_6,2.3.2.2.6,"- trailers with fixed or tipping platform and monoaxle trailers. - trailers: tanks, isothermals and refrigerators. - car semi-trailers: platform, van, tanks, isotherms and refrigerators; I carry transcontainers. - car trailers and semi-trailers with a specific destination.",4,6
l10n_ro_saft_2_3_2_2_7,2.3.2.2.7,- trailers with lowered platform for heavy loads (trailers).,5,9
l10n_ro_saft_2_3_2_2_8,2.3.2.2.8,- motorcycles and tricycles for transporting goods.,3,5
l10n_ro_saft_2_3_2_2_9_1,2.3.2.2.9.1,"- auto towers, auto telescopes, auto workshops and auto repair shops,",4,8
l10n_ro_saft_2_3_2_2_9_2,2.3.2.2.9.2,- vehicles for transporting powdery materials; - log winch vehicles.,4,6
l10n_ro_saft_2_3_2_2_9_3,2.3.2.2.9.3,- other special purpose vehicles,5,9
l10n_ro_saft_2_3_2_3,2.3.2.3,Other means of motor transport not found in class 2.3.2.,4,8
l10n_ro_saft_2_3_3_1,2.3.3.1,"Maritime passenger, long-haul and coastal ships. Mixed passenger and cargo ships. Maritime vessels for bulk mass goods (minerals) and for petroleum products (petroleum). Marine tugs of the line for transport. Technical and special maritime vessels. Port marine tugs. Maritime storage vessels; tanks: bunkering, potable and mixed water. Maritime yachts. River ships for the transport of passengers. River ships with propulsion, for the transport of different goods. Barges, mahogany and river barges for dry goods; fluvial winches with metal body, without propulsion, for reeds. Barges, mahogany and fluvial ponds for production and transported across. Leash pontoons, with two metal floats and a wooden platform. Crossing river vessels (crossing river boats, with or without propulsion, for vehicles and passengers; floating river bridges, on cable). Technical and special river vessels; auxiliary and servitude. River ships, yachts and pleasure boats.",16,24
l10n_ro_saft_2_3_3_2,2.3.3.2,"Maritime mahogany, except for:",16,24
l10n_ro_saft_2_3_3_2_1,2.3.3.2.1,- made of wood.,9,15
l10n_ro_saft_2_3_3_3,2.3.3.3,"Maritime fishing vessels, except for:",16,24
l10n_ro_saft_2_3_3_3_1,2.3.3.3.1,- fishing boats with wooden body.,9,15
l10n_ro_saft_2_3_3_3_2,2.3.3.3.2,"- pescadores with metal body. - cutters with a wooden body, for production and transport.",14,22
l10n_ro_saft_2_3_3_4,2.3.3.4,Floating dock.,16,24
l10n_ro_saft_2_3_3_5,2.3.3.5,"Sea lifeboats for travelers. Maritime salvos. River vessels without propulsion for the transport of different goods (barges, barges, floats, barges, tanks). River tugs and pushers with propellers.",14,22
l10n_ro_saft_2_3_3_6,2.3.3.6,Marine pilings.,12,18
l10n_ro_saft_2_3_3_7_1,2.3.3.7.1,- with wooden body.,9,15
l10n_ro_saft_2_3_3_7_2,2.3.3.7.2,- with metal body.,14,22
l10n_ro_saft_2_3_3_8,2.3.3.8,"Pleasure boats (pleasure boats, pleasure canoes, gigs, sandolins and hydro-bicycles). River and fishing boats (mahogany boats, vivier boats, feed boats, barges and buoys).",8,14
l10n_ro_saft_2_3_3_9,2.3.3.9,"Auxiliary river boats for general service and sports, except for:",8,14
l10n_ro_saft_2_3_3_9_1,2.3.3.9.1,- with metal body.,12,18
l10n_ro_saft_2_3_3_10,2.3.3.10,Fishing boats.,6,10
l10n_ro_saft_2_3_3_11,2.3.3.11,Other means of naval transport not found in class 2.3.3.,12,18
l10n_ro_saft_2_3_4_1,2.3.4.1,"Airplanes for passenger, cargo and mixed transport.",14,22
l10n_ro_saft_2_3_4_2,2.3.4.2,"Airplanes for special purpose: the spreading of chemical fertilizers, insectofungicides for agroforestry, sanitary works.",4,8
l10n_ro_saft_2_3_4_3,2.3.4.3,"Helicopters for the transport of passengers, goods or special destination (fertilizer spreading, assembly, etc.).",4,8
l10n_ro_saft_2_3_4_4,2.3.4.4,Other means of air transport not found in class 2.3.4.,8,12
l10n_ro_saft_2_3_5_1,2.3.5.1,Means of electric urban transport on its own.,11,17
l10n_ro_saft_2_3_5_2,2.3.5.2,"Means of electric urban transport, on tires (trolleybuses).",6,10
l10n_ro_saft_2_3_5_3,2.3.5.3,Other specific means for urban passenger transport not found in class 2.3.5.,8,12
l10n_ro_saft_2_3_6_1,2.3.6.1,"Lifting mechanisms (winches, winches, etc.). Various and special cranes, apart from:",6,10
l10n_ro_saft_2_3_6_1_1,2.3.6.1.1,- floating cranes.,16,24
l10n_ro_saft_2_3_6_1_2,2.3.6.1.2,- railway cranes and transcontainer cranes.,12,18
l10n_ro_saft_2_3_6_2,2.3.6.2,"Rotary cranes; overhead cranes with platform and overhead cranes, except for:",9,15
l10n_ro_saft_2_3_6_2_1,2.3.6.2.1,"- stationary, fixed, column rotating cranes, tower cranes with electrical actuation.",8,12
l10n_ro_saft_2_3_6_2_2,2.3.6.2.2,"- mobile cranes on tires and tracks, truck cranes.",6,10
l10n_ro_saft_2_3_6_3_1,2.3.6.3.1,- materials and people for construction works; of goods.,5,9
l10n_ro_saft_2_3_6_3_2,2.3.6.3.2,- of people for buildings.,8,12
l10n_ro_saft_2_3_6_3_3,2.3.6.3.3,- of materials and people for mining works,12,18
l10n_ro_saft_2_3_6_4,2.3.6.4,"Conveyors and pneumatic transport installations, except for:",8,12
l10n_ro_saft_2_3_6_4_1,2.3.6.4.1,"- belt and plate conveyors; with chain (cable), with claws, with rollers, suspended and with traction chains, load-bearing; transportation with buckets and conveyor systems used in industry for processing, assembly and assembly operations.",7,11
l10n_ro_saft_2_3_6_4_2,2.3.6.4.2,- mobile belt conveyors.,5,9
l10n_ro_saft_2_3_6_4_3,2.3.6.4.3,- helical and scraper conveyors.,3,5
l10n_ro_saft_2_3_6_4_4,2.3.6.4.4,- gutters and slides; hydraulic transport installations.,8,14
l10n_ro_saft_2_3_6_5,2.3.6.5,"Elevators, escalators and feeders.",8,12
l10n_ro_saft_2_3_6_6,2.3.6.6,"Loaders, pushers and tippers, except for:",6,10
l10n_ro_saft_2_3_6_6_1,2.3.6.6.1,- front loaders with a bucket.,4,8
l10n_ro_saft_2_3_6_7,2.3.6.7,Turntables for turning locomotives.,16,24
l10n_ro_saft_2_3_6_8,2.3.6.8,"Other machines, installations and equipment to be transported and lifted, not found in class 2.3.6., except for:",8,12
l10n_ro_saft_2_3_6_8_1,2.3.6.8.1,- electric and forklifts.,4,8
l10n_ro_saft_2_3_7,2.3.7,Means of transport with animal traction.,4,6
l10n_ro_saft_2_4_1_1,2.4.1.1,Breeding and working horses. Donkeys and mules.,8,12
