"id","name","description","tax_scope","active","invoice_label","amount","sequence","amount_type","type_tax_use","tax_group_id","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/factor_percent","repartition_line_ids/tag_ids","repartition_line_ids/account_id","name@el","description@el"
"","","","","","","","","","","","","base","refund","","-365||-301","","",""
"","","","","","","","","","","","","tax","refund","","-385","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","refund","-100","+331","l10n_gr_54_02_01","",""
"l10n_gr_tax_p6_S_eu","6% EU S","Intra-community acquisitions of services (VAT 6%)","service","","6%","6.0","1","percent","purchase","l10n_gr_tax_group_6","False","base","invoice","","+365||+302","","","Ενδοκοινοτικές αποκτήσεις αγαθών (ΦΠΑ 6%)"
"","","","","","","","","","","","","tax","invoice","","+385","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","invoice","-100","-332","l10n_gr_54_02_01","",""
"","","","","","","","","","","","","base","refund","","-365||-302","","",""
"","","","","","","","","","","","","tax","refund","","-385","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","refund","-100","+332","l10n_gr_54_02_01","",""
"l10n_gr_tax_p17_S_eu","17% EU S","Intra-community acquisitions of services (VAT 17%)","service","","17%","17.0","1","percent","purchase","l10n_gr_tax_group_17","False","base","invoice","","+365||+306","","","Ενδοκοινοτικές αποκτήσεις αγαθών (ΦΠΑ 17%)"
"","","","","","","","","","","","","tax","invoice","","+385","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","invoice","-100","-336","l10n_gr_54_02_01","",""
"","","","","","","","","","","","","base","refund","","-365||-306","","",""
"","","","","","","","","","","","","tax","refund","","-385","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","refund","-100","+336","l10n_gr_54_02_01","",""
"l10n_gr_tax_p9_S_eu","9% EU S","Intra-community acquisitions of services (VAT 9%)","service","","9%","9.0","1","percent","purchase","l10n_gr_tax_group_9","False","base","invoice","","+365||+304","","","Ενδοκοινοτικές αποκτήσεις αγαθών (ΦΠΑ 9%)"
"","","","","","","","","","","","","tax","invoice","","+385","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","invoice","-100","-334","l10n_gr_54_02_01","",""
"","","","","","","","","","","","","base","refund","","-365||-304","","",""
"","","","","","","","","","","","","tax","refund","","-385","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","refund","-100","+334","l10n_gr_54_02_01","",""
"l10n_gr_tax_p4_S_eu","4% EU S","Intra-community acquisitions of services (VAT 4%)","service","","4%","4.0","1","percent","purchase","l10n_gr_tax_group_4","False","base","invoice","","+365||+305","","","Ενδοκοινοτικές αποκτήσεις αγαθών (ΦΠΑ 4%)"
"","","","","","","","","","","","","tax","invoice","","+385","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","invoice","-100","-335","l10n_gr_54_02_01","",""
"","","","","","","","","","","","","base","refund","","-365||-305","","",""
"","","","","","","","","","","","","tax","refund","","-385","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","refund","-100","+335","l10n_gr_54_02_01","",""
"l10n_gr_tax_p0_S_eu","0% EU S","Intra-community acquisitions of services (VAT 0%)","service","","0%","0.0","1","percent","purchase","l10n_gr_tax_group_0","False","base","invoice","","+365","","","Ενδοκοινοτικές αποκτήσεις αγαθών (ΦΠΑ 0%)"
"","","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","","base","refund","","-365","","",""
"","","","","","","","","","","","","tax","refund","","","","",""
"l10n_gr_tax_p24_O_eu","24% EU Other","Intra-community acquisitions of other than goods and services (VAT 24%)","service","","24%","24.0","1","percent","purchase","l10n_gr_tax_group_24","","base","invoice","","+366||+303","","","Ενδοκοινοτικές αποκτήσεις αγαθών (ΦΠΑ 24%)"
"","","","","","","","","","","","","tax","invoice","","+386","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","invoice","-100","-333","l10n_gr_54_02_01","",""
"","","","","","","","","","","","","base","refund","","-366||-303","","",""
"","","","","","","","","","","","","tax","refund","","-386","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","refund","-100","+333","l10n_gr_54_02_01","",""
"l10n_gr_tax_p13_O_eu","13% EU Other","Intra-community acquisitions of other than goods and services (VAT 13%)","service","","13%","13.0","1","percent","purchase","l10n_gr_tax_group_13","False","base","invoice","","+366||+301","","","Ενδοκοινοτικές αποκτήσεις αγαθών (ΦΠΑ 13%)"
"","","","","","","","","","","","","tax","invoice","","+386","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","invoice","-100","-331","l10n_gr_54_02_01","",""
"","","","","","","","","","","","","base","refund","","-366||-301","","",""
"","","","","","","","","","","","","tax","refund","","-386","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","refund","-100","+331","l10n_gr_54_02_01","",""
"l10n_gr_tax_p6_O_eu","6% EU Other","Intra-community acquisitions of other than goods and services (VAT 6%)","service","","6%","6.0","1","percent","purchase","l10n_gr_tax_group_6","False","base","invoice","","+366||+302","","","Ενδοκοινοτικές αποκτήσεις αγαθών (ΦΠΑ 6%)"
"","","","","","","","","","","","","tax","invoice","","+386","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","invoice","-100","-332","l10n_gr_54_02_01","",""
"","","","","","","","","","","","","base","refund","","-366||-302","","",""
"","","","","","","","","","","","","tax","refund","","-386","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","refund","-100","+332","l10n_gr_54_02_01","",""
"l10n_gr_tax_p17_O_eu","17% EU Other","Intra-community acquisitions of other than goods and services (VAT 17%)","service","","17%","17.0","1","percent","purchase","l10n_gr_tax_group_17","False","base","invoice","","+366||+306","","","Ενδοκοινοτικές αποκτήσεις αγαθών (ΦΠΑ 17%)"
"","","","","","","","","","","","","tax","invoice","","+386","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","invoice","-100","-336","l10n_gr_54_02_01","",""
"","","","","","","","","","","","","base","refund","","-366||-306","","",""
"","","","","","","","","","","","","tax","refund","","-386","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","refund","-100","+336","l10n_gr_54_02_01","",""
"l10n_gr_tax_p9_O_eu","9% EU Other","Intra-community acquisitions of other than goods and services (VAT 9%)","service","","9%","9.0","1","percent","purchase","l10n_gr_tax_group_9","False","base","invoice","","+366||+304","","","Ενδοκοινοτικές αποκτήσεις αγαθών (ΦΠΑ 9%)"
"","","","","","","","","","","","","tax","invoice","","+386","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","invoice","-100","-334","l10n_gr_54_02_01","",""
"","","","","","","","","","","","","base","refund","","-366||-304","","",""
"","","","","","","","","","","","","tax","refund","","-386","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","refund","-100","+334","l10n_gr_54_02_01","",""
"l10n_gr_tax_p4_O_eu","4% EU Other","Intra-community acquisitions of other than goods and services (VAT 4%)","service","","4%","4.0","1","percent","purchase","l10n_gr_tax_group_4","False","base","invoice","","+366||+305","","","Ενδοκοινοτικές αποκτήσεις αγαθών (ΦΠΑ 4%)"
"","","","","","","","","","","","","tax","invoice","","+386","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","invoice","-100","-335","l10n_gr_54_02_01","",""
"","","","","","","","","","","","","base","refund","","-366||-305","","",""
"","","","","","","","","","","","","tax","refund","","-386","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","refund","-100","+335","l10n_gr_54_02_01","",""
"l10n_gr_tax_p0_O_eu","0% EU Other","Intra-community acquisitions of other than goods and services (VAT 0%)","service","","0%","0.0","1","percent","purchase","l10n_gr_tax_group_0","False","base","invoice","","+366","","","Ενδοκοινοτικές αποκτήσεις αγαθών (ΦΠΑ 0%)"
"","","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","","base","refund","","-366","","",""
"","","","","","","","","","","","","tax","refund","","","","",""
