"id","name","description","invoice_label","sequence","type_tax_use","tax_scope","amount","amount_type","active","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","description@de","fiscal_position_ids","original_tax_ids"
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","-KZ 060","chart_at_template_2500","","","",""
"account_tax_template_purchase_10_code060","10% Vst","VST_060 reduced tax rate 10%","10%","400","purchase","","10.0","percent","","tax_group_10","base","invoice","","","","VST_060 ermäßigter Steuersatz 10%","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","+KZ 060","chart_at_template_2501","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","-KZ 060","chart_at_template_2501","","","",""
"account_tax_template_purchase_13_code060","13% Vst","VST_060 reduced tax rate 13%","13%","400","purchase","","13.0","percent","","tax_group_13","base","invoice","","","","VST_060 ermäßigter Steuersatz 13%","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","+KZ 060","chart_at_template_2502","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","-KZ 060","chart_at_template_2502","","","",""
"account_tax_template_purchase_19_code060","19% Vst J M","VST_060 Jungholz and Mittelberg 19%","19%","400","purchase","","19.0","percent","","tax_group_19","base","invoice","","","","VST_060 Jungholz und Mittelberg 19%","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","+KZ 060","chart_at_template_2505","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","-KZ 060","chart_at_template_2505","","","",""
"account_tax_template_purchase_12_code060","12% Vst W","VST_060 Wine purchase 12% (LWB)","12%","400","purchase","","12.0","percent","","tax_group_12","base","invoice","","","","VST_060 Weineinkauf 12% (LWB)","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","+KZ 060","chart_at_template_2505","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","-KZ 060","chart_at_template_2505","","","",""
"account_tax_template_purchase_xx_code061","20% Vst EU T","VST_061 EU tax paid (§ 12 par. 1 no. 2 lit. a)","","400","purchase","","","percent","","","","","","","","VST_061 entrichtete EUst (§ 12 Abs. 1 Z 2 lit. a)","fiscal_position_template_eu",""
"account_tax_template_purchase_xx_code083","20% Vst P","VST_083 Posted EUst. (§ 12 par. 1 line 2 lit. b)","","400","none","","","percent","","","","","","","","VST_083 verbuchte EUst. (§ 12 Abs. 1 Z 2 lit. b)","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"account_tax_template_purchase_correct_code063","0% Vst C-12","VST_063 (§12 par. 10 and 11 - correction)","0%","400","purchase","","0.0","percent","","tax_group_0","base","invoice","","","","VST_063 (§12 Abs. 10 und 11 - Berichtigung)","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","","chart_at_template_2505","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","","chart_at_template_2505","","","",""
"account_tax_template_purchase_correct_code067","0% Vst C-16","VST_067 (§ 16 - correction)","0%","400","purchase","","0.0","percent","","tax_group_0","base","invoice","","","","VST_067 (§ 16 - Berichtigung)","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","+KZ 067","chart_at_template_2505","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","+KZ 067","chart_at_template_2505","","","",""
"account_tax_template_purchase_correct_code090","0% Vst O C","VST_090 (Other corrections)","0%","600","purchase","","0.0","percent","False","","base","invoice","","","","VST_090 (Sonstige Berichtigungen)","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","+KZ 090","chart_at_template_2505","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","-KZ 090","chart_at_template_2505","","","",""
"account_tax_template_purchase_cars_buildings_code027","20% Vst Car","VST_027 concerning motor vehicles according to EKR 063, 064, 732-733 und 744-747","20%","400","purchase","","20.0","percent","","tax_group_20","base","invoice","","","","VST_027 betreffend KFZ nach EKR 063, 064, 732-733 und 744-747","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","","chart_at_template_2505","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","","chart_at_template_2505","","","",""
"account_tax_template_purchase_cars_buildings_code028","20% Vst B","VST_028 concerning buildings according to EKR 030-037 and 070","20%","400","purchase","","20.0","percent","","tax_group_20","base","invoice","","","","VST_028 betreffend Gebäude nach EKR 030-037 und 070, 071","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","","chart_at_template_2505","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","","chart_at_template_2505","","","",""
"account_tax_template_purchase_eu_0_vst_071","0% Vst","VST_071 IGE 0%","VST_071 IGE 0% (Art. 6 Abs. 2)","500","purchase","","0.0","percent","","tax_group_0","base","invoice","","","","VST_071 IGE 0%","fiscal_position_template_eu",""
"","","","","","","","","","","","tax","invoice","+KZ 065","chart_at_template_2505","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","-KZ 065","chart_at_template_2505","","","",""
"account_tax_template_purchase_eu_xx_vst_076","20% Vst EU","VST_076 IGE (taxed in the country of destination)","20%","500","purchase","","20.0","percent","","tax_group_20","base","invoice","+KZ 076||+KZ 077","","","VST_076 IGE (im Bestimmungsland besteuert)","fiscal_position_template_eu",""
"","","","","","","","","","","","tax","invoice","","chart_at_template_2505","","","",""
"","","","","","","","","","","","base","refund","-KZ 076||-KZ 077","","","","",""
"","","","","","","","","","","","tax","refund","","chart_at_template_2505","","","",""
"account_tax_template_purchase_eu_xx_vst_077","20% Vst D","VST_077 IGE (taxed domestically)","20%","500","purchase","","20.0","percent","","tax_group_20","base","invoice","","","","VST_077 IGE (im Inland besteuert)","fiscal_position_template_eu",""
"","","","","","","","","","","","tax","invoice","","chart_at_template_2505","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","","chart_at_template_2505","","","",""
